mobility_mode,episodes,changed_episode_rate,changed_episodes,base_avg_e2e_ms,w0p3_avg_e2e_ms,base_p95_e2e_ms,w0p3_p95_e2e_ms,base_slo_satisfaction,w0p3_slo_satisfaction,base_throughput_rps,w0p3_throughput_rps,base_goodput_rps,w0p3_goodput_rps,base_handover_events,w0p3_handover_events,base_handover_overhead_ms,w0p3_handover_overhead_ms,base_mean_batch_size,w0p3_mean_batch_size,base_mapping_steps,w0p3_mapping_steps,avg_e2e_change_pct,p95_change_pct,slo_change_pp,goodput_change_pct
stationary,100,0.0,0,10593.632007199512,10593.632007199512,20238.781455392324,20238.781455392324,0.5291666666666667,0.5291666666666667,0.28953770639215487,0.28953770639215487,0.15418285583448785,0.15418285583448785,0.0,0.0,0.0,0.0,2.054147186147186,2.054147186147186,175.28,175.28,0.0,0.0,0.0,0.0
walking,100,0.0,0,10593.51225874292,10593.51225874292,20237.90577456623,20237.90577456623,0.5291666666666667,0.5291666666666667,0.28953206812018595,0.28953206812018595,0.1541801989585788,0.1541801989585788,0.19,0.19,2.440495631791287,2.440495631791287,2.054147186147186,2.054147186147186,175.28,175.28,0.0,0.0,0.0,0.0
driving,100,0.01,1,10602.331996660778,10610.07975384466,20275.55343024279,20321.94203712016,0.5291666666666667,0.5291666666666667,0.2892453322238904,0.28920932646216935,0.1540492310077842,0.15402522716663683,2.28,2.28,29.40609238821688,29.397341412437278,2.054147186147186,2.050147186147186,175.28,175.56,0.07307597221368756,0.22879082949309737,0.0,-0.015581928575902904
high_speed,100,0.06,6,10622.221661361094,10570.84057855971,20354.917538665744,20287.983731818014,0.5258333333333334,0.5266666666666666,0.2887954359091803,0.29047246911699764,0.15292028453131032,0.15409248932411415,8.82,8.78,112.77087522132284,112.23570641785847,2.054147186147186,2.0521471861471863,175.28,175.28,-0.4837131481475909,-0.32883359375238674,0.08333333333332416,0.7665463063952327
