beta,samples,action_change_rate,node_change_rate,group_change_rate,mean_risk_reduction_ms,median_risk_reduction_ms,risk_improvement_rate,mean_latency_lb_delta_ms,p95_latency_lb_delta_ms,mean_next_match_gain,mean_effective_handover_probability
0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03514873708155207
0.25,200,0.56,0.56,0.0,8.12398645164133,10.690065926496791,0.56,5.653938017717837,50.42281495601325,0.10866666666666668,0.03514873708155207
0.5,200,0.585,0.585,0.0,8.47471871249114,11.093489131834502,0.585,5.618985551361688,52.39475542183144,0.10652380952380952,0.03514873708155207
1.0,200,0.585,0.585,0.0,8.567801252237746,11.093489131834502,0.585,5.762153332466993,52.67291046548465,0.10533333333333333,0.03514873708155207
2.0,200,0.585,0.585,0.0,8.57883405809187,11.093489131834502,0.585,5.802516216523197,52.67291046548465,0.1039047619047619,0.03514873708155207
4.0,200,0.585,0.585,0.0,8.587643951611152,11.093489131834502,0.585,6.164528124973007,52.67291046548465,0.1039047619047619,0.03514873708155207
8.0,200,0.585,0.585,0.0,8.58979574967502,11.093489131834502,0.585,6.281528651738779,52.67291046548465,0.10140476190476191,0.03514873708155207
