sample,sample_seed,beta,num_actions,base_action,selected_action,action_changed,base_node,selected_node,node_changed,base_group,selected_group,group_changed,base_risk_ms,selected_risk_ms,risk_reduction_ms,risk_improved,base_latency_lb_ms,selected_latency_lb_ms,latency_lb_delta_ms,base_next_match_rate,selected_next_match_rate,next_match_gain,mean_effective_handover_probability
0,92001,0.0,8,1,1,0,cloud_0,cloud_0,0,1,1,0,15.232163708002416,15.232163708002416,0.0,0,74.71618469334874,74.71618469334874,0.0,0.0,0.0,0.0,0.010680281779393333
0,92001,0.25,8,1,0,1,cloud_0,edge_5,1,1,1,0,15.232163708002416,2.0006889404856394,13.231474767516776,1,74.71618469334874,18.04762355079066,-56.668561142558076,0.0,0.0,0.0,0.010680281779393333
0,92001,0.5,8,1,0,1,cloud_0,edge_5,1,1,1,0,15.232163708002416,2.0006889404856394,13.231474767516776,1,74.71618469334874,18.04762355079066,-56.668561142558076,0.0,0.0,0.0,0.010680281779393333
0,92001,1.0,8,1,0,1,cloud_0,edge_5,1,1,1,0,15.232163708002416,2.0006889404856394,13.231474767516776,1,74.71618469334874,18.04762355079066,-56.668561142558076,0.0,0.0,0.0,0.010680281779393333
0,92001,2.0,8,1,0,1,cloud_0,edge_5,1,1,1,0,15.232163708002416,2.0006889404856394,13.231474767516776,1,74.71618469334874,18.04762355079066,-56.668561142558076,0.0,0.0,0.0,0.010680281779393333
0,92001,4.0,8,1,0,1,cloud_0,edge_5,1,1,1,0,15.232163708002416,2.0006889404856394,13.231474767516776,1,74.71618469334874,18.04762355079066,-56.668561142558076,0.0,0.0,0.0,0.010680281779393333
0,92001,8.0,8,1,0,1,cloud_0,edge_5,1,1,1,0,15.232163708002416,2.0006889404856394,13.231474767516776,1,74.71618469334874,18.04762355079066,-56.668561142558076,0.0,0.0,0.0,0.010680281779393333
1,92002,0.0,4,0,0,0,cloud_0,cloud_0,0,1,1,0,14.530552564666744,14.530552564666744,0.0,0,52.70063011869182,52.70063011869182,0.0,0.0,0.0,0.0,0.004560382478706831
1,92002,0.25,4,0,0,0,cloud_0,cloud_0,0,1,1,0,14.530552564666744,14.530552564666744,0.0,0,52.70063011869182,52.70063011869182,0.0,0.0,0.0,0.0,0.004560382478706831
1,92002,0.5,4,0,0,0,cloud_0,cloud_0,0,1,1,0,14.530552564666744,14.530552564666744,0.0,0,52.70063011869182,52.70063011869182,0.0,0.0,0.0,0.0,0.004560382478706831
