method,mobility_mode,avg_e2e_reduction_pct,p95_e2e_reduction_pct,slo_gain_pp,throughput_gain_pct,goodput_gain_pct,handover_reduction_pct
NodeDP-LB,stationary,41.74484029983298,33.80166708400775,7.9999999999999964,9.18638421735693,20.595543136446803,0.0
Full,stationary,46.19305240867721,36.932474940930696,13.916666666666666,10.134186551510133,36.89285215259478,0.0
NodeDP-LB,walking,42.73412506385254,39.94400020430025,12.499999999999995,11.75431702652024,36.36407884323298,90.0
Full,walking,47.10675152819228,42.78424995717657,18.416666666666664,12.724410534869932,54.79235134660448,90.0
NodeDP-LB,driving,42.705678584087785,40.56167863527063,12.416666666666659,11.799260501343706,36.134193751332795,67.74193548387096
Full,driving,47.081385596641596,43.37224872508539,18.33333333333333,12.77249625002932,54.55600907692318,72.58064516129032
NodeDP-LB,high_speed,42.5597283857379,40.374212923251484,12.58333333333333,12.07957022471198,37.45388701748518,41.843971631205676
Full,high_speed,47.01751199201292,43.268043908884664,18.416666666666664,13.06231938719869,55.82250689507393,47.87234042553191
