arrival_rate_rps,episodes,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,mapping_steps,reward
0.1,100,1.0,11.8,1.0191515151515151,109722.8252836005,3372.5568826883136,8109.953111147373,0.6041666666666666,0.1177615804595067,0.07165904031498972,329.27,-196.3284341729906
0.2,100,1.0,11.31,1.074848484848485,57664.655970706284,4465.528966284739,9423.45074928793,0.5158333333333333,0.22357328230417728,0.11787988913417938,315.51,-192.84673859892635
0.4,100,1.0,10.14,1.2279047619047618,35098.71941607436,6415.589412897859,11558.396416139243,0.365,0.3760332604783771,0.14703597301394844,282.58,-183.56388784813515
0.6,100,1.0,9.27,1.3496103896103895,29412.748414048576,7707.373498670171,13449.978541817452,0.2891666666666666,0.4641261290651065,0.14956237891647794,257.87,-177.32995224291554
