rate,method,avg_e2e_ms,p95_e2e_ms,slo,throughput,goodput,batch,pending
0.1,EdgeShard-Adapted,1170.8919974695573,4239.043448626825,0.9709999999999999,0.1006074602959413,0.0976958427635448,1.0081220366934653,1.009132240775098
0.1,NODEGRAPH,2912.6402978506785,9853.024508671722,0.7994999999999999,0.10043083805027586,0.07926231542132899,1.0538308989919858,1.0578656478139732
0.2,EdgeShard-Adapted,1309.9198131252865,4629.339848855733,0.9465000000000001,0.20091260370416464,0.190281737689,1.0302472784640382,1.0401671728075494
0.2,NODEGRAPH,4082.728798069159,12789.555826328926,0.7165,0.19980808916965262,0.14129277654410935,1.2037747645992016,1.261392424701936
0.4,EdgeShard-Adapted,1656.1668859498743,5729.962294851386,0.8724999999999999,0.40015688498463015,0.34810290665898486,1.120457185561626,1.1641938451709088
0.4,NODEGRAPH,5713.51625986138,15410.83246543253,0.5575,0.385907487712425,0.21724919498902917,1.6621204077523715,1.9853118950457667
0.6,EdgeShard-Adapted,2100.8536232760425,6846.392517356324,0.7834999999999999,0.5956371743716323,0.46499481889515676,1.2943396611081308,1.3960575670443225
0.6,NODEGRAPH,8014.629922252476,24657.12735980306,0.457,0.5517129547427916,0.26329593072557256,2.289499537498132,3.5922682720769443
