method,episodes,avg_e2e_ms_mean,avg_e2e_ms_ci95,p95_e2e_ms_mean,p95_e2e_ms_ci95,slo_satisfaction_mean,slo_satisfaction_ci95,throughput_rps_mean,throughput_rps_ci95,goodput_rps_mean,goodput_rps_ci95,handover_events_mean,handover_events_ci95,handover_overhead_ms_mean,handover_overhead_ms_ci95
Full,30,2823.250992695877,725.0001738858468,5693.920198145518,1629.4417832345957,0.636111111111111,0.05164063942960205,0.4090505942183303,0.042974315743200105,0.2566838237538805,0.028526799898977204,1.2,0.8267646957078933,15.78719807653215,10.92530679687454
Ours w/o mobility,30,2823.250992695877,725.0001738858468,5693.920198145518,1629.4417832345957,0.636111111111111,0.05164063942960205,0.4090505942183303,0.042974315743200105,0.2566838237538805,0.028526799898977204,1.2,0.8267646957078933,15.78719807653215,10.92530679687454
