episode,method,reward,prefill_ms,decode_ms,e2e_est_ms,transfer_mb,handover_ms,slo_violations,batch_size,mapping_steps,runtime_seconds
0,gat_dueling_ddqn,-10.398060320909726,254.5492987069035,1647.8236390641146,1991.287649259947,4.79296875,88.91471148892899,0,4,28,1.5540311619406566
0,latency_greedy,-10.398060320909726,254.5492987069035,1647.8236390641146,1991.287649259947,4.79296875,88.91471148892899,0,4,28,0.015711573068983853
0,cloud_only,-10.398060320909726,254.5492987069035,1647.8236390641146,1991.287649259947,4.79296875,88.91471148892899,0,4,28,0.011678178911097348
0,anchor_first,-27.768459493106228,517.9786337821087,4298.448357849698,4874.835323060861,19.171875,58.408331429053916,2,4,18,0.006478630937635899
1,gat_dueling_ddqn,-5.397712124902895,555.3468981109927,481.2082035853633,1091.742648295404,16.4296875,55.18754659904809,0,8,28,1.0884906019782647
1,latency_greedy,-10.581841127503743,316.949788431517,1661.19129785119,2046.557023318386,7.4853515625,68.41593703567892,0,5,27,0.011925741098821163
1,cloud_only,-5.397712124902895,555.3468981109927,481.2082035853633,1091.742648295404,16.4296875,55.18754659904809,0,8,28,0.013911916990764439
1,anchor_first,-21.783692708160313,1042.8258046329179,971.1429605554627,2049.698910225087,49.2890625,35.7301450367061,7,8,18,0.008289764053188264
2,gat_dueling_ddqn,-12.091659686166668,750.0290867683582,713.6812892973004,1513.549364897019,23.25,49.83898883136021,2,8,28,1.4671430089510977
2,latency_greedy,-13.284687485681253,379.8907519881729,2116.6108093840144,2552.651396370833,10.986328125,56.149834998645986,0,3,25,0.010158949997276068
2,cloud_only,-12.091659686166668,750.0290867683582,713.6812892973004,1513.549364897019,23.25,49.83898883136021,2,8,28,0.01376567396800965
2,anchor_first,-22.9346383672046,1739.8931074119218,1084.3830155233136,2857.167623918693,116.25,32.89150098345757,6,8,18,0.007641750038601458
3,gat_dueling_ddqn,-28.948571096988132,1836.1166412078303,1790.3449539790497,3700.6183764638286,68.34375,74.1567812769486,8,8,28,0.787397111998871
3,latency_greedy,-10.692801919377846,265.32263905404506,1755.431457963065,2078.4704235372487,4.6640625,57.71632652013885,0,4,25,0.00946014397777617
3,cloud_only,-15.14409153808694,854.049378600531,714.0272854372151,1636.7223297915662,22.78125,68.64566575382018,4,8,28,0.012318479013629258
3,anchor_first,-28.62112604122229,1832.1277644622157,1790.3449539790493,3667.873870887245,68.34375,45.40115244597999,8,8,18,0.007108235033228993
4,gat_dueling_ddqn,-22.27794251387583,1474.9430382510188,523.42538074563,2042.857580029724,35.1796875,44.48916103307504,6,8,28,1.05876064801123
4,latency_greedy,-19.351814520822366,714.6052090368455,2430.4807395021417,3212.735211047316,28.546875,67.64926250832889,2,4,27,0.010048263007774949
4,cloud_only,-22.27794251387583,1474.9430382510188,523.42538074563,2042.857580029724,35.1796875,44.48916103307504,6,8,28,0.012813315028324723
4,anchor_first,-31.584208486928606,4195.622054191508,1779.867260986574,6004.023549225449,211.078125,28.534234047367505,8,8,17,0.007441237103193998
5,gat_dueling_ddqn,-11.483323381060787,595.9327469912515,251.3425083013352,911.0957833510461,10.294921875,63.82052805845937,3,7,28,1.3825037340866402
5,latency_greedy,-7.753888494174349,543.5491127439897,177.1647508086894,784.0298870097671,30.884765625,63.316023457088036,2,7,28,0.011688933009281754
5,cloud_only,-11.483323381060787,595.9327469912515,251.3425083013352,911.0957833510461,10.294921875,63.82052805845937,3,7,28,0.012520682066679
5,anchor_first,-8.350461391987121,620.5170841279971,162.478621174608,825.0264625241801,51.474609375,42.03075722157505,2,7,17,0.006348513998091221
6,gat_dueling_ddqn,-19.056242212768712,885.3390262173189,193.29819405172145,1140.3421800391015,22.875,61.70495977006101,7,8,28,0.7777492239838466
6,latency_greedy,-6.677775800313142,453.19632648128567,715.5282177257637,1245.6104782814973,8.75390625,76.88593407444803,0,6,27,0.013301911065354943
6,cloud_only,-19.056242212768712,885.3390262173189,193.29819405172145,1140.3421800391015,22.875,61.70495977006101,7,8,28,0.014017609995789826
6,anchor_first,-22.952685599448582,1831.0465190712434,493.63794693038193,2364.351940139522,68.625,39.66747413789636,8,8,18,0.008194969967007637
7,gat_dueling_ddqn,-29.37775531886231,2034.014112185222,1232.2281693852146,3311.9961200772286,66.7265625,45.75383850679204,8,8,28,0.6439454898936674
7,latency_greedy,-26.315675494946007,1456.0302312240692,1166.0287444539836,2669.917918173941,66.7265625,47.8589424958884,8,8,28,0.011816230951808393
7,cloud_only,-17.386599467454214,1075.9139681286597,663.5440031097132,1785.258641856818,22.2421875,45.800670618445224,4,8,28,0.013158916030079126
7,anchor_first,-27.81649094723342,1894.0635209322309,1284.9910019576935,3210.33541481532,111.2109375,31.28089192539535,8,8,18,0.007005120045505464
8,gat_dueling_ddqn,-22.753236828465077,1146.2096626996174,394.01622770283416,1589.2247489915687,22.9921875,48.9988585891172,7,8,28,1.8493353569647297
8,latency_greedy,-10.75674472758975,442.2419421395474,1133.9260605816771,1632.9444896846692,12.9462890625,56.776486963444604,1,3,28,0.01086357410531491
8,cloud_only,-22.753236828465077,1146.2096626996174,394.01622770283416,1589.2247489915687,22.9921875,48.9988585891172,7,8,28,0.013587052002549171
8,anchor_first,-24.697932140093044,1509.529815543755,559.3277821140218,2099.7884616993024,68.9765625,30.93086404152583,8,8,17,0.008049698080867529
9,gat_dueling_ddqn,-10.112783014668025,751.205200651385,504.3382530551613,1312.4207242233647,22.734375,56.8772705168186,2,8,28,1.3710534200072289
9,latency_greedy,-5.335689181731861,280.14675581057475,572.9984893691706,936.300347537059,5.2734375,83.15510235731368,0,4,27,0.011095775058493018
9,cloud_only,-10.112783014668025,751.205200651385,504.3382530551613,1312.4207242233647,22.734375,56.8772705168186,2,8,28,0.013938363990746439
9,anchor_first,-27.378767663499247,2184.70605432237,1383.4719122707656,3606.925621234758,90.9375,38.7476546416222,8,8,18,0.008317080093547702
10,gat_dueling_ddqn,-9.526462490706683,420.2174439998548,1137.91940599536,1612.351237351124,3.486328125,54.21438735590908,0,5,28,1.4413758430164307
10,latency_greedy,-8.660241430932679,369.636820427703,1407.693292814527,1830.0566778652033,17.431640625,52.72656462297328,0,5,28,0.010615085018798709
10,cloud_only,-9.526462490706683,420.2174439998548,1137.91940599536,1612.351237351124,3.486328125,54.21438735590908,0,5,28,0.011207766947336495
10,anchor_first,-12.4138574108959,501.41753418810805,1649.4982540852973,2185.9006869709,20.91796875,34.984898697494614,1,5,18,0.006095050019212067
11,gat_dueling_ddqn,-29.29692830453616,1089.0503768810593,1532.6458492855622,2698.555358920424,23.578125,76.85913275380271,8,8,28,0.9493778320029378
11,latency_greedy,-7.436009553943858,333.57645303371316,394.92100728926624,794.3450381685121,0.9052734375,65.84757784553277,1,3,21,0.007791994954459369
11,cloud_only,-17.981285304342464,760.8595421770452,934.4406378232673,1772.1593127541153,11.7890625,76.85913275380271,4,8,28,0.012807577033527195
11,anchor_first,-27.859759374625174,1122.9281701474715,1693.8323594458,2870.0449821616417,58.9453125,53.28445256837015,8,8,18,0.006795651046559215
12,gat_dueling_ddqn,-21.322055688314435,1078.23641223835,525.7742862402863,1659.9222943702891,34.6875,55.91159589165282,6,8,28,1.5844969890313223
12,latency_greedy,-9.145241346974785,643.6032518831635,1063.3331943353987,1780.330927683452,33.6796875,73.3944814648898,0,4,27,0.01019165909383446
12,cloud_only,-14.476609601351907,990.2841193906632,437.2396642290147,1484.7428084313801,17.34375,57.219024811702184,3,8,28,0.013444361975416541
12,anchor_first,-23.022276328101704,1426.7482104385178,504.08091163680785,1965.4892948721285,104.0625,34.66017279680272,8,8,17,0.006864593015052378
13,gat_dueling_ddqn,-7.058982202451614,494.525529473639,546.2638301570564,1111.7300118323674,6.826171875,70.94065220167197,0,5,28,1.1735428599640727
13,latency_greedy,-6.35906354380684,474.596184460629,697.2845497817254,1248.9479992266329,27.3046875,77.0672649842783,0,5,28,0.010674525052309036
13,cloud_only,-7.058982202451614,494.525529473639,546.2638301570564,1111.7300118323674,6.826171875,70.94065220167197,0,5,28,0.011882063001394272
13,anchor_first,-11.090105584833603,646.0036562899465,811.7678072489045,1508.5342173816935,40.95703125,50.76275384284229,2,5,18,0.006445764913223684
14,gat_dueling_ddqn,-13.45826587761516,673.9838077184354,841.4192677058059,1582.045596591824,18.7265625,66.64252116758276,3,8,28,0.8160178849939257
14,latency_greedy,-8.6233894300743,279.98217622412943,1299.3849000357454,1655.5761911683353,5.51953125,76.2091149084604,0,4,27,0.01104182901326567
14,cloud_only,-13.45826587761516,673.9838077184354,841.4192677058059,1582.045596591824,18.7265625,66.64252116758276,3,8,28,0.013585254084318876
14,anchor_first,-31.744692405970277,1740.3110013845308,2236.831537403471,4020.9392167789365,74.90625,43.79667799093456,8,8,18,0.007626643986441195
15,gat_dueling_ddqn,-14.245884776236934,485.3746353924688,1256.7046409748486,1790.9750280980454,38.3203125,48.89575173072792,3,6,28,1.0569180409656838
15,latency_greedy,-14.245884776236934,485.3746353924688,1256.7046409748486,1790.9750280980454,38.3203125,48.89575173072792,3,6,28,0.010399642051197588
15,cloud_only,-6.391814310556359,441.4566581089328,670.6915808469199,1170.826218430275,7.6640625,58.677979474422315,0,6,28,0.011428651981987059
15,anchor_first,-17.678535579446947,746.7019634330587,1538.8705980611514,2317.432441096426,53.6484375,31.859879602215624,4,6,17,0.006643405999056995
16,gat_dueling_ddqn,-9.966011687190552,618.9487701199299,975.8363026937703,1663.480961714982,10.5,68.69588890128178,0,7,28,0.8682133459951729
16,latency_greedy,-9.966011687190552,618.9487701199299,975.8363026937703,1663.480961714982,10.5,68.69588890128178,0,7,28,0.01279809104744345
16,cloud_only,-9.966011687190552,618.9487701199299,975.8363026937703,1663.480961714982,10.5,68.69588890128178,0,7,28,0.012725880951620638
16,anchor_first,-31.108076998410198,1057.8130985815383,2574.4588070906525,3679.3119695472606,42.0,47.040063875069826,7,7,18,0.006904431036673486
17,gat_dueling_ddqn,-12.30609903426491,946.9908784274609,864.8940165050462,1872.91979616161,20.6484375,61.03490122910299,1,8,28,0.7168065540026873
17,latency_greedy,-12.30609903426491,946.9908784274609,864.8940165050462,1872.91979616161,20.6484375,61.03490122910299,1,8,28,0.012560723000206053
17,cloud_only,-12.30609903426491,946.9908784274609,864.8940165050462,1872.91979616161,20.6484375,61.03490122910299,1,8,28,0.012443598010577261
17,anchor_first,-31.92816054424986,2041.9175144573537,2038.8366074009934,4116.805103119507,103.2421875,36.05098126116017,8,8,17,0.006292656995356083
18,gat_dueling_ddqn,-11.633572703041008,598.4270457447791,893.617252128962,1572.5766099074017,5.5517578125,80.53231203366063,1,5,28,0.9788404870778322
18,latency_greedy,-18.036734722517327,869.2443380738806,1355.4216225073674,2309.9564005785423,27.7587890625,85.29043999729464,3,5,28,0.01062780397478491
18,cloud_only,-11.633572703041008,598.4270457447791,893.617252128962,1572.5766099074017,5.5517578125,80.53231203366063,1,5,28,0.011438079993240535
18,anchor_first,-16.794831501598715,794.9630614816035,1390.843571098818,2239.1700232598155,33.310546875,53.36339067939369,3,5,17,0.006367324967868626
19,gat_dueling_ddqn,-48.45144854397368,2997.6443286663343,4972.929239210584,8043.4318089842845,93.1640625,72.85824110736654,8,8,28,0.65766775701195
19,latency_greedy,-38.908666437145754,2223.521057622312,3451.886406295326,5745.2927658542685,74.53125,69.88530193663074,8,8,28,0.012033754959702492
19,cloud_only,-15.19202613770304,1209.3768967368733,1219.0443900949654,2497.863676079324,18.6328125,69.44238924748517,1,8,28,0.012748623033985496
19,anchor_first,-41.132656075452005,3200.9212886296596,3909.259195114548,7157.323757180466,149.0625,47.14327343625831,8,8,17,0.006707077962346375
20,gat_dueling_ddqn,-13.730295343139701,823.4026251659523,663.3570281133715,1548.2886797903661,31.640625,61.529026511042616,3,8,28,1.7776191469747573
20,latency_greedy,-7.914237211831327,430.85273539839477,936.7495473739509,1411.5157452842332,13.9921875,43.91346251188757,0,4,27,0.009975360007956624
20,cloud_only,-14.280117082623757,853.1216514291089,500.9508486116848,1420.6954564824632,15.8203125,66.62295644166953,3,8,28,0.013195889070630074
20,anchor_first,-8.273740045058863,447.50817447548593,1000.8564645144833,1479.519487177253,13.9921875,31.154848187283875,0,4,18,0.006356948055326939
21,gat_dueling_ddqn,-16.903612732960138,1181.0545045681044,452.30163404486234,1701.0658423606906,23.90625,67.70970374772382,4,8,28,0.8546980490209535
21,latency_greedy,-16.903612732960138,1181.0545045681044,452.30163404486234,1701.0658423606906,23.90625,67.70970374772382,4,8,28,0.01283428503666073
21,cloud_only,-16.903612732960138,1181.0545045681044,452.30163404486234,1701.0658423606906,23.90625,67.70970374772382,4,8,28,0.012639423017390072
21,anchor_first,-30.64716798034373,3070.4841523870373,1513.820422165775,4626.29987048948,119.53125,41.99529593666718,8,8,17,0.007119762944057584
22,gat_dueling_ddqn,-38.130603194633274,1144.6457296510432,4680.61073208322,5867.60325157009,27.6328125,42.34678983582696,5,8,28,0.9676910470006987
22,latency_greedy,-14.37363059085534,511.0423023879913,1878.1428571400077,2431.5319493638262,9.2109375,42.34678983582696,1,8,28,0.013214498991146684
22,cloud_only,-14.37363059085534,511.0423023879913,1878.1428571400077,2431.5319493638262,9.2109375,42.34678983582696,1,8,28,0.01310882403049618
22,anchor_first,-49.85052561686509,1333.665647809617,6056.928932103425,7417.997591419804,46.0546875,27.403011506761462,8,8,17,0.007753313984721899
23,gat_dueling_ddqn,-16.64118690185878,527.6348818198177,1536.5720351198281,2135.237046265657,13.4765625,71.03012932601148,3,5,28,0.7678426910424605
23,latency_greedy,-6.604566489083998,273.0894673692449,873.0938262110285,1220.2204945291812,6.73828125,74.03720094890782,0,5,28,0.01118728902656585
23,cloud_only,-6.604566489083998,273.0894673692449,873.0938262110285,1220.2204945291812,6.73828125,74.03720094890782,0,5,28,0.011059670010581613
23,anchor_first,-16.985847326012017,619.3199973953394,1679.4763051312373,2344.889324708797,20.21484375,46.093022182220494,3,5,17,0.005627606064081192
24,gat_dueling_ddqn,-8.352452362125279,305.4603945541393,1221.3540886912026,1600.7934345700764,8.384765625,73.97895132473442,0,6,28,1.3271830669837072
24,latency_greedy,-13.168938130318015,605.9427758159736,1515.6245936090384,2210.272632156519,33.5390625,88.7052627315076,1,6,28,0.011676912079565227
24,cloud_only,-8.352452362125279,305.4603945541393,1221.3540886912026,1600.7934345700764,8.384765625,73.97895132473442,0,6,28,0.01293153001461178
24,anchor_first,-10.62422161283181,585.5122598444556,1515.6245936090384,2155.8009804078997,33.5390625,54.66412695440568,0,6,18,0.006730496999807656
25,gat_dueling_ddqn,-11.545725810329696,806.9973539979994,987.7252632518057,1873.3879969144002,18.5859375,78.66537966459508,1,8,28,1.5957547610159963
25,latency_greedy,-12.885990836026963,407.5046233482126,2103.1318397589084,2571.9657869842504,17.015625,61.32932387712946,0,4,25,0.00903647590894252
25,cloud_only,-11.545725810329696,806.9973539979994,987.7252632518057,1873.3879969144002,18.5859375,78.66537966459508,1,8,28,0.012047102907672524
25,anchor_first,-13.818446223805928,437.0350475258333,2212.4456480764884,2692.351021013385,11.34375,42.87032541106334,0,4,17,0.005707227042876184
26,gat_dueling_ddqn,-20.905362287115246,1222.5114090920326,371.58542514602374,1661.860571188029,22.734375,67.76373694997288,6,8,28,0.749786325963214
26,latency_greedy,-20.905362287115246,1222.5114090920326,371.58542514602374,1661.860571188029,22.734375,67.76373694997288,6,8,28,0.013844997039996088
26,cloud_only,-20.905362287115246,1222.5114090920326,371.58542514602374,1661.860571188029,22.734375,67.76373694997288,6,8,28,0.013642287929542363
26,anchor_first,-26.9082758204468,2356.1612271743834,1016.7509018141023,3416.684318911598,90.9375,43.77218992311229,8,8,18,0.008472628076560795
27,gat_dueling_ddqn,-12.909269683085332,738.4344527285394,937.6971498541864,1752.9593976061403,9.84375,76.82779502341442,1,7,28,0.945894842967391
27,latency_greedy,-31.44589388380169,976.625327088242,2586.7202141919965,3637.030297929673,29.53125,73.68475664943414,7,7,28,0.012246242025867105
27,cloud_only,-12.909269683085332,738.4344527285394,937.6971498541864,1752.9593976061403,9.84375,76.82779502341442,1,7,28,0.012485179933719337
27,anchor_first,-18.12986648430841,888.7708316769837,1571.0831113559798,2505.579561427385,29.53125,45.725618394422035,3,7,17,0.007012731046415865
28,gat_dueling_ddqn,-17.83335669175834,1095.5261994876175,665.6033612890778,1819.330961453193,21.75,58.201400676497435,4,8,28,1.3142625109758228
28,latency_greedy,-17.83335669175834,1095.5261994876175,665.6033612890778,1819.330961453193,21.75,58.201400676497435,4,8,28,0.0131776740308851
28,cloud_only,-17.83335669175834,1095.5261994876175,665.6033612890778,1819.330961453193,21.75,58.201400676497435,4,8,28,0.013181479065679014
28,anchor_first,-29.99698821247068,2335.938920660222,1718.906438811747,4090.796574152873,87.0,35.95121468090416,8,8,17,0.007467253017239273
29,gat_dueling_ddqn,-18.41862715898749,744.1456038200345,295.0823167336074,1115.4106300479825,21.890625,76.18270949434053,6,8,28,1.076349216978997
29,latency_greedy,-12.209945269971797,347.2978097133719,1304.7810185059036,1754.3158967299578,4.412109375,102.23706851068222,1,6,27,0.012081196997314692
29,cloud_only,-18.41862715898749,744.1456038200345,295.0823167336074,1115.4106300479825,21.890625,76.18270949434053,6,8,28,0.013489411910995841
29,anchor_first,-24.497246322811073,1792.3107717078249,794.9617528227045,2635.7025833918965,87.5625,48.43005886136733,8,8,18,0.0077382170129567385
30,gat_dueling_ddqn,-13.91487659227068,955.3241986105622,331.8118851707003,1350.2589464333817,20.578125,63.122862652119046,3,8,28,0.6554086140822619
30,latency_greedy,-24.2741540553747,1535.27788191737,769.2652994029246,2365.1102143379208,61.734375,60.56703301762633,8,8,28,0.011302290949970484
30,cloud_only,-13.91487659227068,955.3241986105622,331.8118851707003,1350.2589464333817,20.578125,63.122862652119046,3,8,28,0.01255869900342077
30,anchor_first,-23.944787980207238,1525.750936778626,769.2652994029245,2332.173606821174,61.734375,37.15737063962339,8,8,18,0.00710366596467793
31,gat_dueling_ddqn,-14.262920153607665,650.2018294256653,1360.6755626029653,2062.061372252449,10.21875,51.183980223818395,1,8,28,1.3337797250133008
31,latency_greedy,-13.972021964601481,237.56325550028757,2388.9673230105423,2689.3206148024,6.0,62.79003629157014,0,2,27,0.009305325918830931
31,cloud_only,-14.262920153607665,650.2018294256653,1360.6755626029653,2062.061372252449,10.21875,51.183980223818395,1,8,28,0.01327569002751261
31,anchor_first,-27.73597370243891,921.1188338211435,3369.7780548928918,4318.123554524887,61.3125,27.226665810852385,4,8,17,0.007100333925336599
32,gat_dueling_ddqn,-35.972436312446014,1048.2127287316039,3467.398907920648,4583.964245457048,26.0244140625,68.35260880479609,7,7,28,0.6859539659926668
32,latency_greedy,-8.88692640605363,449.56092251484887,1207.1477576674322,1722.7617805591435,8.6748046875,66.05310037686245,0,7,28,0.011942351004108787
32,cloud_only,-8.88692640605363,449.56092251484887,1207.1477576674322,1722.7617805591435,8.6748046875,66.05310037686245,0,7,28,0.011779265012592077
32,anchor_first,-18.840057577082995,731.4206694547622,2391.9139280226277,3165.5285886991287,17.349609375,42.19399122173837,2,7,17,0.006962418905459344
33,gat_dueling_ddqn,-16.332347608272418,830.9636301590232,989.026249366046,1886.9371819166672,10.41796875,66.9473023915981,3,7,28,0.8174885980552062
