training_seed,checkpoint_episode,episodes,complete,checkpoint,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,mean_batch_size
7,250,20,True,outputs/train_online_ddqn_cpu_300_analytic/agent_ep250.pt,3588.892166449189,6522.773469756884,0.5125,0.41801557305131276,0.20436494904692587,1.542229437229437
17,100,20,True,outputs/train_online_ddqn_cpu_300_analytic_seed17/agent_ep100.pt,3469.55502342188,6293.391430100254,0.5333333333333333,0.4200000654485427,0.2162077428300731,1.511060606060606
29,200,20,True,outputs/train_online_ddqn_cpu_300_analytic_seed29/agent_ep200.pt,3469.55502342188,6293.391430100254,0.5333333333333333,0.4200000654485427,0.2162077428300731,1.511060606060606
