seed,arrival_rate_rps,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps
17,0.1,4349.185193611049,10415.722186169254,0.5916666666666667,0.11460326067884158,0.06896708674955883
17,0.2,5285.144143961235,11128.961543328891,0.53,0.21669295117124177,0.11832149034299669
17,0.4,6436.598789122312,11913.12758019191,0.41,0.38157784094701547,0.16512160212167576
17,0.6,7266.953809226827,12892.8364910423,0.3424999999999999,0.4954899668964759,0.18334919650230075
29,0.1,2656.1456673560087,6072.947010416794,0.7183333333333333,0.1153101852490399,0.08248971293362471
29,0.2,3174.4945076292947,6890.9113960819495,0.6475,0.22173213400430225,0.14350357113916146
29,0.4,3930.6468649440976,8219.394630118975,0.5191666666666667,0.3985836429508872,0.2100290652972217
29,0.6,4520.257789946576,8909.681988980317,0.435,0.5265477377283081,0.2379597710360778
7,0.1,2250.950216338131,5002.958162542382,0.76,0.11867457136998402,0.09068394171372918
7,0.2,2599.585020867102,5722.026491309916,0.6866666666666668,0.23098962609119728,0.15808901417649263
7,0.4,3282.584271940348,6684.844760386009,0.5525,0.4240964349827701,0.23355108002309166
7,0.6,3963.262496594325,7531.022197028596,0.45416666666666655,0.5637014437029647,0.25947876258040586
