method,episodes,eval_seeds,avg_e2e_ms_mean,avg_e2e_ms_std,avg_e2e_ms_ci95,p95_e2e_ms_mean,p95_e2e_ms_std,p95_e2e_ms_ci95,slo_satisfaction_mean,slo_satisfaction_std,slo_satisfaction_ci95,throughput_rps_mean,throughput_rps_std,throughput_rps_ci95,goodput_rps_mean,goodput_rps_std,goodput_rps_ci95,mean_batch_size_mean,mean_batch_size_std,mean_batch_size_ci95
full,30,3,3338.154593202305,1302.3420505165514,466.0371175215592,6748.67615106255,3440.7635993643344,1231.2614410974825,0.5694444444444445,0.15487501655693905,0.05542131290598478,0.6074619011477961,0.1443612085163242,0.0516589950176238,0.3372139948458153,0.09352477125617893,0.03346740957631305,1.5080086580086582,0.37063302041451995,0.13262932301370614
wo_dp,30,3,3370.8284595083833,1291.9902697192376,462.33278033757466,6799.583755059805,3372.940253437338,1206.9911684575504,0.5555555555555555,0.1835335027061302,0.0656766204668542,0.5978587515970109,0.1488828493363494,0.05327704340467892,0.32073313486888305,0.10438321068367427,0.03735305222262493,1.4445165945165948,0.36210901390337735,0.12957904645800997
wo_mobility,30,3,3338.154593202305,1302.3420505165514,466.0371175215592,6748.67615106255,3440.7635993643344,1231.2614410974825,0.5694444444444445,0.15487501655693905,0.05542131290598478,0.6074619011477961,0.1443612085163242,0.0516589950176238,0.3372139948458153,0.09352477125617893,0.03346740957631305,1.5080086580086582,0.37063302041451995,0.13262932301370614
