method,episodes,avg_e2e_ms_mean,avg_e2e_ms_std,avg_e2e_ms_ci95,p95_e2e_ms_mean,p95_e2e_ms_std,p95_e2e_ms_ci95,slo_satisfaction_mean,slo_satisfaction_std,slo_satisfaction_ci95,throughput_rps_mean,throughput_rps_std,throughput_rps_ci95,goodput_rps_mean,goodput_rps_std,goodput_rps_ci95
Ours w/o mobility,30,2750.8935360364612,1057.4896363153362,378.41780638339134,5804.5376376526565,2845.5082536864356,1018.252051299313,0.6694444444444444,0.13398428264125403,0.047945659783124955,0.4507089022004892,0.10210765708580856,0.036538755825534376,0.30136418371331214,0.09092168981981827,0.03253590884745749
Ours w/o node-conditioned DP,30,2820.791826448218,1159.4190383463028,414.8927744567686,6013.951900753059,3071.1501057782643,1098.996951073833,0.6611111111111111,0.14669627008798383,0.05249458606965195,0.4499955075025776,0.10322620548632609,0.036939023230075904,0.29632955621733836,0.09392399394682742,0.03361026958142862
Full,30,2750.8935360364612,1057.4896363153362,378.41780638339134,5804.5376376526565,2845.5082536864356,1018.252051299313,0.6694444444444444,0.13398428264125403,0.047945659783124955,0.4507089022004892,0.10210765708580856,0.036538755825534376,0.30136418371331214,0.09092168981981827,0.03253590884745749
