episode,episode_seed,arrival_rate_rps,method,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,migration_ms,avg_migration_ms_per_event,mapping_steps,reward,failure_reason
0,20007,0.4,node_dp,driving,reactive,0.1,12,0,1.0,6,2.0,86268.26292303488,22075.325630913605,40676.31646095108,0.16666666666666663,0.1391009809795976,0.023183496829932933,30,11,0.18181818181818182,4913.8359375,51810.619454558815,1727.0206484852938,168,-250.90450260434258,
1,20008,0.4,node_dp,driving,reactive,0.1,12,0,1.0,7,1.7142857142857142,26646.70424138227,7110.915457005421,12444.991050676432,0.16666666666666663,0.4503371182903748,0.07505618638172913,12,9,0.1111111111111111,1676.8828125,21246.88791863646,1770.573993219705,196,-136.83001249062463,
2,20009,0.4,node_dp,driving,reactive,0.1,12,0,1.0,3,4.0,61350.87463406466,30246.655013948446,48516.00767433459,0.08333333333333337,0.1955962334942342,0.016299686124519513,31,11,0.09090909090909091,4676.9296875,49818.26915632254,1607.0409405265334,84,-158.31129144405236,
3,20010,0.4,node_dp,driving,reactive,0.1,12,0,1.0,6,2.0,91113.20766904681,40826.5206811908,80706.89636848881,0.16666666666666663,0.1317042864256075,0.021950714404267917,44,10,0.1,9272.9765625,103890.7070692802,2361.152433392732,168,-243.33857743652322,
4,20011,0.4,node_dp,driving,reactive,0.1,12,0,1.0,5,2.4,76750.98541947716,32797.34211818089,58281.47998620122,0.16666666666666663,0.1563497841026384,0.02605829735043973,39,12,0.16666666666666666,7924.3828125,75400.87140232284,1933.3556769826369,140,-207.46057138181027,
