mobility_mode,scope,episodes,decisions,decisions_with_lower_risk,q0p05_l0p01_decisions,q0p05_l0p01_coverage_pct,q0p05_l0p01_episodes,q0p05_l0p01_mean_mobility_reduction,q0p05_l0p05_decisions,q0p05_l0p05_coverage_pct,q0p05_l0p05_episodes,q0p05_l0p05_mean_mobility_reduction,q0p05_l0p1_decisions,q0p05_l0p1_coverage_pct,q0p05_l0p1_episodes,q0p05_l0p1_mean_mobility_reduction,q0p1_l0p01_decisions,q0p1_l0p01_coverage_pct,q0p1_l0p01_episodes,q0p1_l0p01_mean_mobility_reduction,q0p1_l0p05_decisions,q0p1_l0p05_coverage_pct,q0p1_l0p05_episodes,q0p1_l0p05_mean_mobility_reduction,q0p1_l0p1_decisions,q0p1_l0p1_coverage_pct,q0p1_l0p1_episodes,q0p1_l0p1_mean_mobility_reduction,q0p2_l0p01_decisions,q0p2_l0p01_coverage_pct,q0p2_l0p01_episodes,q0p2_l0p01_mean_mobility_reduction,q0p2_l0p05_decisions,q0p2_l0p05_coverage_pct,q0p2_l0p05_episodes,q0p2_l0p05_mean_mobility_reduction,q0p2_l0p1_decisions,q0p2_l0p1_coverage_pct,q0p2_l0p1_episodes,q0p2_l0p1_mean_mobility_reduction
stationary,same_batch_same_group,100,15801,14227,152,0.9619644326308462,12,12.890005372699555,180,1.139168407062844,13,13.308737633965016,246,1.5568634896525537,14,13.794415392282831,593,3.7529270299348143,29,11.546203589035137,697,4.411113220682235,30,11.854871086628556,912,5.771786595785077,31,11.880143447034428,1421,8.993101702423898,54,11.856674678994437,1641,10.385418644389595,54,12.152331602139903,2060,13.037149547496995,57,12.278259000396318
stationary,same_batch_any_group,100,15801,14248,152,0.9619644326308462,12,12.890005372699555,180,1.139168407062844,13,13.308737633965016,246,1.5568634896525537,14,13.794415392282831,593,3.7529270299348143,29,11.546203589035137,697,4.411113220682235,30,11.854871086628556,912,5.771786595785077,31,11.880143447034428,1421,8.993101702423898,54,11.856674678994437,1641,10.385418644389595,54,12.152331602139903,2060,13.037149547496995,57,12.278259000396318
walking,same_batch_same_group,100,15801,14303,164,1.0379089931017025,13,12.09129970501517,192,1.2151129675337005,14,12.60386498009058,258,1.63280805012341,15,13.246698586253856,606,3.835200303778242,30,11.362405626574272,710,4.493386494525663,31,11.691860865768708,925,5.854059869628505,32,11.751769430105535,1474,9.328523511170179,56,11.462541594737768,1694,10.720840453135878,56,11.79645926670762,2113,13.372571356243276,59,11.984834650508654
walking,same_batch_any_group,100,15801,14329,164,1.0379089931017025,13,12.09129970501517,192,1.2151129675337005,14,12.60386498009058,258,1.63280805012341,15,13.246698586253856,606,3.835200303778242,30,11.362405626574272,710,4.493386494525663,31,11.691860865768708,925,5.854059869628505,32,11.751769430105535,1474,9.328523511170179,56,11.462541594737768,1694,10.720840453135878,56,11.79645926670762,2113,13.372571356243276,59,11.984834650508654
driving,same_batch_same_group,100,15801,14413,163,1.0315802797291311,13,11.99609644187839,201,1.2720713878868426,15,11.999744505684982,267,1.689766470476552,16,12.769739999589229,603,3.816214163660528,30,11.417034698607655,719,4.5503449148788055,31,11.594162364861493,944,5.97430542370736,33,11.555518629357472,1528,9.670274033289033,56,11.14201942457538,1752,11.087905828745017,56,11.450937590747591,2176,13.771280298715272,60,11.626304922432091
driving,same_batch_any_group,100,15801,14455,163,1.0315802797291311,13,11.99609644187839,201,1.2720713878868426,15,11.999744505684982,267,1.689766470476552,16,12.769739999589229,603,3.816214163660528,30,11.417034698607655,719,4.5503449148788055,31,11.594162364861493,944,5.97430542370736,33,11.555518629357472,1528,9.670274033289033,56,11.14201942457538,1752,11.087905828745017,56,11.450937590747591,2176,13.771280298715272,60,11.626304922432091
high_speed,same_batch_same_group,100,15829,14455,173,1.0929306968222883,13,11.584061653633418,214,1.3519489544506917,15,11.290120995044907,281,1.7752226925263757,17,12.203503387751296,607,3.834733716596121,30,11.376655043416784,725,4.580200897087624,31,11.441268861973713,950,6.001642554804473,33,11.442862080972793,1506,9.514182828984774,58,11.174712852260084,1734,10.954577042137847,58,11.478006780893827,2159,13.639522395603008,62,11.64781941979761
high_speed,same_batch_any_group,100,15829,14468,173,1.0929306968222883,13,11.584061653633418,214,1.3519489544506917,15,11.290120995044907,281,1.7752226925263757,17,12.203503387751296,607,3.834733716596121,30,11.376655043416784,725,4.580200897087624,31,11.441268861973713,950,6.001642554804473,33,11.442862080972793,1506,9.514182828984774,58,11.174712852260084,1734,10.954577042137847,58,11.478006780893827,2159,13.639522395603008,62,11.64781941979761
