effect,metric,episodes,mean_delta,ci95_low,ci95_high,changed_episode_rate
horizon_effect_low_weight,avg_e2e_ms,20,-28.283406497235138,-87.48125663655523,30.91444364208495,0.05
horizon_effect_low_weight,p95_e2e_ms,20,-21.02640200454498,-65.03516717771573,22.982363168625778,0.05
horizon_effect_low_weight,slo_satisfaction,20,-0.004166666666666671,-0.01288760022670111,0.004554266893367768,0.05
horizon_effect_low_weight,throughput_rps,20,-1.8402513214171855e-05,-5.6919416032999475e-05,2.0114389604655765e-05,0.05
horizon_effect_low_weight,goodput_rps,20,-0.001331085494168216,-0.004117079451936201,0.0014549084635997697,0.05
horizon_effect_low_weight,handover_events,20,0.05,-0.05465120272041313,0.15465120272041313,0.05
horizon_effect_low_weight,handover_overhead_ms,20,0.6410005405506389,-0.7006290097105476,1.9826300908118255,0.05
horizon_effect_low_weight,mean_batch_size,20,0.0,0.0,0.0,0.0
horizon_effect_low_weight,mapping_steps,20,0.0,0.0,0.0,0.0
horizon_effect_high_weight,avg_e2e_ms,20,2.6646027131881054,-245.1485312587962,250.47773668517243,0.3
horizon_effect_high_weight,p95_e2e_ms,20,452.0394648243646,-109.49310210707847,1013.5720317558076,0.3
horizon_effect_high_weight,slo_satisfaction,20,2.7755575615628915e-18,-0.021916782633435786,0.021916782633435793,0.15
horizon_effect_high_weight,throughput_rps,20,-0.0032971496569937863,-0.01050191110672811,0.0039076117927405365,0.3
horizon_effect_high_weight,goodput_rps,20,-0.0023837782448755456,-0.011062321734181604,0.006294765244430514,0.3
horizon_effect_high_weight,handover_events,20,0.05,-0.3052953150143333,0.4052953150143333,0.25
horizon_effect_high_weight,handover_overhead_ms,20,0.753423536432632,-3.860142644661723,5.366989717526987,0.25
horizon_effect_high_weight,mean_batch_size,20,-0.06999999999999999,-0.1519113179143503,0.011911317914350336,0.15
horizon_effect_high_weight,mapping_steps,20,4.2,-0.6007660531554597,9.00076605315546,0.15
weight_effect_prefill,avg_e2e_ms,20,-73.89186259476428,-228.54930843063607,80.76558324110754,0.05
weight_effect_prefill,p95_e2e_ms,20,-245.7344705962576,-760.0626285515048,268.5936873589895,0.05
weight_effect_prefill,slo_satisfaction,20,0.004166666666666663,-0.004554266893367759,0.012887600226701084,0.05
weight_effect_prefill,throughput_rps,20,0.0029511582908107654,-0.0032256870002225426,0.009128003581844074,0.05
weight_effect_prefill,goodput_rps,20,0.0032713056866791254,-0.0035756158048628247,0.010118227178221076,0.05
weight_effect_prefill,handover_events,20,-0.1,-0.30930240544082627,0.10930240544082626,0.05
weight_effect_prefill,handover_overhead_ms,20,-1.280476358244148,-3.9605441771502417,1.3995914606619457,0.05
weight_effect_prefill,mean_batch_size,20,0.0,0.0,0.0,0.0
weight_effect_prefill,mapping_steps,20,0.0,0.0,0.0,0.0
weight_effect_service,avg_e2e_ms,20,-42.94385338434104,-222.1675675209795,136.27986075229745,0.2
weight_effect_service,p95_e2e_ms,20,227.33139623265197,-37.28539609464957,491.9481885599535,0.2
weight_effect_service,slo_satisfaction,20,0.008333333333333337,-0.009108533786735528,0.025775200453402203,0.05
weight_effect_service,throughput_rps,20,-0.0003275888529688492,-0.0040995003293655685,0.00344432262342787,0.2
weight_effect_service,goodput_rps,20,0.0022186129359717957,-0.0020210081388460765,0.006458234010789668,0.2
weight_effect_service,handover_events,20,-0.1,-0.35858088531710364,0.15858088531710365,0.15
weight_effect_service,handover_overhead_ms,20,-1.168053362362155,-4.580646507637455,2.2445397829131455,0.15
weight_effect_service,mean_batch_size,20,-0.06999999999999999,-0.1519113179143503,0.011911317914350336,0.15
weight_effect_service,mapping_steps,20,4.2,-0.6007660531554597,9.00076605315546,0.15
horizon_weight_interaction,avg_e2e_ms,20,30.948009210423244,-208.85050723761827,270.74652565846475,0.25
horizon_weight_interaction,p95_e2e_ms,20,473.0658668289096,-82.62760563666114,1028.7593392944802,0.25
horizon_weight_interaction,slo_satisfaction,20,0.004166666666666674,-0.015740239743573213,0.02407357307690656,0.1
horizon_weight_interaction,throughput_rps,20,-0.0032787471437796143,-0.0104853363076231,0.0039278420200638715,0.25
horizon_weight_interaction,goodput_rps,20,-0.0010526927507073295,-0.009311112900859684,0.007205727399445025,0.25
horizon_weight_interaction,handover_events,20,0.0,-0.3395333365669788,0.3395333365669788,0.2
horizon_weight_interaction,handover_overhead_ms,20,0.11242299588199316,-4.305523775254013,4.530369767018,0.2
horizon_weight_interaction,mean_batch_size,20,-0.06999999999999999,-0.1519113179143503,0.011911317914350336,0.15
horizon_weight_interaction,mapping_steps,20,4.2,-0.6007660531554597,9.00076605315546,0.15
