condition,horizon,weight,episodes,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_overhead_ms,mean_batch_size,mapping_steps,avg_change_pct,p95_change_pct,slo_change_pp,goodput_change_pct
prefill_w0p003,prefill,0.003,20,10266.755736400228,18596.501684131632,0.5291666666666666,0.2990949140870055,0.15446346893577015,7.65,99.2787836513377,2.0038095238095237,179.2,0.0,0.0,0.0,0.0
service_w0p003,service,0.003,20,10238.472329902992,18575.47528212709,0.5249999999999999,0.29907651157379134,0.1531323834416019,7.7,99.91978419188835,2.0038095238095237,179.2,-0.2754853356153997,-0.11306643777245773,-0.4166666666666652,-0.8617477668598439
prefill_w0p3,prefill,0.3,20,10192.863873805463,18350.767213535375,0.5333333333333333,0.30204607237781633,0.15773477462244925,7.55,97.99830729309356,2.0038095238095237,179.2,-0.7197196903475978,-1.3214015989143846,0.4166666666666763,2.117850718501857
service_w0p3,service,0.3,20,10195.528476518652,18802.80667835974,0.5333333333333333,0.29874892272082254,0.15535099637757369,7.6,98.7517308295262,1.9338095238095239,183.4,-0.6937659929810547,1.109375288601444,0.4166666666666763,0.5745872780913652
