mobility_mode,episodes,mappings,baseline_mismatch,risk_alternative_mappings,risk_alternative_rate_pct,accepted_rel_0p01,coverage_rel_0p01_pct,episodes_rel_0p01,mean_risk_rel_0p01,min_risk_rel_0p01,accepted_rel_0p02,coverage_rel_0p02_pct,episodes_rel_0p02,mean_risk_rel_0p02,min_risk_rel_0p02,accepted_rel_0p05,coverage_rel_0p05_pct,episodes_rel_0p05,mean_risk_rel_0p05,min_risk_rel_0p05,accepted_rel_0p1,coverage_rel_0p1_pct,episodes_rel_0p1,mean_risk_rel_0p1,min_risk_rel_0p1
driving,100,574,0,39,6.794425087108014,6,1.0452961672473868,6,0.04717062286043953,9.823427235920724e-05,8,1.3937282229965158,8,0.04063820811805064,9.823427235920724e-05,9,1.5679442508710801,9,0.04084322495064373,9.823427235920724e-05,16,2.7874564459930316,14,0.0700484394368176,9.823427235920724e-05
high_speed,100,575,0,37,6.434782608695652,5,0.8695652173913043,5,0.535722969094654,0.039407724320007,5,0.8695652173913043,5,0.535722969094654,0.039407724320007,7,1.2173913043478262,7,0.8499765635230775,0.039407724320007,13,2.260869565217391,13,0.483187222921033,0.0126274713825582
