mode,keep_avg_ms,reactive_avg_ms,prefetch_avg_ms,reactive_gain_pct,reactive_gain_ms,reactive_ci_low_ms,reactive_ci_high_ms,prefetch_extra_pct,prefetch_extra_ms,extra_ci_low_ms,extra_ci_high_ms,total_gain_pct,total_gain_ms,total_ci_low_ms,total_ci_high_ms,reactive_p95_gain_pct,prefetch_p95_gain_pct,extra_p95_pct,keep_slo,reactive_slo,prefetch_slo,prefetch_extra_slo_pp,prefetch_goodput_gain_pct,keep_handover,reactive_handover,prefetch_handover,reactive_migration_mb,prefetch_actual_mb,prefetch_traffic_overhead_pct,prefetch_waste_pct,reactive_planner_mean_ms,reactive_planner_p95_ms,predictive_planner_calls,predictive_planner_mean_ms,fallback_calls
stationary,15740.858234968435,15740.858234968435,15740.858234968435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4125,0.4125,0.4125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
walking,15747.320382073953,14886.321904048915,14810.587496726335,5.467587228397031,860.9984780250352,172.64440248749634,1549.352553562574,0.5087516433591288,75.73440732258206,10.909205364624924,140.55960928053918,5.948522431879599,936.7328853476173,192.30214555691657,1681.163625138318,7.3966270676373735,8.045905064572977,0.7011386047566903,0.4125,0.41333333333333333,0.4141666666666666,0.0833333333333297,0.13753134827421132,0.73,0.71,0.74,48.89994140625,55.90222084383639,14.319607010186331,14.251852404826698,47.86424536619718,65.34886900000001,55,47.264038327272736,36
driving,15754.965489284976,13404.62075723025,13215.764703155204,14.91812047226131,2350.3447320547252,1140.8919081810254,3559.797555928425,1.4088877074211914,188.85605407505153,19.97261754616929,357.73949060393375,16.11682861417052,2539.2007861297766,1217.9692256020173,3860.432346657536,18.36383586956465,18.59386775687475,0.2817769425601302,0.4108333333333334,0.4275,0.4275,0.0,0.24529363914576052,3.67,3.14,3.06,105.266015625,115.93311949970973,10.133473573000295,15.902825479882246,55.85025527707007,68.67549984999998,249,56.43091912449799,171
high_speed,15706.25550474346,11744.482577957586,11452.420345398325,25.224172149685042,3961.772926785872,2257.335205757746,5666.210647813999,2.4868037448274927,292.06223255926494,147.91759411410064,436.2068710044292,27.08370023689244,4253.835159345138,2505.336070344245,6002.334248346031,28.137679473079846,29.48755342509862,1.878416870094135,0.4116666666666666,0.44916666666666666,0.465,1.5833333333333366,3.505065512484906,12.55,10.18,10.05,166.98234375,184.24023939284643,10.335161943040116,20.482079554967555,59.196082449901766,69.40532725,734,59.9377730013624,756
