method,mobility,avg_e2e_s,goodput_rps,handover_overhead_ms,completion_ratio,mean_batch_size
PETALS,stationary,6.20845113329221,0.15877804629638892,0.0,1.0,1.0
PETALS,walking,6.211385695718822,0.15877672645818336,1.11808196691278,1.0,1.0
PETALS,driving,6.223605046784588,0.15875838992233507,7.023453937181621,1.0,1.0
PETALS,high_speed,6.2291216997026435,0.15868848543728042,31.28160262193043,1.0,1.0
EdgeShard,stationary,6.864906110472554,0.13635264110670994,0.0,1.0,1.0
EdgeShard,walking,6.867891893072269,0.13635081094795942,1.3865398597549916,1.0,1.0
EdgeShard,driving,6.882362613558965,0.13633411740824816,7.703213020285691,1.0,1.0
EdgeShard,high_speed,6.885518061241012,0.1362744411196919,34.865957972715776,1.0,1.0
