edge_nodes,calls,mean_candidate_ms,p95_candidate_ms,wall_s,rss_mb,relative_x
4,1242,0.1787459935195108,0.2408419328276068,3.76,780.4609375,1.0
6,1215,0.3287237478657759,0.4668215755373239,4.25,777.9140625,1.8390551944309426
8,1188,0.4528742380595456,0.6838022090960294,12.0,780.52734375,2.533618959185861
10,1242,1.0430272699531689,1.5284114866517484,7.18,777.5859375,5.83524838468236
