tag,mean_util_pct,std_util_pct,min_util_pct,max_util_pct,mean_memory_mib
0p00,0.0,0.0,0,0,1.0
0p10,11.0,0.0,11,11,560.0
0p20,20.0,1.7831116564834573,14,23,560.0
0p30,29.925,0.2667467828369185,29,30,560.0
0p40,40.2,1.066987131347674,37,41,560.0
0p50,49.85,1.3876746829286126,48,52,560.0
0p60,58.975,0.5304811555656397,56,60,560.0
0p70,69.65,0.9753368911725072,67,71,560.0
0p80,80.6,0.9554164080758257,77,82,560.0
