node_type,phase,batch_size,token_length,group_size,latency_ms,peak_memory_gb
edge_fast,prefill,1,128,28,12.726751971058547,2.925077438354492
edge_fast,decode,1,128,28,10.22068748716265,2.9250259399414062
edge_fast,prefill,1,512,28,25.402435974683613,3.0444679260253906
edge_fast,decode,1,512,28,10.19151002401486,3.043076515197754
edge_fast,prefill,1,2048,28,89.20312151894905,3.5248374938964844
edge_fast,decode,1,2048,28,10.567574994638562,3.561000347137451
edge_fast,prefill,4,128,28,24.964862008346245,3.0444679260253906
edge_fast,decode,4,128,28,12.030979472910985,3.044468879699707
edge_fast,prefill,4,512,28,85.13975550886244,3.5248374938964844
edge_fast,decode,4,512,28,12.612709979293868,3.56173038482666
edge_fast,prefill,4,2048,28,336.5970590093639,5.444850921630859
edge_fast,decode,4,2048,28,12.86580998566933,5.425539493560791
edge_fast,prefill,8,128,28,41.7637515347451,3.204265594482422
edge_fast,decode,8,128,28,12.389292503939942,3.2038450241088867
edge_fast,prefill,8,512,28,172.41275749984197,4.165493011474609
edge_fast,decode,8,512,28,12.263687996892259,4.156306266784668
edge_fast,prefill,8,2048,28,701.9762600248214,8.00551986694336
edge_fast,decode,8,2048,28,14.171152492053807,7.966894626617432
