timestamp,gpu_util_pct,memory_used_mib
1786245493.254352394,59,560
1786245493.792916178,59,560
1786245494.326529824,59,560
1786245494.861916277,59,560
1786245495.399170022,59,560
1786245495.932846263,59,560
1786245496.468417464,59,560
1786245497.002878476,59,560
1786245497.537224644,59,560
1786245498.071971485,59,560
1786245498.607185626,59,560
1786245499.141972362,59,560
1786245499.678745879,59,560
1786245500.214487311,59,560
1786245500.752941286,59,560
1786245501.286612856,56,560
1786245501.822079990,59,560
1786245502.360914769,59,560
1786245502.898030030,59,560
1786245503.432945825,59,560
1786245503.970127820,59,560
1786245504.506207490,59,560
1786245505.041007267,59,560
1786245505.578183009,59,560
1786245506.113865710,59,560
1786245506.648897143,59,560
1786245507.184201858,59,560
1786245507.723139273,59,560
1786245508.258013147,60,560
1786245508.792501071,59,560
1786245509.330658420,59,560
1786245509.865055369,59,560
1786245510.400834877,59,560
1786245510.936652837,59,560
1786245511.471532294,59,560
1786245512.009129499,59,560
1786245512.545073889,60,560
1786245513.079839678,59,560
1786245513.616034092,59,560
1786245514.151052193,59,560
