phase,tag,rho,slowdown_pct,std_pct,p10_pct,p90_pct
decode,0p10,0.11,8.619573038713042,5.394316856934358,0.9800814776427202,14.590656791593357
decode,0p20,0.2,7.9590015931488285,10.010420957134045,-1.093316860623583,23.124336150356896
decode,0p30,0.29925,11.627908472564618,9.388776520475746,-0.49341321293013374,23.110128577204613
decode,0p40,0.402,17.270293597641505,7.861745375571242,9.709018293869075,25.013307832900352
decode,0p50,0.4985,21.29843915915201,10.384163361297494,7.236251934540969,32.58141795658552
decode,0p60,0.58975,26.72836194396131,9.744197745920115,14.061474433356782,34.91770916815884
decode,0p70,0.6965,39.05144428613954,11.22694447633747,28.16561043610114,49.73027346515731
decode,0p80,0.8059999999999999,41.8527657510787,11.522915307680636,28.352602250981125,51.66721757686233
prefill,0p10,0.11,9.36542365626932,3.2301550422518086,6.883219200414916,11.573553488947068
prefill,0p20,0.2,12.160097028692217,2.573500948903786,9.007976996743704,14.19038784773309
prefill,0p30,0.29925,16.141498338401334,3.6837862815712237,13.283446352446472,18.31944093046698
prefill,0p40,0.402,22.04816405322903,3.1826710789022594,18.02873941399507,25.180510159433666
prefill,0p50,0.4985,27.55350057031636,5.330242613574731,23.00466681531719,30.752124059583554
prefill,0p60,0.58975,34.312101022555574,7.371944481274935,30.5288907166636,38.30882623086746
prefill,0p70,0.6965,41.008161128494805,3.65427565582626,36.45074405154015,44.05560628307429
prefill,0p80,0.8059999999999999,48.655715222730926,6.942424571024508,42.9094526597067,53.47029892865216
