timestamp,gpu_util_pct,memory_used_mib
1786245654.597451534,81,560
1786245655.132517050,81,560
1786245655.668220549,80,560
1786245656.204827937,81,560
1786245656.739513710,82,560
1786245657.274444416,80,560
1786245657.811216883,81,560
1786245658.347405494,81,560
1786245658.882163419,80,560
1786245659.416181248,81,560
1786245659.958493187,81,560
1786245660.493192894,81,560
1786245661.035245592,82,560
1786245661.570776718,81,560
1786245662.107165335,81,560
1786245662.641731718,81,560
1786245663.176748690,81,560
1786245663.711262879,81,560
1786245664.245435498,80,560
1786245664.780242129,81,560
1786245665.315437855,81,560
1786245665.851846781,80,560
1786245666.386764824,81,560
1786245666.919708111,81,560
1786245667.453957674,81,560
1786245667.990570056,81,560
1786245668.527130160,81,560
1786245669.062678949,81,560
1786245669.597353697,79,560
1786245670.132510031,79,560
1786245670.667450033,81,560
1786245671.201750650,81,560
1786245671.737277018,79,560
1786245672.273689971,77,560
1786245672.809799049,79,560
1786245673.348106507,81,560
1786245673.883932794,80,560
1786245674.418546371,82,560
1786245674.954379747,80,560
1786245675.492100735,81,560
