node_type,phase,batch_size,token_length,group_size,latency_ms,peak_memory_gb,idle_ms,tag,rho,slowdown,slowdown_pct
edge_fast,prefill,1,128,28,11.119009519461542,2.925077438354492,9.655238507548347,0p10,0.11,1.1516038170127891,15.160381701278913
edge_fast,decode,1,128,28,9.295973984990267,2.9250259399414062,8.546328492229804,0p10,0.11,1.0877155018604807,8.77155018604807
edge_fast,prefill,1,512,28,17.905704968143255,3.04446792602539,17.43668701965362,0p10,0.11,1.026898340720401,2.6898340720401093
edge_fast,decode,1,512,28,8.280160982394591,3.043076515197754,7.807021989719942,0p10,0.11,1.0606042858977038,6.060428589770384
edge_fast,prefill,1,2048,28,63.13778803450987,3.5248374938964844,58.13206150196493,0p10,0.11,1.0861095650697978,8.610956506979782
edge_fast,decode,1,2048,28,8.998275501653552,3.561000347137451,7.888109510531649,0p10,0.11,1.14073917072775,14.07391707277501
edge_fast,prefill,4,128,28,18.314828019356355,3.04446792602539,16.968926502158865,0p10,0.11,1.0793156548250862,7.931565482508618
edge_fast,decode,4,128,28,9.21214948175475,3.044468879699707,8.309366996400058,0p10,0.11,1.1086463608775268,10.864636087752677
edge_fast,prefill,4,512,28,60.940186493098736,3.5248374938964844,55.57264748495072,0p10,0.11,1.0965859870109942,9.658598701099418
edge_fast,decode,4,512,28,9.345817001303658,3.56173038482666,8.380798011785373,0p10,0.11,1.1151464321370401,11.514643213704012
edge_fast,prefill,4,2048,28,241.0789630084764,5.444850921630859,219.9476435198449,0p10,0.11,1.0960743163712274,9.607431637122744
edge_fast,decode,4,2048,28,8.932525990530849,5.425539493560791,8.852863014908507,0p10,0.11,1.008998555098863,0.8998555098862937
edge_fast,prefill,8,128,28,30.602951534092423,3.204265594482422,27.880439505679533,0p10,0.11,1.0976495376932018,9.764953769320183
edge_fast,decode,8,128,28,9.243756998330356,3.2038450241088867,7.923835015390068,0p10,0.11,1.1665761566686674,16.657615666866743
edge_fast,prefill,8,512,28,126.44582148641348,4.165493011474609,114.75436598993838,0p10,0.11,1.1018824460021,10.188244600209995
edge_fast,decode,8,512,28,8.951545489253476,4.156306266784668,8.30898099229671,0p10,0.11,1.0773337305203237,7.733373052032366
edge_fast,prefill,8,2048,28,505.95850398531184,8.00551986694336,457.14936798322015,0p10,0.11,1.106768464358641,10.676846435864107
edge_fast,decode,8,2048,28,9.670287487097085,7.966894626617432,9.574528987286612,0p10,0.11,1.0100013796958183,1.0001379695818269
edge_fast,prefill,1,128,28,10.291159996995702,2.925077438354492,9.655238507548347,0p20,0.2,1.065862846262182,6.586284626218197
edge_fast,decode,1,128,28,8.184671023627743,2.9250259399414062,8.546328492229804,0p20,0.2,0.9576827091386816,-4.231729086131841
edge_fast,prefill,1,512,28,19.112945505185053,3.04446792602539,17.43668701965362,0p20,0.2,1.0961340008937508,9.61340008937508
edge_fast,decode,1,512,28,8.059578016400337,3.043076515197754,7.807021989719942,0p20,0.2,1.0323498546581467,3.234985465814666
edge_fast,prefill,1,2048,28,65.82992550102063,3.5248374938964844,58.13206150196493,0p20,0.2,1.1324202823737035,13.242028237370352
edge_fast,decode,1,2048,28,8.091144496574998,3.561000347137451,7.888109510531649,0p20,0.2,1.0257393721236083,2.573937212360833
edge_fast,prefill,4,128,28,19.49642796535045,3.04446792602539,16.968926502158865,0p20,0.2,1.1489488131656427,14.894881316564268
edge_fast,decode,4,128,28,8.566705015255138,3.044468879699707,8.309366996400058,0p20,0.2,1.0309696296921977,3.096962969219774
edge_fast,prefill,4,512,28,62.28546248166822,3.5248374938964844,55.57264748495072,0p20,0.2,1.1207935072471642,12.07935072471642
edge_fast,decode,4,512,28,8.929873496526852,3.56173038482666,8.380798011785373,0p20,0.2,1.0655158952607318,6.551589526073176
edge_fast,prefill,4,2048,28,246.6760530078318,5.444850921630859,219.9476435198449,0p20,0.2,1.1215216906180463,12.15216906180463
edge_fast,decode,4,2048,28,8.82553300471045,5.425539493560791,8.852863014908507,0p20,0.2,0.9969128619575348,-0.30871380424651873
edge_fast,prefill,8,128,28,31.691306008724496,3.204265594482422,27.880439505679533,0p20,0.2,1.1366860268565224,13.668602685652242
edge_fast,decode,8,128,28,9.046264516655356,3.2038450241088867,7.923835015390068,0p20,0.2,1.141652305870232,14.165230587023192
edge_fast,prefill,8,512,28,129.89034297061153,4.165493011474609,114.75436598993838,0p20,0.2,1.1318989203600347,13.18989203600347
edge_fast,decode,8,512,28,10.22206651396118,4.156306266784668,8.30898099229671,0p20,0.2,1.230243097611861,23.024309761186103
edge_fast,prefill,8,2048,28,521.2154894834384,8.00551986694336,457.14936798322015,0p20,0.2,1.140142644805253,14.014264480525295
edge_fast,decode,8,2048,28,11.826883477624506,7.966894626617432,9.574528987286612,0p20,0.2,1.2352444170704007,23.52444170704007
edge_fast,prefill,1,128,28,10.306308511644602,2.925077438354492,9.655238507548347,0p30,0.29925,1.0674317888250255,6.743178882502554
edge_fast,decode,1,128,28,8.554877509595826,2.9250259399414062,8.546328492229804,0p30,0.29925,1.001000314623267,0.10003146232671067
edge_fast,prefill,1,512,28,20.03798147779889,3.04446792602539,17.43668701965362,0p30,0.29925,1.1491851321993245,14.91851321993245
edge_fast,decode,1,512,28,8.262237504823133,3.043076515197754,7.807021989719942,0p30,0.29925,1.0583084709768469,5.830847097684688
edge_fast,prefill,1,2048,28,68.5209289949853,3.5248374938964844,58.13206150196493,0p30,0.29925,1.1787114928423656,17.871149284236566
edge_fast,decode,1,2048,28,9.167657495709136,3.561000347137451,7.888109510531649,0p30,0.29925,1.1622122491414608,16.22122491414608
edge_fast,prefill,4,128,28,19.8169439972844,3.04446792602539,16.968926502158865,0p30,0.29925,1.1678372226294456,16.783722262944558
edge_fast,decode,4,128,28,8.071121497778222,3.044468879699707,8.309366996400058,0p30,0.29925,0.9713280808604249,-2.867191913957512
edge_fast,prefill,4,512,28,65.72977849282324,3.5248374938964844,55.57264748495072,0p30,0.29925,1.1827721274323508,18.277212743235083
