timestamp,gpu_util_pct,memory_used_mib
1786245338.037025705,40,560
1786245338.573888349,40,560
1786245339.109640043,40,560
1786245339.645181807,40,560
1786245340.182095649,40,560
1786245340.721547891,38,560
1786245341.260228334,40,560
1786245341.799057836,41,560
1786245342.335843937,41,560
1786245342.872640009,41,560
1786245343.407648108,41,560
1786245343.943830441,41,560
1786245344.490808026,38,560
1786245345.028394155,40,560
1786245345.564911194,37,560
1786245346.101846646,41,560
1786245346.638510319,41,560
1786245347.175515439,41,560
1786245347.712821415,41,560
1786245348.255957945,41,560
1786245348.792315239,41,560
1786245349.330383100,40,560
1786245349.868012956,40,560
1786245350.404950305,40,560
1786245350.938951856,40,560
1786245351.473116740,41,560
1786245352.008004886,41,560
1786245352.542599999,41,560
1786245353.081136908,41,560
1786245353.617034727,41,560
1786245354.154105701,40,560
1786245354.695268917,40,560
1786245355.232373615,40,560
1786245355.768839068,40,560
1786245356.305626839,37,560
1786245356.843482507,40,560
1786245357.383157080,41,560
1786245357.920331842,41,560
1786245358.457647582,39,560
1786245358.993949713,41,560
