node_type,phase,batch_size,token_length,group_size,latency_ms,peak_memory_gb
edge_fast,prefill,1,128,28,11.032053007511422,2.925077438354492
edge_fast,decode,1,128,28,9.050294000189751,2.9250259399414062
edge_fast,prefill,1,512,28,21.829143981449306,3.0444679260253906
edge_fast,decode,1,512,28,9.640465956181288,3.043076515197754
edge_fast,prefill,1,2048,28,75.79767098650336,3.5248374938964844
edge_fast,decode,1,2048,28,9.089767496334389,3.561000347137451
edge_fast,prefill,4,128,28,21.556254010647535,3.0444679260253906
edge_fast,decode,4,128,28,10.336220497265458,3.044468879699707
edge_fast,prefill,4,512,28,72.70679849898443,3.5248374938964844
edge_fast,decode,4,512,28,9.992964536650106,3.56173038482666
edge_fast,prefill,4,2048,28,287.5423019868322,5.444850921630859
edge_fast,decode,4,2048,28,11.300714977551252,5.425539493560791
edge_fast,prefill,8,128,28,36.24164601205848,3.204265594482422
edge_fast,decode,8,128,28,10.82857049186714,3.2038450241088867
edge_fast,prefill,8,512,28,148.91865948447958,4.165493011474609
edge_fast,decode,8,512,28,10.931480006547645,4.156306266784668
edge_fast,prefill,8,2048,28,593.3025050035212,8.00551986694336
edge_fast,decode,8,2048,28,10.299426008714363,7.966894626617432
