timestamp,gpu_util_pct,memory_used_mib
1786245573.217956586,70,560
1786245573.754044090,70,560
1786245574.290313629,70,560
1786245574.827173894,67,560
1786245575.367659628,70,560
1786245575.903447139,67,560
1786245576.440680240,70,560
1786245576.981402192,69,560
1786245577.517982776,70,560
1786245578.052632940,70,560
1786245578.590346432,70,560
1786245579.134870922,70,560
1786245579.674625807,71,560
1786245580.211170222,70,560
1786245580.747153064,70,560
1786245581.286540259,69,560
1786245581.821300957,70,560
1786245582.356982910,70,560
1786245582.895974718,70,560
1786245583.431069819,70,560
1786245583.970752193,69,560
1786245584.506093954,70,560
1786245585.042000894,71,560
1786245585.579444368,70,560
1786245586.116760288,71,560
1786245586.651852106,70,560
1786245587.187171606,69,560
1786245587.723985219,70,560
1786245588.259057496,70,560
1786245588.795226343,70,560
1786245589.329990422,70,560
1786245589.868189619,70,560
1786245590.411959614,69,560
1786245590.952517894,68,560
1786245591.491328901,71,560
1786245592.029211870,69,560
1786245592.564937086,69,560
1786245593.102188031,70,560
1786245593.638651052,70,560
1786245594.171992054,67,560
