node_type,phase,batch_size,token_length,group_size,latency_ms,peak_memory_gb
edge_fast,prefill,1,128,28,10.291159996995702,2.925077438354492
edge_fast,decode,1,128,28,8.184671023627743,2.9250259399414062
edge_fast,prefill,1,512,28,19.112945505185053,3.0444679260253906
edge_fast,decode,1,512,28,8.059578016400337,3.043076515197754
edge_fast,prefill,1,2048,28,65.82992550102063,3.5248374938964844
edge_fast,decode,1,2048,28,8.091144496574998,3.561000347137451
edge_fast,prefill,4,128,28,19.49642796535045,3.0444679260253906
edge_fast,decode,4,128,28,8.566705015255138,3.044468879699707
edge_fast,prefill,4,512,28,62.28546248166822,3.5248374938964844
edge_fast,decode,4,512,28,8.929873496526852,3.56173038482666
edge_fast,prefill,4,2048,28,246.6760530078318,5.444850921630859
edge_fast,decode,4,2048,28,8.82553300471045,5.425539493560791
edge_fast,prefill,8,128,28,31.691306008724496,3.204265594482422
edge_fast,decode,8,128,28,9.046264516655356,3.2038450241088867
edge_fast,prefill,8,512,28,129.89034297061153,4.165493011474609
edge_fast,decode,8,512,28,10.222066513961181,4.156306266784668
edge_fast,prefill,8,2048,28,521.2154894834384,8.00551986694336
edge_fast,decode,8,2048,28,11.826883477624506,7.966894626617432
