timestamp,gpu_util_pct,memory_used_mib
1786245187.174627522,19,560
1786245187.709670233,19,560
1786245188.247443907,19,560
1786245188.783017158,22,560
1786245189.319281291,22,560
1786245189.855078148,23,560
1786245190.390886885,23,560
1786245190.928041665,20,560
1786245191.464296728,23,560
1786245192.004156425,19,560
1786245192.544958024,19,560
1786245193.080688345,22,560
1786245193.617861307,20,560
1786245194.153505293,19,560
1786245194.693199361,19,560
1786245195.231561444,21,560
1786245195.769268057,20,560
1786245196.305291892,21,560
1786245196.842874800,22,560
1786245197.378656099,21,560
1786245197.914163674,19,560
1786245198.451542674,19,560
1786245198.990827215,19,560
1786245199.528999175,19,560
1786245200.065964314,22,560
1786245200.603114741,19,560
1786245201.139767533,19,560
1786245201.683300227,17,560
1786245202.235393108,19,560
1786245202.773476530,20,560
1786245203.314970152,19,560
1786245203.859583705,21,560
1786245204.408235233,14,560
1786245204.948913302,19,560
1786245205.485789223,19,560
1786245206.021912485,19,560
1786245206.556229273,22,560
1786245207.092602958,22,560
1786245207.629345199,19,560
1786245208.165089541,21,560
