timestamp,gpu_util_pct,memory_used_mib
1786245414.380403090,48,560
1786245414.919404655,48,560
1786245415.459981117,51,560
1786245415.999502686,48,560
1786245416.535657111,48,560
1786245417.071108828,51,560
1786245417.608426459,51,560
1786245418.143514700,51,560
1786245418.681314414,52,560
1786245419.222754737,49,560
1786245419.762177610,52,560
1786245420.301058387,50,560
1786245420.837857635,50,560
1786245421.378476891,50,560
1786245421.913474000,50,560
1786245422.448730750,49,560
1786245422.984953234,51,560
1786245423.519054134,51,560
1786245424.053976669,49,560
1786245424.588797508,52,560
1786245425.127141752,48,560
1786245425.669170068,48,560
1786245426.209013911,48,560
1786245426.748429332,48,560
1786245427.286169878,50,560
1786245427.821396476,51,560
1786245428.356088467,51,560
1786245428.891198262,48,560
1786245429.426487460,52,560
1786245429.961827613,48,560
1786245430.497411813,50,560
1786245431.035360803,51,560
1786245431.571559519,49,560
1786245432.105961588,50,560
1786245432.642168084,50,560
1786245433.180784279,51,560
1786245433.716173769,50,560
1786245434.251605244,48,560
1786245434.784890490,51,560
1786245435.319810925,51,560
