episode,episode_seed,arrival_rate_rps,method,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,migration_ms,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,mapping_steps,reward,failure_reason
0,20007,0.4,node_dp,driving,reactive,0.1,12,0,1.0,8,1.5,56444.26586637169,8791.302952293001,11930.202368328843,0.41666666666666663,0.21259909781463468,0.08858295742276445,1,1,0.0,53.8125,645.775915794868,645.775915794868,645.775915794868,53.8125,224,-297.45651890814327,
1,20008,0.4,node_dp,driving,reactive,0.1,12,0,1.0,8,1.5,22077.553482406867,3707.8732749404903,6828.537473070022,0.41666666666666663,0.5435384862531324,0.22647436927213851,0,0,,0.0,0.0,0.0,0.0,0.0,224,-146.28972704742998,
2,20009,0.4,node_dp,driving,reactive,0.1,12,0,1.0,4,3.0,40235.385831761945,15825.620295307073,25156.98599523263,0.16666666666666663,0.2982449342023498,0.049707489033724975,4,4,0.0,490.546875,5317.841543198938,1329.4603857997345,1329.4603857997345,122.63671875,112,-178.28975615352377,
3,20010,0.4,node_dp,driving,reactive,0.1,12,0,1.0,6,2.0,61725.446079720976,21470.66495090707,42255.8343956278,0.5833333333333333,0.19440928761375822,0.11340541777469229,7,7,0.42857142857142855,1502.15625,19633.74524356352,2804.820749080503,2804.820749080503,214.59375,168,-246.01238861942903,
4,20011,0.4,node_dp,driving,reactive,0.1,12,0,1.0,4,3.0,47584.87893654828,13902.252343622973,23167.727649764114,0.5833333333333333,0.25218095050743566,0.14710555446267082,4,4,0.75,942.375,11594.605934903682,2898.6514837259206,2898.6514837259206,235.59375,112,-186.80825438647787,
5,20012,0.4,node_dp,driving,reactive,0.1,12,0,1.0,6,2.0,33534.0735787931,8648.130850587537,14522.700743845213,0.25,0.3578449833064356,0.0894612458266089,1,1,0.0,29.203125,209.34704855158026,209.34704855158026,209.34704855158026,29.203125,168,-179.64101229365366,
6,20013,0.4,node_dp,driving,reactive,0.1,12,0,1.0,3,4.0,36071.35382579014,13416.555390700798,23139.232551609588,0.33333333333333337,0.33267395667917216,0.11089131889305738,1,1,1.0,240.1875,1467.5171460349295,1467.5171460349295,1467.5171460349295,240.1875,84,-153.99149483672943,
7,20014,0.4,node_dp,driving,reactive,0.1,12,0,1.0,4,3.0,57260.41057583435,21201.211962690042,43219.222299122164,0.25,0.2095688780314888,0.0523922195078722,7,6,0.3333333333333333,1106.109375,12292.068876229354,1756.0098394613362,2048.678146038226,158.015625,112,-224.66416789025374,
8,20015,0.4,node_dp,driving,reactive,0.1,12,0,1.0,7,1.7142857142857142,45172.54924653008,8250.998689700633,15602.412986573627,0.5833333333333333,0.26564805839293604,0.15496136739587935,1,1,1.0,258.3984375,2036.807339971,2036.807339971,2036.807339971,258.3984375,196,-205.254387063487,
9,20016,0.4,node_dp,driving,reactive,0.1,12,0,1.0,4,3.0,51327.74270030612,21280.28015844127,36415.519446770035,0.25,0.23379169565406258,0.058447923913515644,7,7,0.2857142857142857,1161.0703125,13146.452807173722,1878.064686739103,1878.064686739103,165.8671875,112,-219.03635637815714,
10,20017,0.4,node_dp,driving,reactive,0.1,12,0,1.0,8,1.5,41374.63550750206,9218.094869666062,17333.076996694483,0.75,0.2900327665200617,0.21752457489004626,2,2,1.0,459.2109375,5422.625880115402,2711.312940057701,2711.312940057701,229.60546875,224,-200.48308958652893,
11,20018,0.4,node_dp,driving,reactive,0.1,12,0,1.0,7,1.7142857142857142,43580.06097404506,12572.422916869406,27307.202784022844,0.5,0.27535528247991276,0.13767764123995638,3,3,1.0,609.0,7411.222364406917,2470.407454802306,2470.407454802306,203.0,196,-237.76929461201567,
12,20019,0.4,node_dp,driving,reactive,0.1,12,0,1.0,6,2.0,50573.524143948234,11204.460606041808,25813.184995801865,0.5,0.23727830328462393,0.11863915164231197,3,2,1.0,607.5234375,5394.628898951817,1798.209632983939,2697.3144494759085,202.5078125,168,-259.5195808552069,
13,20020,0.4,node_dp,driving,reactive,0.1,12,0,1.0,7,1.7142857142857142,55496.54757138327,12338.272783927729,26220.615573171188,0.6666666666666667,0.21622966698180313,0.14415311132120207,3,3,0.6666666666666666,496.9453125,7230.669132834844,2410.2230442782816,2410.2230442782816,165.6484375,196,-225.67088906377566,
14,20021,0.4,node_dp,driving,reactive,0.1,12,0,1.0,4,3.0,49842.64080672288,13684.036535927002,27051.07867929803,0.5833333333333333,0.24075770877656658,0.14044199678633051,3,3,0.0,758.1328125,7084.121753018769,2361.3739176729227,2361.3739176729227,252.7109375,112,-208.67626923919173,
15,20022,0.4,node_dp,driving,reactive,0.1,12,0,1.0,8,1.5,35740.92614781268,6374.773576846393,12824.71089686791,0.41666666666666663,0.3357495536173841,0.13989564734057672,0,0,,0.0,0.0,0.0,0.0,0.0,224,-177.0479282999034,
