episode,batcher,arrival_rate_rps,max_requests,agent_checkpoint,total_requests,served_requests,dropped_requests,completion_ratio,batches,mean_pending_size,max_pending_size,batch_opportunity_rate,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,prefill_ms,decode_service_ms,transfer_mb,handover_ms,slo_violations,slo_rate,slo_satisfaction,throughput_rps,goodput_rps,mapping_steps,reward,failure_reason
0,node_conditioned_dp,0.6,12,outputs/train_ablation_wo_mobility_seed7/agent_ep250.pt,12,12,0,1.0,7,1.7142857142857142,3,0.42857142857142855,1.7142857142857142,19394.50227328087,3633.105399121778,6158.580577602425,9684.65731130434,8637.400396591633,92.1884765625,455.4940240490997,11,0.9166666666666666,0.08333333333333337,0.618732042251581,0.05156100352096508,196,-130.2044117630995,
1,node_conditioned_dp,0.6,12,outputs/train_ablation_wo_mobility_seed7/agent_ep250.pt,12,12,0,1.0,6,2.6666666666666665,8,0.3333333333333333,2.0,32520.995062905735,7805.63072901376,16515.951188477204,6186.033267352152,22715.4596342018,34.7783203125,427.1069302998589,8,0.6666666666666666,0.33333333333333337,0.3689923994265324,0.1229974664755108,168,-175.4130671229784,
2,node_conditioned_dp,0.6,12,outputs/train_ablation_wo_mobility_seed7/agent_ep250.pt,12,12,0,1.0,11,1.0909090909090908,2,0.09090909090909091,1.0909090909090908,24211.40561443336,1433.2271274321893,2863.826901510257,5066.80165528031,7197.198973182368,27.4189453125,565.8476048128025,3,0.25,0.75,0.49563417304637336,0.37172562978478,308,-87.02878252244487,
3,node_conditioned_dp,0.6,12,outputs/train_ablation_wo_mobility_seed7/agent_ep250.pt,12,12,0,1.0,7,1.8571428571428572,5,0.42857142857142855,1.7142857142857142,18029.526023250994,3772.969271387865,5424.460049410093,8404.447727973979,9026.831929290933,36.1083984375,598.2463659860815,6,0.5,0.5,0.6655749011108069,0.33278745055540343,196,-128.28534323099916,
4,node_conditioned_dp,0.6,12,outputs/train_ablation_wo_mobility_seed7/agent_ep250.pt,12,12,0,1.0,9,1.3333333333333333,2,0.3333333333333333,1.3333333333333333,16103.638964431218,2023.4545849104895,3407.3463027722055,7856.980664239053,4653.884460742774,35.0390625,737.4772165749067,4,0.3333333333333333,0.6666666666666667,0.7451731888987888,0.49678212593252585,252,-101.5946096596529,
5,node_conditioned_dp,0.6,12,outputs/train_ablation_wo_mobility_seed7/agent_ep250.pt,12,12,0,1.0,4,3.25,8,0.5,3.0,27014.106782597748,10607.72390596735,14152.530738447942,10804.540912652688,15973.155124794936,139.1220703125,236.4107451501251,12,1.0,0.0,0.44421235529172837,0.0,112,-173.9393375481092,
6,node_conditioned_dp,0.6,12,outputs/train_ablation_wo_mobility_seed7/agent_ep250.pt,12,12,0,1.0,7,1.7142857142857142,4,0.2857142857142857,1.7142857142857142,14695.03704223737,2428.113034406904,4165.281961641911,6632.645247292246,4803.2478526512305,40.453125,627.7852147346111,6,0.5,0.5,0.8166022287326578,0.4083011143663289,196,-98.62108869050311,
7,node_conditioned_dp,0.6,12,outputs/train_ablation_wo_mobility_seed7/agent_ep250.pt,12,12,0,1.0,6,2.1666666666666665,4,0.6666666666666666,2.0,35861.739385605964,8753.852491727741,18318.383241840045,10682.810394864882,24803.065305247,87.890625,375.8636854940804,11,0.9166666666666666,0.08333333333333337,0.33461845982898725,0.027884871652415606,168,-187.14849825238318,
8,node_conditioned_dp,0.6,12,outputs/train_ablation_wo_mobility_seed7/agent_ep250.pt,12,12,0,1.0,9,1.3333333333333333,2,0.3333333333333333,1.3333333333333333,21034.73926362123,1919.2069267764828,3303.5123042219243,9697.498213679144,4779.592304632798,43.30078125,671.0593109387596,6,0.5,0.5,0.5704848465012131,0.28524242325060656,252,-119.0391729628114,
9,node_conditioned_dp,0.6,12,outputs/train_ablation_wo_mobility_seed7/agent_ep250.pt,12,12,0,1.0,6,2.1666666666666665,3,0.6666666666666666,2.0,24109.468086903882,5486.583485589996,9893.380198454379,10960.78459657828,12741.670431049171,149.2822265625,407.01305927643347,11,0.9166666666666666,0.08333333333333337,0.49772976976287286,0.04147748081357274,168,-146.70281623766388,
