episode,episode_seed,arrival_rate_rps,method,mobility_prior_beta,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,mapping_steps,reward,failure_reason
0,20007,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,9,1.3333333333333333,56456.65411517279,6781.925391805737,11194.37070513146,0.75,0.21255244732569065,0.15941433549426798,6,5,1.0,0.0,81.03693199461225,0.0,13.506155332435375,16.20738639892245,0.0,0.0,0.0,252,-290.54087419592645,
1,20008,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,8,1.5,22077.553482406867,3706.624649140957,6816.394893752544,0.41666666666666663,0.5435384862531324,0.22647436927213851,1,1,1.0,0.0,12.0,0.0,12.0,12.0,0.0,0.0,0.0,224,-154.20536769647845,
2,20009,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,5,2.4,38674.423297868256,10397.953441732026,20057.28390166694,0.33333333333333337,0.31028258411448484,0.10342752803816162,8,7,0.5714285714285714,0.0,99.75862190671923,0.0,12.469827738339903,14.25123170095989,0.0,0.0,0.0,140,-169.19541727652765,
3,20010,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,5,2.4,46862.159520997244,16351.754640014473,28812.70436845464,0.75,0.25607014535092504,0.19205260901319376,11,8,0.875,0.0,139.67317695042715,0.0,12.697561540947923,17.459147118803394,0.0,0.0,0.0,140,-219.7618991679547,
4,20011,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,5,2.4,48953.69191772202,13506.038915372243,23405.605880084662,0.5,0.2451296220960979,0.12256481104804895,12,9,0.5555555555555556,0.0,149.63738739540682,0.0,12.469782282950568,16.626376377267423,0.0,0.0,0.0,140,-230.00896015036952,
5,20012,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,6,2.0,33264.79066041962,8572.7311041453,14515.265095221303,0.25,0.3607417861877092,0.0901854465469273,5,5,0.4,0.0,62.74336442624154,0.0,12.548672885248308,12.548672885248308,0.0,0.0,0.0,168,-185.1080987888073,
6,20013,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,4,3.0,38324.983962899816,14117.342866478903,21733.616461356793,0.16666666666666663,0.3131116770098717,0.05218527950164529,8,7,0.2857142857142857,0.0,99.19384442943439,0.0,12.399230553679299,14.170549204204914,0.0,0.0,0.0,112,-183.4651863089527,
7,20014,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,5,2.4,34129.251605418845,11580.20615929403,24532.891904236334,0.5,0.35160454552993214,0.17580227276496607,6,6,0.5,0.0,78.09110895807495,0.0,13.015184826345825,13.015184826345825,0.0,0.0,0.0,140,-185.5055805543388,
8,20015,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,8,1.5,46654.09046254226,7608.562412327748,15324.162041416159,0.5833333333333333,0.25721217327416523,0.1500404344099297,6,4,0.75,0.0,77.10221711479596,0.0,12.850369519132661,19.27555427869899,0.0,0.0,0.0,224,-227.03397079453026,
9,20016,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,7,1.7142857142857142,46925.24247635725,9534.751746576256,17294.570000174677,0.75,0.2557259028772428,0.19179442715793207,5,5,1.0,0.0,65.89189694843259,0.0,13.178379389686517,13.178379389686517,0.0,0.0,0.0,196,-238.11805419262313,
10,20017,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,9,1.3333333333333333,45439.90950243118,8986.465768770695,17728.935854937063,0.8333333333333334,0.2640850329897325,0.22007086082477711,9,7,0.8571428571428571,0.0,130.13810795518646,0.0,14.459789772798494,18.59115827931235,0.0,0.0,0.0,252,-258.9586289935655,
11,20018,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,7,1.7142857142857142,34323.79116068034,8999.98890140521,17929.788487374128,0.75,0.3496117297714658,0.26220879732859936,9,6,0.6666666666666666,0.0,117.16860390436862,0.0,13.018733767152069,19.528100650728103,0.0,0.0,0.0,196,-208.04591212188896,
12,20019,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,6,2.0,45599.454446496784,9641.334312944537,21487.6970876459,0.41666666666666663,0.2631610431673028,0.10965043465304285,9,5,0.6,0.0,117.87025453902649,0.0,13.096694948780721,23.574050907805297,0.0,0.0,0.0,168,-239.87435422728296,
13,20020,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,7,1.7142857142857142,40914.04901489781,8249.10269823951,14437.462337698906,0.75,0.2932977861866105,0.21997333963995785,10,8,0.75,0.0,134.78913816459843,0.0,13.478913816459842,16.848642270574803,0.0,0.0,0.0,196,-210.78111647854067,
14,20021,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,6,2.0,53875.53945796959,14105.835355735187,23761.6933650539,0.5,0.2227355887426736,0.1113677943713368,8,7,0.7142857142857143,0.0,111.7327499849389,0.0,13.966593748117363,15.961821426419844,0.0,0.0,0.0,168,-267.09538994458364,
15,20022,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,8,1.5,33228.55020027587,5862.56887739128,11254.61131170189,0.5833333333333333,0.3611352264144336,0.21066221540841956,3,3,0.6666666666666666,0.0,36.0,0.0,12.0,12.0,0.0,0.0,0.0,224,-172.39596780789975,
