weight,metric,mean_delta,ci95_low,ci95_high,changed_episode_rate,improvement_among_changed
0.003,avg_e2e_ms,0.0,0.0,0.0,0.0,
0.003,p95_e2e_ms,0.0,0.0,0.0,0.0,
0.003,slo_satisfaction,0.0,0.0,0.0,0.0,
0.003,throughput_rps,0.0,0.0,0.0,0.0,
0.003,goodput_rps,0.0,0.0,0.0,0.0,
0.003,handover_events,0.0,0.0,0.0,0.0,
0.003,handover_overhead_ms,0.0,0.0,0.0,0.0,
0.003,mean_batch_size,0.0,0.0,0.0,0.0,
0.003,mapping_steps,0.0,0.0,0.0,0.0,
0.3,avg_e2e_ms,-51.38108280138649,-130.29844904155627,27.536283438783293,0.06,0.6666666666666666
0.3,p95_e2e_ms,-66.93380684772833,-251.04801741815848,117.18040372270181,0.06,0.5
0.3,slo_satisfaction,0.0008333333333333326,-0.0008201807929239017,0.002486847459590567,0.01,1.0
0.3,throughput_rps,0.0016770332078174077,-0.00016969929335606572,0.003523765708990881,0.06,0.8333333333333334
0.3,goodput_rps,0.0011722047928038439,-0.0003469595081621044,0.002691369093769792,0.06,0.8333333333333334
0.3,handover_events,-0.04,-0.09583796595844823,0.01583796595844824,0.05,0.8
0.3,handover_overhead_ms,-0.5351688034643761,-1.220260559511006,0.14992295258225374,0.06,0.6666666666666666
0.3,mean_batch_size,-0.0020000000000000018,-0.01637494293981133,0.012374942939811324,0.02,0.5
0.3,mapping_steps,0.0,-0.7896680875376473,0.7896680875376473,0.02,0.5
0.6,avg_e2e_ms,91.71227051784531,-58.72470212375488,242.14924315944552,0.18,0.2777777777777778
0.6,p95_e2e_ms,424.57768011910287,-211.38107691492462,1060.5364371531305,0.18,0.2777777777777778
0.6,slo_satisfaction,0.0033333333333333344,-0.0013198304965373543,0.007986497163204024,0.05,0.8
0.6,throughput_rps,0.0005957799369021631,-0.0023811710872628797,0.0035727309610672055,0.18,0.4444444444444444
0.6,goodput_rps,0.0011422238990713022,-0.0013357082742971264,0.0036201560724397307,0.18,0.5
0.6,handover_events,-0.22,-0.3447937685495986,-0.09520623145040143,0.15,0.9333333333333333
0.6,handover_overhead_ms,-2.7970525135802187,-4.42315552706253,-1.1709495000979078,0.17,0.8823529411764706
0.6,mean_batch_size,-0.040857142857142856,-0.07485563207570736,-0.006858653638578342,0.12,0.16666666666666666
0.6,mapping_steps,2.52,0.41660524158380685,4.623394758416193,0.12,0.16666666666666666
1.0,avg_e2e_ms,150.21308843657906,-8.940549649658664,309.36672652281675,0.26,0.2692307692307692
1.0,p95_e2e_ms,668.7670754289109,51.68950110966534,1285.8446497481564,0.25,0.16
1.0,slo_satisfaction,0.0025,-0.004333797664233911,0.009333797664233912,0.06,0.6666666666666666
1.0,throughput_rps,-0.0002530393021685519,-0.003076696342854457,0.002570617738517353,0.26,0.4230769230769231
1.0,goodput_rps,0.0006326900802151948,-0.0023157880380409303,0.0035811681984713197,0.26,0.4230769230769231
1.0,handover_events,-0.25,-0.41046911026732585,-0.08953088973267415,0.2,0.8
1.0,handover_overhead_ms,-2.999680318774292,-5.082445948236946,-0.9169146893116382,0.25,0.68
1.0,mean_batch_size,-0.06338095238095239,-0.09734799967316445,-0.029413905088740325,0.16,0.0625
1.0,mapping_steps,4.2,1.9147327528314806,6.48526724716852,0.16,0.0625
2.0,avg_e2e_ms,459.6771364125384,254.0325808099311,665.3216920151457,0.4,0.15
2.0,p95_e2e_ms,1730.5172412920695,828.0179633230284,2633.0165192611103,0.4,0.1
2.0,slo_satisfaction,-0.004166666666666663,-0.012434237297952844,0.004100903964619517,0.16,0.375
2.0,throughput_rps,-0.003782284494722129,-0.007422187118731509,-0.00014238187071274888,0.38,0.3157894736842105
2.0,goodput_rps,-0.0023004069431277014,-0.005836599082282642,0.0012357851960272397,0.38,0.3684210526315789
2.0,handover_events,-0.36,-0.6208076957868566,-0.0991923042131434,0.3,0.8
2.0,handover_overhead_ms,-4.195590684449582,-7.566649533990638,-0.8245318349085253,0.38,0.6578947368421053
2.0,mean_batch_size,-0.12047619047619047,-0.16771611067571446,-0.07323627027666649,0.26,0.038461538461538464
2.0,mapping_steps,7.84,4.773483836304054,10.906516163695946,0.26,0.038461538461538464
