weight,episodes,changed_episodes,changed_episode_rate,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_overhead_ms,mean_batch_size,mapping_steps,avg_e2e_change_pct,p95_change_pct,slo_change_pp,goodput_change_pct
0.003,100,0,0.0,10622.221661361094,20354.917538665744,0.5258333333333334,0.2887954359091803,0.15292028453131032,8.82,112.77087522132284,2.054147186147186,175.28,0.0,0.0,0.0,0.0
0.3,100,6,0.06,10570.84057855971,20287.983731818014,0.5266666666666666,0.29047246911699764,0.15409248932411415,8.78,112.23570641785847,2.0521471861471863,175.28,-0.4837131481475909,-0.32883359375238674,0.08333333333332416,0.7665463063952327
0.6,100,18,0.18,10713.933931878943,20779.495218784843,0.5291666666666667,0.2893912158460824,0.1540625084303816,8.6,109.97382270774264,2.013290043290043,177.8,0.8634000818440457,2.08587275931027,0.33333333333332993,0.7469407361960556
1.0,100,26,0.26,10772.434749797674,21023.68461409465,0.5283333333333333,0.2885423966070117,0.1535529746115255,8.57,109.77119490254854,1.9907662337662335,179.48,1.414140028568478,3.28553075274578,0.24999999999999467,0.41373849267567486
2.0,100,40,0.4,11081.898797773632,22085.434779957814,0.5216666666666667,0.2850131514144581,0.1506198775881826,8.46,108.57528453687328,1.9336709956709957,183.12,4.327504650789193,8.501715804079367,-0.4166666666666652,-1.5043177235631644
