episode,episode_seed,arrival_rate_rps,method,mobility_prior_beta,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,mapping_steps,reward,failure_reason,guard_candidate_calls,guard_proposal_missing,guard_proposal_changed,guard_risk_reducing,guard_expected_accept,guard_actual_accept,guard_decision_mismatch,guard_selected_mappings
10,20017,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,8,1.5,43086.0264233614,8839.256619793778,16669.688469355664,0.8333333333333334,0.27851257115447425,0.2320938092953952,9,7,0.8571428571428571,0.0,129.29494628052777,0.0,14.366105142280864,18.470706611503967,0.0,0.0,0.0,224,-227.85068439741758,,64,0,0,0,0,0,0,0
11,20018,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,7,1.7142857142857142,34323.79116068034,8999.98890140521,17929.788487374128,0.75,0.3496117297714658,0.26220879732859936,9,6,0.6666666666666666,0.0,117.16860390436862,0.0,13.018733767152069,19.528100650728103,0.0,0.0,0.0,196,-208.04591212188896,,56,0,0,0,0,0,0,0
12,20019,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,6,2.0,45599.454446496784,9641.334312944537,21487.6970876459,0.41666666666666663,0.2631610431673028,0.10965043465304285,9,5,0.6,0.0,117.87025453902649,0.0,13.096694948780721,23.574050907805297,0.0,0.0,0.0,168,-239.87435422728296,,72,0,0,0,0,0,0,0
13,20020,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,7,1.7142857142857142,40914.04901489781,8249.10269823951,14437.462337698906,0.75,0.2932977861866105,0.21997333963995785,10,8,0.75,0.0,134.78913816459843,0.0,13.478913816459842,16.848642270574803,0.0,0.0,0.0,196,-210.78111647854067,,56,0,0,0,0,0,0,0
14,20021,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,6,2.0,53875.53945796959,14105.835355735187,23761.6933650539,0.5,0.2227355887426736,0.1113677943713368,8,7,0.7142857142857143,0.0,111.7327499849389,0.0,13.966593748117363,15.961821426419844,0.0,0.0,0.0,168,-267.09538994458364,,72,0,0,0,0,0,0,0
15,20022,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,8,1.5,33228.55020027587,5862.56887739128,11254.61131170189,0.5833333333333333,0.3611352264144336,0.21066221540841956,3,3,0.6666666666666666,0.0,36.0,0.0,12.0,12.0,0.0,0.0,0.0,224,-172.39596780789975,,96,0,0,0,0,0,0,0
16,20023,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,4,3.0,37780.96436604536,12399.051866474127,22884.915593152946,0.5,0.3176202672789549,0.15881013363947746,10,7,0.7142857142857143,0.0,127.54685274472108,0.0,12.754685274472108,18.220978963531582,0.0,0.0,0.0,112,-165.488645360287,,32,0,0,0,0,0,0,0
17,20024,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,4,3.0,43026.793751278434,18079.657234728016,28318.8576196911,0.16666666666666663,0.27889598442699326,0.04648266407116554,13,10,0.2,0.0,170.439005952909,0.0,13.110692765608386,17.0439005952909,0.0,0.0,0.0,112,-230.85861959891184,,48,0,0,0,0,0,0,0
18,20025,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,8,1.5,40122.37573196449,8890.922955681095,17589.78219754597,0.5,0.299084981412003,0.1495424907060015,4,3,0.6666666666666666,0.0,48.0,0.0,12.0,16.0,0.0,0.0,0.0,224,-214.74741795976595,,32,0,0,0,0,0,0,0
19,20026,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,8,1.5,49628.55832239335,7191.407661481992,15279.389505046574,0.6666666666666667,0.24179626420027137,0.16119750946684758,7,6,0.8333333333333334,0.0,91.2990383143576,0.0,13.042719759193943,15.216506385726268,0.0,0.0,0.0,224,-243.18703671914423,,64,0,0,0,0,0,0,0
20,20027,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,5,2.4,43079.077829076676,14756.114585381598,32326.943577845443,0.5833333333333333,0.2785574948380273,0.16249187198884923,15,8,0.625,0.0,199.90748211940547,0.0,13.327165474627032,24.988435264925684,0.0,0.0,0.0,140,-216.32877020829815,,20,0,0,0,0,0,0,0
21,20028,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,8,1.5,49897.579678267895,7688.987974067501,13963.868022647133,0.6666666666666667,0.24049262664390134,0.1603284177626009,4,4,0.75,0.0,57.798285566004935,0.0,14.449571391501234,14.449571391501234,0.0,0.0,0.0,224,-276.14962099592026,,32,0,0,0,0,0,0,0
22,20029,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,6,2.0,44552.83083600718,10569.915609611033,21027.109576380863,0.5833333333333333,0.2693431545162718,0.15711684013449187,13,8,0.625,0.0,172.3519032254186,0.0,13.257838709647585,21.543987903177324,0.0,0.0,0.0,168,-226.835457531659,,24,0,0,0,0,0,0,0
23,20030,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,6,2.0,42507.99778999525,10733.753335836542,18010.85427497943,0.5,0.28229981706699764,0.14114990853349882,9,7,0.5714285714285714,0.0,113.82938559143899,0.0,12.647709510159888,16.261340798777,0.0,0.0,0.0,168,-217.77806179134328,,24,0,0,0,0,0,0,0
24,20031,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,7,1.7142857142857142,41431.984628849066,11257.287098319392,20487.122649933026,0.5,0.2896313103872994,0.1448156551936497,9,7,0.5714285714285714,0.0,117.78769120263966,0.0,13.08752124473774,16.826813028948525,0.0,0.0,0.0,196,-230.83488381182184,,56,0,0,0,0,0,0,0
25,20032,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,7,1.7142857142857142,44743.44581552319,7118.189528718719,13812.859908000739,0.5833333333333333,0.26819570512016194,0.15644749465342778,5,5,0.4,0.0,63.42810308326608,0.0,12.685620616653216,12.685620616653216,0.0,0.0,0.0,196,-241.8475710870506,,56,0,0,0,0,0,0,0
26,20033,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,7,1.7142857142857142,46890.771676072145,9639.380137017431,20250.183022731777,0.5833333333333333,0.2559138945909792,0.1492831051780712,10,7,0.7142857142857143,0.0,128.43302042021,0.0,12.843302042021,18.347574345744285,0.0,0.0,0.0,196,-248.78181731061323,,49,0,0,0,0,0,0,0
27,20034,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,6,2.0,61403.2545301155,15000.980477752206,32700.01890684008,0.08333333333333337,0.1954293806057877,0.016285781717148975,16,9,0.1111111111111111,0.0,201.73295628218847,0.0,12.60830976763678,22.414772920243163,0.0,0.0,0.0,168,-285.5311204691751,,60,0,0,0,0,0,0,0
28,20035,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,6,2.0,41481.0504919129,9745.70385743957,19519.598552801206,0.41666666666666663,0.28928871997442557,0.12053696665601066,8,6,0.5,0.0,98.74313354159625,0.0,12.342891692699531,16.457188923599375,0.0,0.0,0.0,168,-209.23094610828412,,48,0,0,0,0,0,0,0
29,20036,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,7,1.7142857142857142,44088.85868994375,12058.723527445132,22578.39390446184,0.5,0.2721776057844992,0.1360888028922496,9,5,0.6,0.0,113.92979983422623,0.0,12.65886664824736,22.785959966845247,0.0,0.0,0.0,196,-215.5090351039379,,49,0,0,0,0,0,0,0
30,20037,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,6,2.0,21922.303545588227,5181.383863477629,7353.843687086909,0.6666666666666667,0.5473877311773173,0.3649251541182116,5,5,0.6,0.0,61.430750283363395,0.0,12.286150056672678,12.286150056672678,0.0,0.0,0.0,168,-153.04588965563565,,48,0,0,0,0,0,0,0
31,20038,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,5,2.4,54036.947096813296,15143.722786125543,27205.29695773714,0.16666666666666663,0.22207028051567468,0.03701171341927911,11,7,0.2857142857142857,0.0,147.04312327617566,0.0,13.367556661470514,21.006160468025094,0.0,0.0,0.0,140,-242.46029788729288,,20,0,0,0,0,0,0,0
32,20039,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,5,2.4,43978.38515162363,9985.53650451048,18176.367739427707,0.6666666666666667,0.2728613149079434,0.1819075432719623,12,10,0.7,0.0,153.66684116857874,0.0,12.805570097381562,15.366684116857874,0.0,0.0,0.0,140,-190.58174851906858,,40,0,0,0,0,0,0,0
33,20040,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,6,2.0,43916.42523457719,9302.717099108844,15302.79615347671,0.5833333333333333,0.2732462839564617,0.15939366564126933,9,8,0.625,0.0,112.73339068916563,0.0,12.525932298796182,14.091673836145704,0.0,0.0,0.0,168,-188.34666534460655,,48,0,0,0,0,0,0,0
34,20041,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,7,1.7142857142857142,43211.04142685582,8033.193439828731,16185.313990162222,0.8333333333333334,0.27770679909005747,0.2314223325750479,6,4,0.75,0.0,78.4519277594588,0.0,13.075321293243134,19.6129819398647,0.0,0.0,0.0,196,-207.1098761203775,,56,0,0,0,0,0,0,0
35,20042,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,4,3.0,36699.37782965643,11548.633015285595,18314.343316150243,0.25,0.3269810201060932,0.0817452550265233,10,8,0.25,0.0,124.3820635571337,0.0,12.43820635571337,15.547757944641713,0.0,0.0,0.0,112,-178.20458354117295,,48,0,0,0,0,0,0,0
36,20043,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,5,2.4,93750.99770207466,31004.99309958807,71462.4962674498,0.08333333333333337,0.12799863781859727,0.010666553151549773,23,10,0.0,0.0,296.50980444740287,0.0,12.89173062814795,29.650980444740288,0.0,0.0,0.0,140,-380.88121061308436,,20,0,0,0,0,0,0,0
37,20044,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,6,2.0,69777.64423635064,15430.51909142101,27339.478631793638,0.41666666666666663,0.171974851420229,0.07165618809176208,15,9,0.5555555555555556,0.0,188.7562162689224,0.0,12.583747751261493,20.972912918769154,0.0,0.0,0.0,168,-318.21885075164266,,48,0,0,0,0,0,0,0
38,20045,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,5,2.4,27131.194957064443,8000.590928129687,14767.465945759508,0.33333333333333337,0.4422952995247793,0.14743176650825976,5,4,0.5,0.0,61.576827639150636,0.0,12.315365527830128,15.394206909787659,0.0,0.0,0.0,140,-132.76477589946083,,20,0,0,0,0,0,0,0
39,20046,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,4,3.0,43909.89584777189,12503.470547894505,18550.86346392625,0.33333333333333337,0.2732869155873644,0.09109563852912148,15,10,0.4,0.0,190.72867331235935,0.0,12.715244887490623,19.072867331235933,0.0,0.0,0.0,112,-187.36789734250553,,32,0,0,0,0,0,0,0
40,20047,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,6,2.0,36915.558586414794,8790.96372360162,20337.5414532129,0.6666666666666667,0.32506619050364555,0.216710793669097,8,6,0.6666666666666666,0.0,98.8064408956803,0.0,12.350805111960037,16.46774014928005,0.0,0.0,0.0,168,-176.00768788331553,,24,0,0,0,0,0,0,0
41,20048,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,7,1.7142857142857142,38592.60192386344,8241.711176156905,17758.339909694423,0.33333333333333337,0.31094042385828075,0.10364680795276025,4,4,0.75,0.0,48.73271028991766,0.0,12.183177572479416,12.183177572479416,0.0,0.0,0.0,196,-202.30112379547222,,28,0,0,0,0,0,0,0
42,20049,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,4,3.0,37904.82492239642,15766.928306707836,25891.547529908174,0.25,0.3165823882465603,0.07914559706164008,13,7,0.2857142857142857,0.0,161.1898478045545,0.0,12.399219061888807,23.027121114936357,0.0,0.0,0.0,112,-189.22216264764205,,32,0,0,0,0,0,0,0
43,20050,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,5,2.4,40177.49247321078,11796.59363226398,18905.955605491396,0.41666666666666663,0.29867468727674484,0.12444778636531034,9,6,0.6666666666666666,0.0,115.47216443184271,0.0,12.830240492426968,19.245360738640453,0.0,0.0,0.0,140,-199.873367722138,,60,0,0,0,0,0,0,0
44,20051,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,4,3.0,36860.131783511,14520.22260897953,19206.8567133567,0.33333333333333337,0.3255549944986381,0.10851833149954604,13,9,0.4444444444444444,0.0,164.26203352609934,0.0,12.63554104046918,18.251337058455483,0.0,0.0,0.0,112,-203.2675335174929,,24,0,0,0,0,0,0,0
45,20052,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,5,2.4,49755.752510068545,12919.801856725493,19337.230009748844,0.5833333333333333,0.24117814312167596,0.14068725015431097,16,10,0.7,0.0,196.37806535712366,0.0,12.273629084820229,19.637806535712365,0.0,0.0,0.0,140,-248.1282081015561,,20,0,0,0,0,0,0,0
46,20053,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,10,1.2,42190.88975797518,6172.330330267813,14103.82266410319,0.5833333333333333,0.2844215912211637,0.1659125948790122,4,4,0.5,0.0,48.0,0.0,12.0,12.0,0.0,0.0,0.0,280,-241.13794757125257,,80,0,0,0,0,0,0,0
47,20054,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,6,2.0,40816.46132636837,8873.72490308228,19508.877154549093,0.75,0.29399902906937514,0.22049927180203135,8,5,0.8,0.0,98.00907289077253,0.0,12.251134111346566,19.601814578154507,0.0,0.0,0.0,168,-196.15085708599528,,24,0,0,0,0,0,0,0
48,20055,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,4,3.0,52771.56468329285,18229.084449587874,41161.64989255701,0.25,0.22739519042154016,0.05684879760538504,12,9,0.2222222222222222,0.0,155.1941622689836,0.0,12.932846855748634,17.243795807664846,0.0,0.0,0.0,112,-228.4790782609601,,16,0,0,0,0,0,0,0
49,20056,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,5,2.4,30222.050406226066,7959.16440673199,15615.322771435738,0.75,0.3970610808566407,0.29779581064248056,8,7,1.0,0.0,99.47976934260626,0.0,12.434971167825783,14.211395620372324,0.0,0.0,0.0,140,-151.58731657696472,,60,0,0,0,0,0,0,0
50,20057,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,5,2.4,39510.952193011275,9751.301819961795,17005.355146146725,0.75,0.3037132575641284,0.22778494317309633,10,9,0.8888888888888888,0.0,122.56382355585711,0.0,12.25638235558571,13.618202617317458,0.0,0.0,0.0,140,-179.26870376636205,,20,0,0,0,0,0,0,0
51,20058,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,5,2.4,43297.536823127644,12807.626380507534,29667.815397939463,0.33333333333333337,0.27715202481426443,0.09238400827142147,14,11,0.36363636363636365,0.0,191.91392951883847,0.0,13.708137822774177,17.44672086534895,0.0,0.0,0.0,140,-211.77307688158854,,20,0,0,0,0,0,0,0
52,20059,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,4,3.0,33622.671708139875,12852.238076720108,26724.564251449057,0.5833333333333333,0.3569020363451624,0.20819285453467803,12,9,0.5555555555555556,0.0,150.93933216787178,0.0,12.578277680655981,16.77103690754131,0.0,0.0,0.0,112,-155.69124451565506,,24,0,0,0,0,0,0,0
53,20060,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,6,2.0,32957.924534193626,8460.398955857116,17915.446325564088,0.5833333333333333,0.36410059703699127,0.2123920149382449,7,6,0.5,0.0,88.57878176560811,0.0,12.65411168080116,14.763130294268018,0.0,0.0,0.0,168,-158.11683695942276,,24,0,4,4,0,0,0,0
54,20061,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,7,1.7142857142857142,45610.6753529943,8361.106428869976,16558.168540780873,0.75,0.2630963016251898,0.19732222621889237,7,6,0.6666666666666666,0.0,85.8938290016061,0.0,12.270547000229442,14.315638166934349,0.0,0.0,0.0,196,-208.47733605293405,,28,0,0,0,0,0,0,0
55,20062,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,6,2.0,45422.89574453459,9578.116412979112,20836.133979277907,0.75,0.26418394959867514,0.19813796219900634,9,6,0.8333333333333334,0.0,130.1544225206432,0.0,14.46160250229369,21.692403753440534,0.0,0.0,0.0,168,-192.55784414167718,,24,0,0,0,0,0,0,0
56,20063,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,10,1.2,50112.31096872509,6060.144568584964,12685.404367434987,0.75,0.23946211555657762,0.17959658666743322,3,3,1.0,0.0,36.94220713478894,0.0,12.314069044929646,12.314069044929646,0.0,0.0,0.0,280,-255.37309945233375,,40,0,0,0,0,0,0,0
57,20064,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,6,2.0,39234.90679271653,10070.726573234531,19850.579225944497,0.8333333333333334,0.30585009576797695,0.2548750798066475,8,5,1.0,0.0,97.22099680119123,0.0,12.152624600148904,19.444199360238247,0.0,0.0,0.0,168,-170.5472801933302,,42,0,0,0,0,0,0,0
58,20065,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,9,1.3333333333333333,40420.970224263416,4145.818953369111,9242.734198986382,0.8333333333333334,0.2968756052470206,0.2473963377058505,3,2,1.0,0.0,38.00964957928862,0.0,12.669883193096206,19.00482478964431,0.0,0.0,0.0,252,-192.54001228640095,,72,0,0,0,0,0,0,0
59,20066,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,5,2.4,37468.62759249514,10625.89779006629,17792.711937498203,0.6666666666666667,0.32026793536477344,0.21351195690984898,8,6,0.6666666666666666,0.0,102.37123694801056,0.0,12.79640461850132,17.061872824668427,0.0,0.0,0.0,140,-180.67268531509157,,20,0,0,0,0,0,0,0
60,20067,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,5,2.4,49456.920643235164,12458.979353437544,18653.147222389965,0.8333333333333334,0.24263540560003283,0.20219617133336068,15,9,1.0,0.0,190.36414231792043,0.0,12.690942821194694,21.151571368657827,0.0,0.0,0.0,140,-222.00705404514292,,40,0,0,0,0,0,0,0
61,20068,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,8,1.5,42348.45022935034,7639.485517752454,14527.263381602392,0.5833333333333333,0.28336338012395995,0.16529530507230997,6,5,0.6,0.0,80.7654352639458,0.0,13.4609058773243,16.15308705278916,0.0,0.0,0.0,224,-186.19074962874348,,96,0,0,0,0,0,0,0
62,20069,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,7,1.7142857142857142,50579.55721128229,11025.776408532598,29615.686634866623,0.5833333333333333,0.2372500010206352,0.13839583392870386,7,5,0.6,0.0,94.2707359995793,0.0,13.4672479999399,18.85414719991586,0.0,0.0,0.0,196,-217.2230046967224,,28,0,0,0,0,0,0,0
63,20070,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,8,1.5,51004.25138646761,8393.781629847652,17186.910997364976,0.8333333333333334,0.23527450504221745,0.1960620875351812,10,7,0.8571428571428571,0.0,133.55593780335104,0.0,13.355593780335104,19.079419686193006,0.0,0.0,0.0,224,-259.37577950943364,,96,0,0,0,0,0,0,0
64,20071,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,7,1.7142857142857142,40410.62881863402,7181.837344290897,19345.407618872072,0.5833333333333333,0.29695157810725775,0.17322175389590036,4,4,1.0,0.0,50.9334265344056,0.0,12.7333566336014,12.7333566336014,0.0,0.0,0.0,196,-202.06366644135107,,70,0,6,6,0,0,0,0
65,20072,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,7,1.7142857142857142,38219.05249308178,8040.572819540848,15443.432644532226,0.5833333333333333,0.31397952636769794,0.18315472371449046,8,6,0.8333333333333334,0.0,102.37524397317061,0.0,12.796905496646326,17.0625406621951,0.0,0.0,0.0,196,-225.6550069023767,,28,0,0,0,0,0,0,0
66,20073,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,5,2.4,73828.37180607651,22195.29777944571,56419.06903049696,0.0,0.16253913917430224,0.0,25,10,0.0,0.0,325.55843574250065,0.0,13.022337429700025,32.55584357425006,0.0,0.0,0.0,140,-308.36947250178423,,50,0,0,0,0,0,0,0
67,20074,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,6,2.0,33104.03794280985,9029.24695260612,21922.883372873293,0.6666666666666667,0.362493542954822,0.2416623619698813,7,6,0.8333333333333334,0.0,90.03169398601068,0.0,12.861670569430098,15.00528233100178,0.0,0.0,0.0,168,-174.07881793616474,,36,0,0,0,0,0,0,0
68,20075,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,5,2.4,40636.01021999496,10206.464618604814,19084.72217102084,0.41666666666666663,0.29530458170067586,0.12304357570861493,7,6,0.5,0.0,86.2023955937753,0.0,12.314627941967899,14.367065932295882,0.0,0.0,0.0,140,-201.65877740917688,,40,0,0,0,0,0,0,0
69,20076,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,6,2.0,38087.83239861838,9306.938408599288,19558.233806453005,0.5833333333333333,0.31506124776046046,0.18378572786026862,9,6,0.5,0.0,117.40856600634335,0.0,13.045396222927039,19.56809433439056,0.0,0.0,0.0,168,-192.0929766756671,,48,0,0,0,0,0,0,0
70,20077,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,5,2.4,38737.2401164906,12280.838034614351,18718.634538872964,0.41666666666666663,0.30977942579062445,0.12907476074609353,12,10,0.4,0.0,152.4452671893399,0.0,12.703772265778325,15.244526718933988,0.0,0.0,0.0,140,-205.78021339599513,,20,0,0,0,0,0,0,0
71,20078,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,7,1.7142857142857142,42383.9469127447,7915.021284693298,15686.60998372931,0.75,0.2831260624383154,0.21234454682873655,6,5,0.8,0.0,74.5462512941237,0.0,12.424375215687284,14.909250258824741,0.0,0.0,0.0,196,-227.33486465509705,,28,0,0,0,0,0,0,0
72,20079,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,5,2.4,26126.492950774875,9278.466467190343,17677.153852286123,0.33333333333333337,0.4593038959576125,0.15310129865253752,4,3,0.6666666666666666,0.0,49.957701253229885,0.0,12.489425313307471,16.652567084409963,0.0,0.0,0.0,140,-145.3842186886854,,50,0,0,0,0,0,0,0
73,20080,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,3,4.0,40088.58185819638,14483.230230798557,27180.981852909383,0.41666666666666663,0.2993371040773426,0.12472379336555942,14,9,0.4444444444444444,0.0,178.5181621213375,0.0,12.75129729438125,19.835351346815276,0.0,0.0,0.0,84,-164.22986098596698,,24,0,0,0,0,0,0,0
74,20081,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,5,2.4,44438.57185849284,17748.40318268976,34335.3194388404,0.33333333333333337,0.2700356806742571,0.0900118935580857,12,7,0.2857142857142857,0.0,148.1988657569854,0.0,12.349905479748784,21.171266536712203,0.0,0.0,0.0,140,-204.63650331853225,,60,0,0,0,0,0,0,0
75,20082,0.4,full,0.0,high_speed,keep,0.0,12,0,1.0,11,1.0909090909090908,43022.19286757731,4714.726862035292,9957.106821661282,0.9166666666666666,0.27892581014956874,0.25568199263710467,5,4,1.0,0.0,60.72074301585583,0.0,12.144148603171166,15.180185753963958,0.0,0.0,0.0,308,-255.2955864918063,,44,0,0,0,0,0,0,0
