tag,proposal_weight,utility_regret,changed_episodes,changed_rate,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_overhead_ms,mean_batch_size,mapping_steps,avg_change_pct,p95_change_pct,slo_change_pp,goodput_change_pct,handover_delta,batch_size_delta,mapping_steps_delta
p0p6_r0p15,0.6,0.15,0,0.0,10622.221661361094,20354.917538665744,0.5258333333333334,0.2887954359091803,0.15292028453131032,8.82,112.77087522132284,2.054147186147186,175.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p0p6_r0p20,0.6,0.2,0,0.0,10622.221661361094,20354.917538665744,0.5258333333333334,0.2887954359091803,0.15292028453131032,8.82,112.77087522132284,2.054147186147186,175.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p0p6_r0p25,0.6,0.25,0,0.0,10622.221661361094,20354.917538665744,0.5258333333333334,0.2887954359091803,0.15292028453131032,8.82,112.77087522132284,2.054147186147186,175.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p0p6_r0p30,0.6,0.3,0,0.0,10622.221661361094,20354.917538665744,0.5258333333333334,0.2887954359091803,0.15292028453131032,8.82,112.77087522132284,2.054147186147186,175.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p1p0_r0p15,1.0,0.15,0,0.0,10622.221661361094,20354.917538665744,0.5258333333333334,0.2887954359091803,0.15292028453131032,8.82,112.77087522132284,2.054147186147186,175.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p1p0_r0p20,1.0,0.2,0,0.0,10622.221661361094,20354.917538665744,0.5258333333333334,0.2887954359091803,0.15292028453131032,8.82,112.77087522132284,2.054147186147186,175.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p1p0_r0p25,1.0,0.25,0,0.0,10622.221661361094,20354.917538665744,0.5258333333333334,0.2887954359091803,0.15292028453131032,8.82,112.77087522132284,2.054147186147186,175.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p1p0_r0p30,1.0,0.3,0,0.0,10622.221661361094,20354.917538665744,0.5258333333333334,0.2887954359091803,0.15292028453131032,8.82,112.77087522132284,2.054147186147186,175.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
