node_type,phase,batch_size,token_length,group_size,latency_ms,peak_memory_gb
edge_fast,prefill,1,128,28,9.350604988867417,2.925077438354492
edge_fast,decode,1,128,28,7.451862504240125,2.9250259399414062
edge_fast,prefill,1,256,28,11.409801489207894,2.964202880859375
edge_fast,decode,1,256,28,7.257844001287594,2.9637861251831055
edge_fast,prefill,1,512,28,17.367841996019706,3.0444679260253906
edge_fast,decode,1,512,28,7.4280910193920135,3.043076515197754
edge_fast,prefill,1,1024,28,28.976248489925638,3.204265594482422
edge_fast,decode,1,1024,28,7.848874985938892,3.201873302459717
edge_fast,prefill,1,2048,28,58.16846148809418,3.5248374938964844
edge_fast,decode,1,2048,28,7.479365012841299,3.561000347137451
edge_fast,prefill,2,128,28,11.358768009813502,2.964202880859375
edge_fast,decode,2,128,28,7.543416548287496,2.9640984535217285
edge_fast,prefill,2,256,28,17.38618698436767,3.0444679260253906
edge_fast,decode,2,256,28,7.6061134750489146,3.043388843536377
edge_fast,prefill,2,512,28,28.827600996010005,3.204265594482422
edge_fast,decode,2,512,28,7.851300004404038,3.201969623565674
edge_fast,prefill,2,1024,28,56.5417725010775,3.5248374938964844
edge_fast,decode,2,1024,28,7.639316521817818,3.5610127449035645
edge_fast,prefill,2,2048,28,120.23988351575099,4.165493011474609
edge_fast,decode,2,2048,28,7.798432488925755,4.155838489532471
edge_fast,prefill,4,128,28,17.219788511283696,3.0444679260253906
edge_fast,decode,4,128,28,7.926962018245831,3.044468879699707
edge_fast,prefill,4,256,28,28.17468048306182,3.204265594482422
edge_fast,decode,4,256,28,7.956765504786745,3.202683448791504
edge_fast,prefill,4,512,28,56.033249478787184,3.5248374938964844
edge_fast,decode,4,512,28,8.10128852026537,3.56173038482666
edge_fast,prefill,4,1024,28,117.11423902306706,4.165493011474609
edge_fast,decode,4,1024,28,8.234715525759384,4.155916690826416
edge_fast,prefill,4,2048,28,223.14586999709718,5.444850921630859
edge_fast,decode,4,2048,28,8.777652983553708,5.425539493560791
edge_fast,prefill,8,128,28,28.493385994806886,3.204265594482422
edge_fast,decode,8,128,28,7.935573492432013,3.2038450241088867
edge_fast,prefill,8,256,28,55.99039047956467,3.5248374938964844
edge_fast,decode,8,256,28,7.927296974230558,3.5622968673706055
edge_fast,prefill,8,512,28,116.26034395885654,4.165493011474609
edge_fast,decode,8,512,28,8.075630525127053,4.156306266784668
edge_fast,prefill,8,1024,28,216.54454446979798,5.444850921630859
edge_fast,decode,8,1024,28,8.577226515626535,5.425695896148682
edge_fast,prefill,8,2048,28,464.1818625095766,8.00551986694336
edge_fast,decode,8,2048,28,9.500061511062086,7.966894626617432
