method,max_abs_q_difference,mean_abs_q_difference,rank_correlation,stable_action,risky_action,action_changed,stable_node,risky_node,node_changed,stable_group,risky_group,group_changed,target_node_index,stable_target_margin,risky_target_margin,target_preference_shift,num_actions,sample,sample_seed
TMC-Stage1,0.044167399406433105,0.041493386030197144,1.0,0,0,0,6,6,0,1,1,0,6,0.19502437114715576,0.11203759908676147,-0.08298677206039429,8,21,91022
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,22,91023
TMC-Stage1,0.0019419193267822266,0.0009709298610687256,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,22,91023
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.37217652797698975,0.37217652797698975,0.0,8,23,91024
TMC-Stage1,0.0419389009475708,0.040326014161109924,1.0,0,0,0,6,6,0,1,1,0,6,0.14052000641822815,0.0598679780960083,-0.08065202832221985,8,23,91024
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,24,91025
TMC-Stage1,0.0005013942718505859,0.0002506077289581299,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,24,91025
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,25,91026
TMC-Stage1,0.0022001266479492188,0.001100003719329834,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,25,91026
MSN,0.0,0.0,1.0,1,1,0,6,6,0,1,1,0,3,-0.43177032470703125,-0.43177032470703125,0.0,8,26,91027
TMC-Stage1,0.04380500316619873,0.04168403893709183,1.0,1,1,0,6,6,0,1,1,0,3,-0.3049653619527817,-0.38833343982696533,-0.08336807787418365,8,26,91027
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,27,91028
TMC-Stage1,0.0028641223907470703,0.0014321208000183105,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,27,91028
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,3,-0.44690442085266113,-0.44690442085266113,0.0,8,28,91029
TMC-Stage1,0.042468905448913574,0.04112160950899124,1.0,0,0,0,6,6,0,1,1,0,3,-0.11993800103664398,-0.20218122005462646,-0.08224321901798248,8,28,91029
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.40554606914520264,0.40554606914520264,0.0,8,29,91030
TMC-Stage1,0.04248654842376709,0.04090762138366699,1.0,0,0,0,6,6,0,1,1,0,6,0.17668980360031128,0.0948745608329773,-0.08181524276733398,8,29,91030
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,30,91031
TMC-Stage1,2.384185791015625e-07,1.1920928955078125e-07,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,30,91031
MSN,0.0,0.0,1.0,1,1,0,5,5,0,1,1,0,6,-0.0020962953567504883,-0.0020962953567504883,0.0,8,31,91032
TMC-Stage1,0.04293537139892578,0.040191665291786194,1.0,0,0,0,6,6,0,1,1,0,6,0.1327744722366333,0.05239114165306091,-0.08038333058357239,8,31,91032
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,4,-0.28588026762008667,-0.28588026762008667,0.0,8,32,91033
TMC-Stage1,0.0423809289932251,0.04026971757411957,1.0,0,0,0,6,6,0,1,1,0,4,-0.11946845054626465,-0.20000788569450378,-0.08053943514823914,8,32,91033
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.3699764013290405,0.3699764013290405,0.0,8,33,91034
