method,max_abs_q_difference,mean_abs_q_difference,rank_correlation,stable_action,risky_action,action_changed,stable_node,risky_node,node_changed,stable_group,risky_group,group_changed,target_node_index,stable_target_margin,risky_target_margin,target_preference_shift,num_actions,sample,sample_seed
TMC-Stage1,0.0011137723922729492,0.0005568265914916992,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,89,91090
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,3,-0.4189436435699463,-0.4189436435699463,0.0,8,90,91091
TMC-Stage1,0.04595947265625,0.04310204088687897,1.0,0,0,0,6,6,0,1,1,0,3,-0.14937449991703033,-0.23557858169078827,-0.08620408177375793,8,90,91091
MSN,0.0,0.0,0.9999999999999999,1,1,0,6,6,0,1,1,0,6,-0.020020683606465806,-0.020020683606465806,0.0,10,91,91092
TMC-Stage1,0.06747937202453613,0.05199005603790283,0.9999999999999999,1,1,0,6,6,0,1,1,0,6,-0.038376251856485855,-0.14668883879979466,-0.10831258694330881,10,91,91092
MSN,0.0,0.0,1.0,1,1,0,6,6,0,1,1,0,1,0.44851768016815186,0.44851768016815186,0.0,6,92,91093
TMC-Stage1,0.05714702606201172,0.037248591581980385,1.0,1,1,0,6,6,0,1,1,0,1,0.47072333097457886,0.3869140148162842,-0.08380931615829468,6,92,91093
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,4,0.059935371081034194,0.059935371081034194,0.0,16,93,91094
TMC-Stage1,0.06702673435211182,0.03315872699022293,0.988235294117647,0,0,0,6,6,0,1,1,0,4,-0.051702797412872314,-0.1401259799798329,-0.08842318256696058,16,93,91094
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,94,91095
TMC-Stage1,0.0018641948699951172,0.001864105463027954,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,94,91095
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,95,91096
TMC-Stage1,0.0024962425231933594,0.0019155144691467285,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,95,91096
MSN,0.0,0.0,1.0,1,1,0,6,6,0,1,1,0,4,-0.21870529651641846,-0.21870529651641846,0.0,8,96,91097
TMC-Stage1,0.044174790382385254,0.041797444224357605,1.0,1,1,0,6,6,0,1,1,0,4,-0.13019555807113647,-0.21379044651985168,-0.08359488844871521,8,96,91097
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,97,91098
TMC-Stage1,0.002578258514404297,0.0012892484664916992,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,97,91098
MSN,0.0,0.0,0.9999999999999999,0,0,0,6,6,0,1,1,0,6,-0.07713023821512843,-0.07713023821512843,0.0,10,98,91099
TMC-Stage1,0.05185341835021973,0.03975033760070801,0.9999999999999999,0,0,0,6,6,0,1,1,0,6,-0.01164378722508741,-0.09445698062578844,-0.08281319340070104,10,98,91099
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.2929180860519409,0.2929180860519409,0.0,8,99,91100
TMC-Stage1,0.04419374465942383,0.04132090508937836,1.0,0,0,0,6,6,0,1,1,0,6,0.1907901167869568,0.10814830660820007,-0.08264181017875671,8,99,91100
MSN,0.0,0.0,0.9999999999999999,0,0,0,6,6,0,1,1,0,3,-0.5964895884195962,-0.5964895884195962,0.0,10,100,91101
TMC-Stage1,0.052485108375549316,0.0396344780921936,0.9999999999999999,0,0,0,6,6,0,1,1,0,3,-0.34069037437438965,-0.42326220870018005,-0.0825718343257904,10,100,91101
MSN,0.0,0.0,1.0,1,1,0,6,6,0,1,1,0,6,0.32436227798461914,0.32436227798461914,0.0,8,101,91102
TMC-Stage1,0.04237884283065796,0.04151904582977295,1.0,1,1,0,6,6,0,1,1,0,6,0.17806677520275116,0.09502868354320526,-0.0830380916595459,8,101,91102
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,4,-0.2785675525665283,-0.2785675525665283,0.0,12,102,91103
TMC-Stage1,0.0563654899597168,0.03669593731562296,0.9720279720279721,0,0,0,6,6,0,1,1,0,4,-0.07187783718109131,-0.15444372594356537,-0.08256588876247406,12,102,91103
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,103,91104
TMC-Stage1,2.384185791015625e-07,8.940696716308594e-08,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,103,91104
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,104,91105
TMC-Stage1,0.002629995346069336,0.0014498531818389893,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,104,91105
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,105,91106
TMC-Stage1,0.002709627151489258,0.001354813575744629,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,105,91106
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,106,91107
TMC-Stage1,2.384185791015625e-07,1.4901161193847656e-07,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,106,91107
MSN,0.0,0.0,0.9999999999999999,1,1,0,6,6,0,1,1,0,6,-0.15451538562774658,-0.15451538562774658,0.0,10,107,91108
TMC-Stage1,0.05298876762390137,0.04093973040580749,0.9999999999999999,1,1,0,6,6,0,1,1,0,6,-0.04799478252728773,-0.1332858850558598,-0.08529110252857208,10,107,91108
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,108,91109
TMC-Stage1,2.384185791015625e-07,5.960464477539063e-08,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,108,91109
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.21780359745025635,0.21780359745025635,0.0,8,109,91110
TMC-Stage1,0.043611764907836914,0.041361674666404724,1.0,0,0,0,6,6,0,1,1,0,6,0.2261962890625,0.14347293972969055,-0.08272334933280945,8,109,91110
MSN,0.0,0.0,1.0,2,2,0,6,6,0,1,1,0,5,0.04337175687154149,0.04337175687154149,0.0,16,110,91111
TMC-Stage1,0.06731939315795898,0.03191208094358444,0.988235294117647,2,2,0,6,6,0,1,1,0,5,-0.05545980731646227,-0.140558660030365,-0.08509885271390272,16,110,91111
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,111,91112
TMC-Stage1,0.0014719963073730469,0.0007359981536865234,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,111,91112
MSN,0.0,0.0,1.0,1,1,0,6,6,0,1,1,0,5,-0.24097126722335815,-0.24097126722335815,0.0,12,112,91113
TMC-Stage1,0.05489504337310791,0.03659656147162119,0.9930069930069931,1,1,0,6,6,0,1,1,0,5,-0.1897585391998291,-0.27210085093975067,-0.08234231173992157,12,112,91113
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.4474709630012512,0.4474709630012512,0.0,8,113,91114
TMC-Stage1,0.04063105583190918,0.040630728006362915,0.9761904761904763,0,0,0,6,6,0,1,1,0,6,0.29015812277793884,0.208896666765213,-0.08126145601272583,8,113,91114
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,5,-0.09140192545377301,-0.09140192545377301,0.0,17,114,91115
TMC-Stage1,0.07880449295043945,0.035655666800106275,0.985294117647059,0,0,0,6,6,0,1,1,0,5,-0.024558899494317776,-0.12364051204461313,-0.09908161255029535,17,114,91115
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,115,91116
TMC-Stage1,0.0018644332885742188,0.0009322166442871094,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,115,91116
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,116,91117
TMC-Stage1,0.0004165172576904297,0.00020819902420043945,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,116,91117
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,117,91118
TMC-Stage1,0.0031800270080566406,0.001589953899383545,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,117,91118
MSN,0.0,0.0,1.0,1,1,0,6,6,0,1,1,0,3,-0.4372577667236328,-0.4372577667236328,0.0,8,118,91119
TMC-Stage1,0.043196797370910645,0.040834441781044006,1.0,1,1,0,6,6,0,1,1,0,3,-0.17328530550003052,-0.25495418906211853,-0.08166888356208801,8,118,91119
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,-0.6803625226020813,-0.6803625226020813,0.0,6,119,91120
TMC-Stage1,0.052736520767211914,0.034922659397125244,1.0,0,0,0,6,6,0,1,1,0,6,-0.42884722352027893,-0.5074231624603271,-0.07857593894004822,6,119,91120
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,120,91121
TMC-Stage1,0.0023212432861328125,0.001160651445388794,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,120,91121
MSN,0.0,0.0,1.0,1,1,0,6,6,0,1,1,0,6,0.152673602104187,0.152673602104187,0.0,8,121,91122
TMC-Stage1,0.043829262256622314,0.04090938717126846,1.0,1,1,0,6,6,0,1,1,0,6,0.12049618363380432,0.038677409291267395,-0.08181877434253693,8,121,91122
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,122,91123
TMC-Stage1,0.002010822296142578,0.0016677379608154297,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,122,91123
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,123,91124
TMC-Stage1,4.76837158203125e-07,2.384185791015625e-07,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,123,91124
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,124,91125
TMC-Stage1,2.384185791015625e-07,8.940696716308594e-08,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,124,91125
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,125,91126
TMC-Stage1,0.0020890235900878906,0.0010444819927215576,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,125,91126
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,4,-0.2975045442581177,-0.2975045442581177,0.0,8,126,91127
TMC-Stage1,0.04063993692398071,0.03960265964269638,0.9761904761904763,0,0,0,6,6,0,1,1,0,4,-0.21820634603500366,-0.2974116653203964,-0.07920531928539276,8,126,91127
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,4,-0.04030439257621765,-0.04030439257621765,0.0,12,127,91128
TMC-Stage1,0.05866193771362305,0.037504116694132485,0.9720279720279721,0,0,0,6,6,0,1,1,0,4,-0.058021605014801025,-0.1424059122800827,-0.08438430726528168,12,127,91128
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,128,91129
TMC-Stage1,0.0011838674545288086,0.0005920827388763428,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,128,91129
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,129,91130
TMC-Stage1,0.002378702163696289,0.0011894702911376953,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,129,91130
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,5,-0.28218090534210205,-0.28218090534210205,0.0,8,130,91131
TMC-Stage1,0.04246246814727783,0.04125075042247772,1.0,0,0,0,6,6,0,1,1,0,5,-0.13959968090057373,-0.22210118174552917,-0.08250150084495544,8,130,91131
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,131,91132
TMC-Stage1,8.130073547363281e-05,4.062056541442871e-05,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,131,91132
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,1,0.6688648462295532,0.6688648462295532,0.0,6,132,91133
TMC-Stage1,0.05768275260925293,0.038455188274383545,1.0,0,0,0,6,6,0,1,1,0,1,0.4429263472557068,0.3564022183418274,-0.0865241289138794,6,132,91133
MSN,0.0,0.0,1.0,1,1,0,6,6,0,1,1,0,4,-0.11455392837524414,-0.11455392837524414,0.0,12,133,91134
TMC-Stage1,0.0580064058303833,0.036627729733784996,0.9930069930069931,1,1,0,6,6,0,1,1,0,4,-0.15461601316928864,-0.23702839016914368,-0.08241237699985504,12,133,91134
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,4,-0.3946624994277954,-0.3946624994277954,0.0,8,134,91135
TMC-Stage1,0.04348921775817871,0.040629684925079346,0.9761904761904763,0,0,0,6,6,0,1,1,0,4,-0.21431860327720642,-0.2955779731273651,-0.08125936985015869,8,134,91135
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,135,91136
TMC-Stage1,0.0031250715255737305,0.0015957057476043701,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,135,91136
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,136,91137
TMC-Stage1,2.384185791015625e-07,1.341104507446289e-07,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,136,91137
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,137,91138
TMC-Stage1,0.004044771194458008,0.002530515193939209,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,137,91138
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,138,91139
TMC-Stage1,0.0025250911712646484,0.001262664794921875,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,138,91139
MSN,0.0,0.0,1.0,1,1,0,6,6,0,1,1,0,4,-0.05242685476938869,-0.05242685476938869,0.0,16,139,91140
TMC-Stage1,0.07313823699951172,0.03634106181561947,0.9558823529411766,1,1,0,6,6,0,1,1,0,4,-0.03283212582270312,-0.12974160661300016,-0.09690948079029704,16,139,91140
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,140,91141
TMC-Stage1,0.003252744674682617,0.001626431941986084,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,140,91141
MSN,0.0,0.0,1.0,1,1,0,6,6,0,1,1,0,6,0.5480859279632568,0.5480859279632568,0.0,8,141,91142
TMC-Stage1,0.045901358127593994,0.04320427030324936,1.0,1,1,0,6,6,0,1,1,0,6,0.13992248475551605,0.053513944149017334,-0.08640854060649872,8,141,91142
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,142,91143
TMC-Stage1,0.002494215965270996,0.001247107982635498,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,142,91143
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.2809727191925049,0.2809727191925049,0.0,8,143,91144
TMC-Stage1,0.04506218433380127,0.04238380491733551,1.0,0,0,0,6,6,0,1,1,0,6,0.22818440198898315,0.14341679215431213,-0.08476760983467102,8,143,91144
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,144,91145
TMC-Stage1,0.0019116401672363281,0.0019115209579467773,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,144,91145
MSN,0.0,0.0,1.0,1,1,0,6,6,0,1,1,0,6,0.2377152442932129,0.2377152442932129,0.0,8,145,91146
TMC-Stage1,0.04336750507354736,0.04081140458583832,1.0,1,1,0,6,6,0,1,1,0,6,0.24599063396453857,0.16436782479286194,-0.08162280917167664,8,145,91146
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,146,91147
TMC-Stage1,2.384185791015625e-07,1.1920928955078125e-07,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,146,91147
MSN,0.0,0.0,1.0,1,1,0,6,6,0,1,1,0,6,0.28346002101898193,0.28346002101898193,0.0,8,147,91148
TMC-Stage1,0.04160970449447632,0.04018691927194595,1.0,1,1,0,6,6,0,1,1,0,6,0.09740306437015533,0.017029225826263428,-0.0803738385438919,8,147,91148
MSN,0.0,0.0,1.0,2,2,0,6,6,0,1,1,0,5,-0.13300186395645142,-0.13300186395645142,0.0,12,148,91149
TMC-Stage1,0.05441582202911377,0.03627715011437734,1.0,2,2,0,6,6,0,1,1,0,5,-0.014444217085838318,-0.09606780856847763,-0.08162359148263931,12,148,91149
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,149,91150
TMC-Stage1,4.76837158203125e-07,2.2351741790771484e-07,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,149,91150
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,1,0.3944065570831299,0.3944065570831299,0.0,6,150,91151
TMC-Stage1,0.05668449401855469,0.03677938381830851,1.0,0,0,0,6,6,0,1,1,0,1,0.4690264165401459,0.38627275824546814,-0.08275365829467773,6,150,91151
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,151,91152
TMC-Stage1,0.0036208629608154297,0.0023165345191955566,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,151,91152
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,152,91153
TMC-Stage1,0.0026519298553466797,0.0013258755207061768,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,152,91153
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,153,91154
TMC-Stage1,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,153,91154
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,154,91155
TMC-Stage1,1.1920928955078125e-07,2.9802322387695312e-08,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,154,91155
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.25174546241760254,0.25174546241760254,0.0,8,155,91156
TMC-Stage1,0.04409503936767578,0.04199524223804474,1.0,0,0,0,6,6,0,1,1,0,6,0.24172839522361755,0.15773791074752808,-0.08399048447608948,8,155,91156
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,5,-0.24146318435668945,-0.24146318435668945,0.0,8,156,91157
TMC-Stage1,0.04126709699630737,0.040246494114398956,0.9761904761904763,0,0,0,6,6,0,1,1,0,5,-0.23404918611049652,-0.31454217433929443,-0.08049298822879791,8,156,91157
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.5249343514442444,0.5249343514442444,0.0,8,157,91158
TMC-Stage1,0.044919610023498535,0.04202111065387726,1.0,0,0,0,6,6,0,1,1,0,6,0.2356509566307068,0.15160873532295227,-0.08404222130775452,8,157,91158
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,5,-0.12278592586517334,-0.12278592586517334,0.0,8,158,91159
TMC-Stage1,0.04127323627471924,0.040331289172172546,1.0,0,0,0,6,6,0,1,1,0,5,-0.17650222778320312,-0.2571648061275482,-0.08066257834434509,8,158,91159
MSN,0.0,0.0,1.0,1,1,0,6,6,0,1,1,0,3,-0.33536702394485474,-0.33536702394485474,0.0,12,159,91160
TMC-Stage1,0.05825650691986084,0.036746213833491005,0.9930069930069931,1,1,0,6,6,0,1,1,0,3,-0.1360182911157608,-0.21869723498821259,-0.08267894387245178,12,159,91160
MSN,0.0,0.0,1.0,1,1,0,6,6,0,1,1,0,4,-0.38768482208251953,-0.38768482208251953,0.0,8,160,91161
TMC-Stage1,0.04285383224487305,0.04064822196960449,1.0,1,1,0,6,6,0,1,1,0,4,-0.1301182508468628,-0.21141469478607178,-0.08129644393920898,8,160,91161
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,161,91162
TMC-Stage1,2.384185791015625e-07,1.4901161193847656e-07,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,161,91162
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.39511358737945557,0.39511358737945557,0.0,8,162,91163
TMC-Stage1,0.06352663040161133,0.059913769364356995,0.9761904761904763,0,0,0,6,6,0,1,1,0,6,0.39168815314769745,0.27186061441898346,-0.11982753872871399,8,162,91163
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,163,91164
TMC-Stage1,2.384185791015625e-07,5.960464477539063e-08,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,163,91164
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,164,91165
TMC-Stage1,0.00035834312438964844,0.000179290771484375,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,164,91165
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,165,91166
TMC-Stage1,0.007352113723754883,0.0036761462688446045,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,165,91166
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,5,-0.036551833152770996,-0.036551833152770996,0.0,12,166,91167
TMC-Stage1,0.05635333061218262,0.03692821661631266,0.9860139860139862,0,0,0,6,6,0,1,1,0,5,-0.0541558563709259,-0.1372443288564682,-0.0830884724855423,12,166,91167
MSN,0.0,0.0,1.0,1,1,0,6,6,0,1,1,0,6,0.3225973844528198,0.3225973844528198,0.0,8,167,91168
TMC-Stage1,0.0434492826461792,0.04042811691761017,1.0,1,1,0,6,6,0,1,1,0,6,0.2115021049976349,0.13064587116241455,-0.08085623383522034,8,167,91168
MSN,0.0,0.0,1.0,1,1,0,6,6,0,1,1,0,1,-0.35944175720214844,-0.35944175720214844,0.0,8,168,91169
TMC-Stage1,0.04205214977264404,0.04106783866882324,0.9761904761904763,1,1,0,6,6,0,1,1,0,1,-0.21756920218467712,-0.2997048795223236,-0.08213567733764648,8,168,91169
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,169,91170
TMC-Stage1,0.0016176700592041016,0.0008088052272796631,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,169,91170
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,2,0.5410493016242981,0.5410493016242981,0.0,6,170,91171
TMC-Stage1,0.05564379692077637,0.036388794581095375,1.0,0,0,0,6,6,0,1,1,0,2,0.3131433129310608,0.2312684953212738,-0.08187481760978699,6,170,91171
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,171,91172
TMC-Stage1,2.384185791015625e-07,1.4901161193847656e-07,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,171,91172
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,2,-0.48518216609954834,-0.48518216609954834,0.0,8,172,91173
TMC-Stage1,0.04398393630981445,0.041689060628414154,0.9761904761904763,0,0,0,6,6,0,1,1,0,2,-0.2386084347963333,-0.3219865560531616,-0.08337812125682831,8,172,91173
MSN,0.0,0.0,1.0,2,2,0,6,6,0,1,1,0,6,0.227958083152771,0.227958083152771,0.0,12,173,91174
TMC-Stage1,0.057051658630371094,0.036270504196484886,1.0,2,2,0,6,6,0,1,1,0,6,0.15799035131931305,0.07638166099786758,-0.08160869032144547,12,173,91174
MSN,0.0,0.0,1.0,1,1,0,6,6,0,1,1,0,3,0.5413848161697388,0.5413848161697388,0.0,6,174,91175
TMC-Stage1,0.05639302730560303,0.03759525219599406,0.942857142857143,1,1,0,6,6,0,1,1,0,3,0.40938103199005127,0.32479166984558105,-0.08458936214447021,6,174,91175
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.4577479362487793,0.4577479362487793,0.0,12,175,91176
TMC-Stage1,0.0695418119430542,0.045491556326548256,1.0,0,0,0,6,6,0,1,1,0,6,0.20801828801631927,0.1056622862815857,-0.10235600173473358,12,175,91176
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,176,91177
TMC-Stage1,0.0007035732269287109,0.0003517270088195801,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,176,91177
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.29883813858032227,0.29883813858032227,0.0,8,177,91178
TMC-Stage1,0.04233098030090332,0.040501415729522705,1.0,0,0,0,6,6,0,1,1,0,6,0.1883355677127838,0.1073327362537384,-0.08100283145904541,8,177,91178
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,178,91179
TMC-Stage1,0.0024220943450927734,0.001981019973754883,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,178,91179
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.2256578803062439,0.2256578803062439,0.0,8,179,91180
TMC-Stage1,0.042423129081726074,0.04059450328350067,1.0,0,0,0,6,6,0,1,1,0,6,0.17395126819610596,0.09276226162910461,-0.08118900656700134,8,179,91180
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,2,-0.5326672792434692,-0.5326672792434692,0.0,8,180,91181
TMC-Stage1,0.04357635974884033,0.04268178343772888,0.9761904761904763,0,0,0,6,6,0,1,1,0,2,-0.22231198847293854,-0.3076755553483963,-0.08536356687545776,8,180,91181
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.5386738777160645,0.5386738777160645,0.0,8,181,91182
TMC-Stage1,0.06396889686584473,0.06028027832508087,1.0,0,0,0,6,6,0,1,1,0,6,0.17137348651885986,0.05081292986869812,-0.12056055665016174,8,181,91182
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,182,91183
TMC-Stage1,1.1920928955078125e-07,5.960464477539063e-08,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,182,91183
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.31068944931030273,0.31068944931030273,0.0,8,183,91184
TMC-Stage1,0.0436476469039917,0.04131732136011124,1.0,0,0,0,6,6,0,1,1,0,6,0.13402649760246277,0.051391854882240295,-0.08263464272022247,8,183,91184
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,184,91185
TMC-Stage1,0.0008797645568847656,0.0004398822784423828,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,184,91185
MSN,0.0,0.0,1.0,1,1,0,6,6,0,1,1,0,6,0.10947728157043457,0.10947728157043457,0.0,8,185,91186
TMC-Stage1,0.042105793952941895,0.040408045053482056,1.0,1,1,0,6,6,0,1,1,0,6,0.14062729477882385,0.05981120467185974,-0.08081609010696411,8,185,91186
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,5,-0.27653801441192627,-0.27653801441192627,0.0,8,186,91187
