method,samples,mean_max_abs_q_difference,median_max_abs_q_difference,mean_rank_correlation,action_change_rate,node_change_rate,group_change_rate,mean_target_preference_shift
MSN,200,0.0,0.0,1.0,0.0,0.0,0.0,0.0
TMC-Stage1,200,0.02822776257991791,0.04177430272102356,0.9954420677361854,0.0,0.0,0.0,-0.047393685067311314
