episode,episode_seed,arrival_rate_rps,method,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,mapping_steps,reward,failure_reason
20,20027,0.4,full,high_speed,keep,0.2,12,0,1.0,12,1.0,26113.988377251746,1504.2570647943223,2487.608163468856,0.6666666666666667,0.4595238316967838,0.3063492211311892,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336,-136.09568019060723,
21,20028,0.4,full,high_speed,keep,0.2,12,0,1.0,12,1.0,37660.553984901235,2383.4298031543613,8177.945757853606,0.5833333333333333,0.3186357801537122,0.18587087175633213,2,1,1.0,0.0,27.490858878826657,0.0,13.745429439413329,27.490858878826657,0.0,0.0,0.0,336,-199.91073379427314,
22,20029,0.4,full,high_speed,keep,0.2,12,0,1.0,6,2.0,44336.11626647698,10668.69888128624,23214.27785410213,0.25,0.2706597016273464,0.0676649254068366,13,9,0.2222222222222222,0.0,170.92402701366905,0.0,13.148002077974542,18.991558557074338,0.0,0.0,0.0,168,-254.99660068000145,
23,20030,0.4,full,high_speed,keep,0.2,12,0,1.0,10,1.2,33894.46289950854,1953.6910464270538,3504.529322178826,0.6666666666666667,0.3540401284887744,0.2360267523258496,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280,-126.29587243972439,
24,20031,0.4,full,high_speed,keep,0.2,12,0,1.0,8,1.5,24285.780232189227,4327.118856091679,10736.167295775782,0.5,0.4941163053141187,0.24705815265705935,2,2,0.5,0.0,25.086377634018515,0.0,12.543188817009257,12.543188817009257,0.0,0.0,0.0,224,-174.13203470011396,
25,20032,0.4,full,high_speed,keep,0.2,12,0,1.0,11,1.0909090909090908,36191.95651749999,2852.132052483796,6214.9017516856275,0.6666666666666667,0.3315653850931659,0.2210435900621106,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308,-194.29047741207532,
26,20033,0.4,full,high_speed,keep,0.2,12,0,1.0,11,1.0909090909090908,40789.29262583216,2480.413677780352,5616.118184499464,0.5833333333333333,0.2941948542740923,0.1716136649932205,1,1,0.0,0.0,12.0,0.0,12.0,12.0,0.0,0.0,0.0,308,-188.177204224545,
27,20034,0.4,full,high_speed,keep,0.2,12,0,1.0,7,1.7142857142857142,50606.02636830513,11593.302380716936,26954.191613384413,0.0,0.2371259089315828,0.0,10,8,0.0,0.0,122.81730179845461,0.0,12.28173017984546,15.352162724806826,0.0,0.0,0.0,196,-259.351634162407,
28,20035,0.4,full,high_speed,keep,0.2,12,0,1.0,11,1.0909090909090908,25180.02102945247,2222.3230020980714,3633.748115143823,0.5833333333333333,0.4765683073085557,0.27799817926332415,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308,-167.43306959984508,
29,20036,0.4,full,high_speed,keep,0.2,12,0,1.0,10,1.2,25438.71767239045,2389.0801691887,5078.034021911791,0.5833333333333333,0.4717218908020678,0.2751711029678729,1,1,1.0,0.0,12.0,0.0,12.0,12.0,0.0,0.0,0.0,280,-169.82388742288984,
