episode,episode_seed,arrival_rate_rps,method,mobility_mode,migration_policy,prediction_error,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,handover_events,handover_affected_requests,handover_slo_satisfaction,migration_mb,handover_overhead_ms,migration_ms,avg_handover_overhead_ms_per_event,avg_handover_overhead_ms_per_affected_request,avg_migration_ms_per_event,avg_migration_ms_per_affected_request,avg_migration_mb_per_event,mapping_steps,reward,failure_reason
19,20026,0.4,full,high_speed,reactive,0.3,12,0,1.0,11,1.0909090909090908,53050.25448190184,5379.061696942496,21741.051142926655,0.6666666666666667,0.2262006114239059,0.15080040761593727,3,1,1.0,654.7734375,9209.930301065026,9209.930301065026,3069.976767021675,9209.930301065026,3069.976767021675,9209.930301065026,218.2578125,308,-213.67050550316242,
20,20027,0.4,full,high_speed,reactive,0.3,12,0,1.0,12,1.0,26113.988377251746,1504.2570647943223,2487.608163468856,0.6666666666666667,0.4595238316967838,0.3063492211311892,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336,-135.1931113965831,
21,20028,0.4,full,high_speed,reactive,0.3,12,0,1.0,12,1.0,37660.553984901235,3147.6645167612537,12764.113181058236,0.5833333333333333,0.3186357801537122,0.18587087175633213,2,1,1.0,709.8984375,4605.307724887432,4605.307724887432,2302.653862443716,4605.307724887432,2302.653862443716,4605.307724887432,354.94921875,336,-199.11196646124733,
22,20029,0.4,full,high_speed,reactive,0.3,12,0,1.0,5,2.4,76433.19131897978,21393.060860662594,50008.86560992627,0.08333333333333337,0.15699985559833843,0.013083321299861535,11,8,0.125,3086.5078125,39934.547500270215,39934.547500270215,3630.413409115474,4991.818437533777,3630.413409115474,4991.818437533777,280.5916193181818,140,-245.53771675979533,
23,20030,0.4,full,high_speed,reactive,0.3,12,0,1.0,10,1.2,33894.46289950854,1953.6910464270538,3504.529322178826,0.6666666666666667,0.3540401284887744,0.2360267523258496,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280,-126.24373843966869,
24,20031,0.4,full,high_speed,reactive,0.3,12,0,1.0,8,1.5,30110.467675356176,7486.826974690928,15997.467125705683,0.41666666666666663,0.3985325013673356,0.1660552089030565,3,3,0.3333333333333333,475.78125,6027.809102211667,6027.809102211667,2009.2697007372224,2009.2697007372224,2009.2697007372224,2009.2697007372224,158.59375,224,-176.32954572771615,
25,20032,0.4,full,high_speed,reactive,0.3,12,0,1.0,11,1.0909090909090908,36191.95651749999,2852.132052483796,6214.9017516856275,0.6666666666666667,0.3315653850931659,0.2210435900621106,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308,-194.65154340525837,
26,20033,0.4,full,high_speed,reactive,0.3,12,0,1.0,11,1.0909090909090908,40789.29262583216,2511.4218308351246,5616.118184499464,0.5833333333333333,0.2941948542740923,0.1716136649932205,1,1,0.0,68.578125,384.097836657275,384.097836657275,384.097836657275,384.097836657275,384.097836657275,384.097836657275,68.578125,308,-188.177204224545,
27,20034,0.4,full,high_speed,reactive,0.3,12,0,1.0,5,2.4,53855.09183953733,15651.905051400101,26905.59406784291,0.0,0.22282015664840601,0.0,14,10,0.0,2134.453125,23494.70599964564,23494.70599964564,1678.1932856889744,2349.470599964564,1678.1932856889744,2349.470599964564,152.4609375,140,-202.3129817665316,
28,20035,0.4,full,high_speed,reactive,0.3,12,0,1.0,11,1.0909090909090908,25180.02102945247,2222.3230020980714,3633.748115143823,0.5833333333333333,0.4765683073085557,0.27799817926332415,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308,-167.43306959984508,
29,20036,0.4,full,high_speed,reactive,0.3,12,0,1.0,9,1.3333333333333333,25438.71767239045,2736.7955711211475,5833.07149794713,0.5,0.4717218908020678,0.2358609454010339,1,1,1.0,207.703125,1383.457394348909,1383.457394348909,1383.457394348909,1383.457394348909,1383.457394348909,1383.457394348909,207.703125,252,-163.6064984734874,
30,20037,0.4,full,high_speed,reactive,0.3,12,0,1.0,5,2.4,27502.696235474392,8688.123199266378,16122.24024977913,0.16666666666666663,0.4363208573173194,0.0727201428862199,5,5,0.2,942.046875,8945.322807453356,8945.322807453356,1789.0645614906712,1789.0645614906712,1789.0645614906712,1789.0645614906712,188.409375,140,-128.88746636409635,
31,20038,0.4,full,high_speed,reactive,0.3,12,0,1.0,9,1.3333333333333333,34905.59670922413,3862.609328809734,8960.22193259417,0.33333333333333337,0.3437844108486158,0.11459480361620525,2,2,0.5,534.0234375,5255.8481855773125,5255.8481855773125,2627.9240927886563,2627.9240927886563,2627.9240927886563,2627.9240927886563,267.01171875,252,-191.41555563687854,
32,20039,0.4,full,high_speed,reactive,0.3,12,0,1.0,12,1.0,27099.90394885101,1416.2031377136516,2813.642520110213,0.75,0.4428059974916914,0.3321044981187686,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336,-137.10897429688106,
33,20040,0.4,full,high_speed,reactive,0.3,12,0,1.0,10,1.2,30835.19001388684,2114.453549794391,4036.576179508731,0.6666666666666667,0.38916575492467265,0.25944383661644843,1,1,1.0,192.609375,1209.123413715942,1209.123413715942,1209.123413715942,1209.123413715942,1209.123413715942,1209.123413715942,192.609375,280,-126.30719672815196,
34,20041,0.4,full,high_speed,reactive,0.3,12,0,1.0,10,1.2,36118.68501488806,3668.0473109662926,8163.431292985541,0.5,0.33223800908182616,0.16611900454091308,3,3,0.6666666666666666,410.484375,4296.798346981566,4296.798346981566,1432.266115660522,1432.266115660522,1432.266115660522,1432.266115660522,136.828125,280,-171.367493344309,
35,20042,0.4,full,high_speed,reactive,0.3,12,0,1.0,9,1.3333333333333333,19581.920180603076,2604.782757316019,3575.6542846904536,0.33333333333333337,0.6128101784362614,0.2042700594787538,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252,-168.9506755963012,
36,20043,0.4,full,high_speed,reactive,0.3,12,0,1.0,8,1.5,35739.51318216213,7004.329382215208,12798.228105883036,0.08333333333333337,0.3357628275135346,0.02798023562612788,3,3,0.0,476.109375,10314.869668991394,10314.869668991394,3438.289889663798,3438.289889663798,3438.289889663798,3438.289889663798,158.703125,224,-224.57537610030255,
37,20044,0.4,full,high_speed,reactive,0.3,12,0,1.0,10,1.2,52497.87575955972,3583.2127892294907,9822.7294800849,0.5833333333333333,0.22858067733940327,0.13333872844798525,2,2,1.0,189.984375,2537.002966814429,2537.002966814429,1268.5014834072144,1268.5014834072144,1268.5014834072144,1268.5014834072144,94.9921875,280,-190.5764388906689,
38,20045,0.4,full,high_speed,reactive,0.3,12,0,1.0,7,1.7142857142857142,30228.095917621307,7365.111121403952,16520.15187099448,0.5833333333333333,0.3969816700563221,0.23157264086618792,2,2,1.0,504.4921875,3383.6161134407885,3383.6161134407885,1691.8080567203942,1691.8080567203942,1691.8080567203942,1691.8080567203942,252.24609375,196,-159.97112730481334,
39,20046,0.4,full,high_speed,reactive,0.3,12,0,1.0,11,1.0909090909090908,32270.448893868415,1735.2149742045713,2754.7307369700966,0.75,0.3718572381644209,0.2788929286233157,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308,-132.33341920044037,
40,20047,0.4,full,high_speed,reactive,0.3,12,0,1.0,10,1.2,21715.658583795812,2322.4839210154414,4020.2850582330398,0.6666666666666667,0.5525966414370863,0.36839776095805754,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280,-143.15611527019362,
41,20048,0.4,full,high_speed,reactive,0.3,12,0,1.0,11,1.0909090909090908,23563.335787121025,1415.5847812254185,2211.288485179381,0.9166666666666666,0.5092657554266499,0.466826942474429,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308,-121.65396938264298,
42,20049,0.4,full,high_speed,reactive,0.3,12,0,1.0,11,1.0909090909090908,19273.123823387326,1396.9599868298735,2050.916342017511,0.6666666666666667,0.6226286983866299,0.41508579892442,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308,-133.52536430527744,
43,20050,0.4,full,high_speed,reactive,0.3,12,0,1.0,6,2.0,30063.45569067622,7572.25297632469,20666.722449770692,0.33333333333333337,0.39915570995790883,0.13305190331930294,4,3,0.3333333333333333,933.1875,9002.011631525951,9002.011631525951,2250.5029078814878,3000.6705438419835,2250.5029078814878,3000.6705438419835,233.296875,168,-156.9718946610891,
44,20051,0.4,full,high_speed,reactive,0.3,12,0,1.0,9,1.3333333333333333,23169.648034041624,1939.6582561430166,3654.311974230162,0.5,0.5179189594235181,0.25895947971175903,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252,-132.30006759608986,
45,20052,0.4,full,high_speed,reactive,0.3,12,0,1.0,12,1.0,38003.84304363076,1935.8347380068915,3364.626203360808,0.75,0.31575754026305336,0.23681815519729002,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336,-166.91185586800003,
46,20053,0.4,full,high_speed,reactive,0.3,12,0,1.0,11,1.0909090909090908,33619.78816110269,2671.762441399262,6335.2798103553805,0.5833333333333333,0.3569326475972183,0.20821071109837738,1,1,1.0,169.1484375,2131.1093261792657,2131.1093261792657,2131.1093261792657,2131.1093261792657,2131.1093261792657,2131.1093261792657,169.1484375,308,-154.52147050694094,
47,20054,0.4,full,high_speed,reactive,0.3,12,0,1.0,11,1.0909090909090908,29642.120768386518,3858.2497705344826,11635.586741681691,0.5,0.40482933369592317,0.20241466684796158,1,1,1.0,123.5390625,804.7173533533254,804.7173533533254,804.7173533533254,804.7173533533254,804.7173533533254,804.7173533533254,123.5390625,308,-192.11820448095693,
48,20055,0.4,full,high_speed,reactive,0.3,12,0,1.0,10,1.2,42463.60977277063,8071.782089503921,22581.50061962907,0.41666666666666663,0.2825949104236277,0.11774787934317822,4,3,0.3333333333333333,861.0,12964.538910611158,12964.538910611158,3241.1347276527895,4321.512970203719,3241.1347276527895,4321.512970203719,215.25,280,-207.63842805738815,
49,20056,0.4,full,high_speed,reactive,0.3,12,0,1.0,10,1.2,15853.283355759353,1541.2005313156642,3303.8679651314437,0.9166666666666666,0.7569409901224348,0.6938625742788985,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280,-111.42939152226764,
50,20057,0.4,full,high_speed,reactive,0.3,12,0,1.0,9,1.3333333333333333,24277.029060703106,1557.8654591373572,3157.244325144255,0.75,0.4942944200459946,0.37072081503449594,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252,-91.36774675342899,
51,20058,0.4,full,high_speed,reactive,0.3,12,0,1.0,7,1.7142857142857142,48450.575048534825,8589.188034568384,22960.160982002344,0.0,0.24767507894342086,0.0,5,4,0.0,752.5546875,9513.77173418016,9513.77173418016,1902.754346836032,2378.44293354504,1902.754346836032,2378.44293354504,150.5109375,196,-218.2342485540151,
52,20059,0.4,full,high_speed,reactive,0.3,12,0,1.0,6,2.0,19090.951440856752,4443.014202161997,7091.811829534587,0.41666666666666663,0.6285700341952927,0.26190418091470524,1,1,0.0,93.0234375,1143.9594809706132,1143.9594809706132,1143.9594809706132,1143.9594809706132,1143.9594809706132,1143.9594809706132,93.0234375,168,-138.57981790320238,
53,20060,0.4,full,high_speed,reactive,0.3,12,0,1.0,11,1.0909090909090908,25427.895379033613,1614.0277368034206,2352.8769780019607,0.5833333333333333,0.4719226589981377,0.27528821774891366,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308,-149.2684835088436,
54,20061,0.4,full,high_speed,reactive,0.3,12,0,1.0,11,1.0909090909090908,29048.25565996656,2710.7489555909783,4167.553194862713,0.5833333333333333,0.4131057004065839,0.24097832523717394,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308,-193.07807701925404,
55,20062,0.4,full,high_speed,reactive,0.3,12,0,1.0,9,1.3333333333333333,26288.146926208028,2418.1938239409083,4207.754343355379,0.5833333333333333,0.4564794937309397,0.2662797046763815,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252,-160.64732272100895,
56,20063,0.4,full,high_speed,reactive,0.3,12,0,1.0,10,1.2,39073.15410423489,5484.038177011015,17226.594267553504,0.6666666666666667,0.30711623556132106,0.2047441570408807,3,2,1.0,676.1015625,8546.422368111036,8546.422368111036,2848.807456037012,4273.211184055518,2848.807456037012,4273.211184055518,225.3671875,280,-153.98888887660277,
57,20064,0.4,full,high_speed,reactive,0.3,12,0,1.0,4,3.0,31475.434054062356,10800.296179556344,17227.545987025827,0.08333333333333337,0.3812497066565863,0.03177080888804886,7,6,0.16666666666666666,1915.1015625,21983.01640380715,21983.01640380715,3140.430914829593,3663.8360673011916,3140.430914829593,3663.8360673011916,273.5859375,112,-135.35014453584236,
58,20065,0.4,full,high_speed,reactive,0.3,12,0,1.0,11,1.0909090909090908,32610.41356239617,2784.959926162662,4616.484981487602,0.6666666666666667,0.36798061383181846,0.24532040922121232,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308,-196.87972601389214,
59,20066,0.4,full,high_speed,reactive,0.3,12,0,1.0,8,1.5,26037.48016354189,4403.169700095871,11827.411751228474,0.41666666666666663,0.46087409091155435,0.19203087121314766,2,2,0.5,660.84375,8620.54708039845,8620.54708039845,4310.273540199225,4310.273540199225,4310.273540199225,4310.273540199225,330.421875,224,-141.03574929246722,
60,20067,0.4,full,high_speed,reactive,0.3,12,0,1.0,11,1.0909090909090908,35988.84510496184,1467.2565904788137,2501.2436220116188,0.6666666666666667,0.33343665141245504,0.2222911009416367,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308,-138.27814198852204,
61,20068,0.4,full,high_speed,reactive,0.3,12,0,1.0,9,1.3333333333333333,46271.315413410775,5321.441587823662,15459.49400590931,0.8333333333333334,0.25933993647654224,0.21611661373045185,1,1,1.0,317.7890625,6596.858300247958,6596.858300247958,6596.858300247958,6596.858300247958,6596.858300247958,6596.858300247958,317.7890625,252,-153.02806226527767,
62,20069,0.4,full,high_speed,reactive,0.3,12,0,1.0,9,1.3333333333333333,25614.116546369434,2646.0626732721653,4433.367149162384,0.25,0.4684916607713683,0.11712291519284207,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252,-178.31628072317716,
63,20070,0.4,full,high_speed,reactive,0.3,12,0,1.0,11,1.0909090909090908,41728.4623492406,2415.972191523269,7000.997324946606,0.6666666666666667,0.28757350078149674,0.1917156671876645,1,1,1.0,329.109375,2566.105850161729,2566.105850161729,2566.105850161729,2566.105850161729,2566.105850161729,2566.105850161729,329.109375,308,-180.93273602927306,
64,20071,0.4,full,high_speed,reactive,0.3,12,0,1.0,9,1.3333333333333333,21946.663017944313,2051.418040743135,2992.872216428397,0.75,0.5467801638084298,0.41008512285632237,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252,-112.45600964515528,
65,20072,0.4,full,high_speed,reactive,0.3,12,0,1.0,10,1.2,26380.753377461748,3135.437132015389,6454.310589820408,0.5,0.4548770775535218,0.2274385387767609,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280,-192.08678839656667,
66,20073,0.4,full,high_speed,reactive,0.3,12,0,1.0,7,1.7142857142857142,31619.349703157935,6311.325175029703,13431.030934867853,0.33333333333333337,0.37951444645939436,0.12650481548646478,4,4,0.0,715.4765625,12907.195338600559,12907.195338600559,3226.7988346501397,3226.7988346501397,3226.7988346501397,3226.7988346501397,178.869140625,196,-144.9198084735142,
67,20074,0.4,full,high_speed,reactive,0.3,12,0,1.0,11,1.0909090909090908,22570.635591869537,1671.0333884562826,2585.003702887065,0.75,0.5316642480516888,0.39874818603876655,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308,-134.3669272681012,
