baseline,avg_e2e_reduction_pct,p95_e2e_reduction_pct,slo_gain_pp,throughput_gain_pct,goodput_gain_pct
DyBAP-Adapted,43.11373107314657,40.94038252259038,16.97916666666667,9.582117066173403,48.2477162332908
Fixed4-LB,9.171316437964359,5.596740431557467,5.1666666666666705,1.2630274175492162,11.781306758685592
LECU-RBA (adapted),43.53960428013977,42.30130481182577,25.833333333333343,10.959070793963027,95.3393733338549
NoBatch-LB,21.60292911846104,16.230810504788987,7.958333333333339,7.238254594197576,24.956845878985717
SeqGreedy-LB,7.968475408049391,5.9230632400436125,4.916666666666672,1.1875589668443114,11.112045241537963
