episode_seed,request_id,handover_index,lead_ms,predicted_lead_ms,eta_relative_error,eta_error_bound,prediction_correct,had_prefetch_plan,accepted_prefetch,base_migration_ms,hidden_migration_ms,prefetched_mb,useful_prefetch_mb,wasted_prefetch_mb,wrong_anchor_waste_mb,residual_base_ms,delta_sync_ms,delta_tokens,changed_blocks
20010,r0006,0,4117.743282935691,3847.4738559316365,-0.06563532703072489,0.2,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169,0
20010,r0006,1,4885.748689387492,4265.152030489091,-0.1270218135137448,0.2,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192,0
20010,r0009,0,5034.245266262493,5128.214081350004,0.018665919143283055,0.2,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206,0
20010,r0012,0,434.634710306178,350.45333121463904,-0.1936830563583785,0.2,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0
20010,r0012,1,9759.784618285179,8873.699403284694,-0.09078942309243013,0.2,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366,0
20010,r0013,0,0.0,0.0,-0.04034930427486691,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20010,r0013,1,7437.94512509081,6002.816462737699,-0.19294692797771737,0.2,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311,0
20011,r0004,0,2094.9912845948197,2299.164724487557,0.09745789464333032,0.2,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96,0
20011,r0004,1,3843.586409692358,4328.861706863243,0.12625585727620642,0.2,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168,0
20011,r0021,0,0.0,0.0,-0.01015717263654764,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20011,r0021,1,8453.19415425063,8255.719997174012,-0.02336089216374143,0.2,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393,0
20011,r0000,0,2258.061858778774,1912.8820997469634,-0.1528655017531246,0.2,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96,0
20011,r0013,0,327.76853790532186,281.730498495789,-0.14045899494731626,0.2,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0
20011,r0013,1,9276.053522468059,7991.654949975084,-0.1384639027127173,0.2,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377,0
20011,r0008,0,7781.245532213865,8035.36792822955,0.03265831864110108,0.2,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333,0
20011,r0015,0,0.0,0.0,0.12457843992571388,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20011,r0023,0,0.0,0.0,-0.025851138068070018,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20011,r0005,0,4829.521158574313,4171.875648201277,-0.1361719907170206,0.2,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215,0
20012,r0015,0,0.0,0.0,-0.06907753786016899,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20012,r0007,0,0.0,0.0,-0.1140495798882145,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20012,r0007,1,3461.0028403302094,3544.0834333059174,0.024004774572152915,0.2,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287,0
20012,r0009,0,0.0,0.0,-0.11554082516188027,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20012,r0005,0,6998.8198454006015,8355.938770934179,0.19390682365190925,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20012,r0002,0,536.6961034960186,573.3000080660707,0.0682022923803911,0.2,1,1,1,45.15342442670882,8.549519856656843,0.6967259238245782,0.6967259238245782,0.0,0.0,36.603904570051974,5.732604416481723,8,2
20012,r0013,0,0.0,0.0,0.07736289154136189,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20012,r0013,1,1359.0700731874022,1229.529093553187,-0.09531589444126674,0.2,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,0
20012,r0014,0,2117.5089228594225,1958.298044478759,-0.07518781935788482,0.2,1,1,1,2794.8247839781734,2117.5089228594225,152.02200123589904,152.02200123589904,0.0,0.0,677.315861118751,126.89527707501517,30,28
20012,r0014,1,3986.2639370560064,4183.020135981687,0.0493585477611381,0.2,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334,0
20012,r0010,0,0.0,0.0,0.06924845413763914,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20013,r0006,0,3807.039471075053,4099.419166176489,0.07679975406687128,0.2,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140,0
20013,r0002,0,855.0714827460597,715.5025799624974,-0.16322483628542625,0.2,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,0
20013,r0017,0,2833.764312835081,2483.943327401595,-0.12344745251008629,0.2,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105,0
20013,r0023,0,900.572266397623,1058.6524666148046,0.17553305394304192,0.2,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,0
20013,r0016,0,1222.7791100842514,1033.2996193572917,-0.15495806982988475,0.2,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0
20013,r0014,0,304.51575173239326,313.1821785396878,0.028459699565592717,0.2,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0
20013,r0014,1,9424.254929499883,9242.009808078505,-0.01933788111470891,0.2,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336,0
20013,r0007,0,0.0,0.0,-0.05832188500918206,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20014,r0023,0,8033.333498555587,6982.195414486051,-0.13084706171585353,0.2,1,1,1,1233.1611351581885,1233.1611351581885,86.05078125,86.05078125,0.0,0.0,0.0,203.94604373135996,157,14
20014,r0011,0,1192.5081099565377,1275.4138341546568,0.06952214706627091,0.2,1,1,1,497.01850250088285,414.11277830276595,28.091001733544807,28.091001733544807,0.0,0.0,82.9057241981169,49.33301430176915,23,14
20014,r0008,0,403.9129086801677,380.2717017452425,-0.05853045650899233,0.2,1,1,1,480.864902411224,403.9129086801677,27.354859561882762,27.354859561882762,0.0,0.0,76.95199373105635,30.398866212596857,7,14
20014,r0001,0,3369.025829460674,2894.7479300319883,-0.14077597603477257,0.2,0,1,0,480.864902411224,0.0,32.56640625,0.0,32.56640625,32.56640625,0.0,0.0,62,14
20014,r0019,0,3811.065560287294,3940.099908587883,0.03385781384743791,0.2,1,1,1,807.3983899378972,678.3640416373091,46.866571285201225,46.866571285201225,0.0,0.0,129.03434830058802,109.33210034907304,75,14
20014,r0012,0,4394.603116529604,3746.8375930465636,-0.14740023303733008,0.2,1,1,1,1190.4694777783761,1190.4694777783761,83.015625,83.015625,0.0,0.0,0.0,118.56272897173517,83,14
20014,r0000,0,0.0,0.0,-0.17624630461688906,0.2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
