mobility_mode,episodes,mappings,baseline_mismatch,negative_regret_count,risk_alternative_mappings,accepted_rel_0p01,coverage_rel_0p01_pct,episodes_rel_0p01,mean_risk_rel_0p01,accepted_rel_0p02,coverage_rel_0p02_pct,episodes_rel_0p02,mean_risk_rel_0p02,accepted_rel_0p05,coverage_rel_0p05_pct,episodes_rel_0p05,mean_risk_rel_0p05,accepted_rel_0p1,coverage_rel_0p1_pct,episodes_rel_0p1,mean_risk_rel_0p1
driving,100,572,0,0,35,2,0.34965034965034963,2,0.12697395405343845,4,0.6993006993006993,4,0.0740074589721612,5,0.8741258741258742,5,0.06770263910000664,11,1.9230769230769231,10,0.0948153199664986
high_speed,100,574,0,0,36,2,0.34843205574912894,2,0.4252791285869624,2,0.34843205574912894,2,0.4252791285869624,6,1.0452961672473868,6,1.0209839930687472,12,2.0905923344947737,12,0.5381251593103641
