tag,rho,phase,batch_size,token_length,idle_latency_ms,loaded_latency_ms,slowdown
0p20,0.16966666666666666,prefill,1,128,9.704360971227288,9.33961698319763,0.9624144249053495
0p20,0.16966666666666666,decode,1,128,7.804263004800305,7.632894994458184,0.9780417433091741
0p20,0.16966666666666666,prefill,1,512,17.395510483765975,17.63219546410255,1.0136060956967867
0p20,0.16966666666666666,decode,1,512,7.858842494897544,7.590129011077806,0.9658074984968583
0p20,0.16966666666666666,prefill,1,2048,58.184588997391984,60.95642346190289,1.0476386361453056
0p20,0.16966666666666666,decode,1,2048,8.022293506655842,7.711993006523699,0.9613202259584872
0p20,0.16966666666666666,prefill,4,128,17.00685449759476,17.140187497716397,1.0078399565387295
0p20,0.16966666666666666,decode,4,128,8.005507988855243,7.959948969073594,0.994309040744813
0p20,0.16966666666666666,prefill,4,512,55.5886410002131,61.97315847384744,1.1148529152495357
0p20,0.16966666666666666,decode,4,512,8.181745506590232,8.29070049803704,1.0133168394640297
0p20,0.16966666666666666,prefill,4,2048,220.19135049777103,237.8600285155699,1.0802423799929313
0p20,0.16966666666666666,decode,4,2048,8.783786033745855,8.84481449611485,1.0069478539361654
0p20,0.16966666666666666,prefill,8,128,27.921073517063636,28.354015987133607,1.0155059392614465
0p20,0.16966666666666666,decode,8,128,8.37525152019225,8.113560499623418,0.968754249357418
0p20,0.16966666666666666,prefill,8,512,115.2027269708924,121.28713401034474,1.05281478311698
0p20,0.16966666666666666,decode,8,512,8.378755010198802,8.268996520200744,0.9869003819941677
0p20,0.16966666666666666,prefill,8,2048,460.893183510052,499.1053425183054,1.0829089263530407
0p20,0.16966666666666666,decode,8,2048,9.506496513495222,9.525669505819678,1.0020168305218689
0p40,0.44166666666666665,prefill,1,128,9.704360971227288,10.61340351589024,1.0936736120346509
0p40,0.44166666666666665,decode,1,128,7.804263004800305,7.932175474707037,1.0163900767859892
0p40,0.44166666666666665,prefill,1,512,17.395510483765975,18.64307199139148,1.0717174416232147
0p40,0.44166666666666665,decode,1,512,7.858842494897544,7.879751996370032,1.0026606337365922
0p40,0.44166666666666665,prefill,1,2048,58.184588997391984,59.79154849774204,1.0276183011350666
0p40,0.44166666666666665,decode,1,2048,8.022293506655842,8.036448009079322,1.001764395981241
0p40,0.44166666666666665,prefill,4,128,17.00685449759476,20.218230492901057,1.1888283336439713
0p40,0.44166666666666665,decode,4,128,8.005507988855243,8.347398514160886,1.0427069120137789
0p40,0.44166666666666665,prefill,4,512,55.5886410002131,76.92158650024794,1.3837644726726286
0p40,0.44166666666666665,decode,4,512,8.181745506590232,8.554784522857517,1.04559406253431
0p40,0.44166666666666665,prefill,4,2048,220.19135049777103,270.38579247891903,1.2279582820473056
0p40,0.44166666666666665,decode,4,2048,8.783786033745855,8.858585002599284,1.008515572734361
0p40,0.44166666666666665,prefill,8,128,27.921073517063636,37.41432848619297,1.3400032224164893
0p40,0.44166666666666665,decode,8,128,8.37525152019225,8.729197987122461,1.0422609955148052
0p40,0.44166666666666665,prefill,8,512,115.2027269708924,132.07777051138692,1.1464812855060127
0p40,0.44166666666666665,decode,8,512,8.378755010198802,8.357762533705682,0.9974945589807116
0p40,0.44166666666666665,prefill,8,2048,460.893183510052,548.7117735319771,1.1905400061530955
0p40,0.44166666666666665,decode,8,2048,9.506496513495222,9.815038967644796,1.0324559582714383
0p60,0.5710000000000001,prefill,1,128,9.704360971227288,13.991629530210048,1.4417878283479142
0p60,0.5710000000000001,decode,1,128,7.804263004800305,9.745227493112909,1.248705673696381
0p60,0.5710000000000001,prefill,1,512,17.395510483765975,25.91041149571538,1.489488424033073
0p60,0.5710000000000001,decode,1,512,7.858842494897544,10.689595015719531,1.3601996760540613
0p60,0.5710000000000001,prefill,1,2048,58.184588997391984,74.86263249302283,1.286640221801316
0p60,0.5710000000000001,decode,1,2048,8.022293506655842,10.028799006249756,1.2501161915765335
0p60,0.5710000000000001,prefill,4,128,17.00685449759476,23.49003849667497,1.3812100585676859
0p60,0.5710000000000001,decode,4,128,8.005507988855243,12.44819551357068,1.5549538556329296
0p60,0.5710000000000001,prefill,4,512,55.5886410002131,73.51737300632522,1.3225251001556844
