node_type,phase,batch_size,token_length,group_size,latency_ms,peak_memory_gb
edge_fast,prefill,1,128,28,13.991629530210048,2.925077438354492
edge_fast,decode,1,128,28,9.745227493112907,2.9250259399414062
edge_fast,prefill,1,512,28,25.91041149571538,3.0444679260253906
edge_fast,decode,1,512,28,10.689595015719533,3.043076515197754
edge_fast,prefill,1,2048,28,74.86263249302283,3.5248374938964844
edge_fast,decode,1,2048,28,10.028799006249756,3.561000347137451
edge_fast,prefill,4,128,28,23.49003849667497,3.0444679260253906
edge_fast,decode,4,128,28,12.448195513570681,3.044468879699707
edge_fast,prefill,4,512,28,73.51737300632522,3.5248374938964844
edge_fast,decode,4,512,28,12.11042152135633,3.56173038482666
edge_fast,prefill,4,2048,28,287.03702200436965,5.444850921630859
edge_fast,decode,4,2048,28,12.475086492486298,5.425539493560791
edge_fast,prefill,8,128,28,43.74633397674188,3.204265594482422
edge_fast,decode,8,128,28,11.921730474568903,3.2038450241088867
edge_fast,prefill,8,512,28,147.54228098900057,4.165493011474609
edge_fast,decode,8,512,28,11.700042494339868,4.156306266784668
edge_fast,prefill,8,2048,28,601.5701710130088,8.00551986694336
edge_fast,decode,8,2048,28,15.261087013641372,7.966894626617432
