timestamp,gpu_util_pct,memory_used_mib
1786238535.818892417,51,560
1786238536.361164184,99,560
1786238536.902076539,49,560
1786238537.443672000,49,560
1786238538.003895376,99,560
1786238538.541491048,99,560
1786238539.079400858,50,560
1786238539.621348660,48,560
1786238540.158546649,99,560
1786238540.694207577,50,560
1786238541.237787078,50,560
1786238541.779245762,99,560
1786238542.321513473,99,560
1786238542.866298325,49,560
1786238543.414830581,99,560
1786238543.957834672,99,560
1786238544.495590179,49,560
1786238545.032930424,49,560
1786238545.587117656,97,560
1786238546.124650045,99,560
1786238546.663666879,50,560
1786238547.202257247,99,560
1786238547.739321979,99,560
1786238548.278256978,49,560
1786238548.825535735,49,560
1786238549.366305304,99,560
1786238549.925831250,99,560
1786238550.478220573,48,560
1786238551.021336880,49,560
1786238551.561393033,99,560
