node_type,phase,batch_size,token_length,group_size,latency_ms,peak_memory_gb
edge_fast,prefill,1,128,28,9.33961698319763,2.925077438354492
edge_fast,decode,1,128,28,7.632894994458184,2.9250259399414062
edge_fast,prefill,1,512,28,17.63219546410255,3.0444679260253906
edge_fast,decode,1,512,28,7.590129011077806,3.043076515197754
edge_fast,prefill,1,2048,28,60.95642346190289,3.5248374938964844
edge_fast,decode,1,2048,28,7.711993006523699,3.561000347137451
edge_fast,prefill,4,128,28,17.140187497716397,3.0444679260253906
edge_fast,decode,4,128,28,7.959948969073594,3.044468879699707
edge_fast,prefill,4,512,28,61.973158473847434,3.5248374938964844
edge_fast,decode,4,512,28,8.29070049803704,3.56173038482666
edge_fast,prefill,4,2048,28,237.86002851556987,5.444850921630859
edge_fast,decode,4,2048,28,8.84481449611485,5.425539493560791
edge_fast,prefill,8,128,28,28.354015987133607,3.204265594482422
edge_fast,decode,8,128,28,8.113560499623418,3.2038450241088867
edge_fast,prefill,8,512,28,121.28713401034474,4.165493011474609
edge_fast,decode,8,512,28,8.268996520200744,4.156306266784668
edge_fast,prefill,8,2048,28,499.1053425183054,8.00551986694336
edge_fast,decode,8,2048,28,9.525669505819678,7.966894626617432
