phase,fitted_k,old_k,R2,MAPE_pct,P95_APE_pct,Max_APE_pct
prefill,0.5871446519371141,1.1,0.6516096905040587,7.217245149333899,17.68189743458658,22.547663843785955
decode,0.5277549958470581,0.8,0.5200792462727764,12.502409031320376,23.009475745695834,23.618898843166004
