timestamp,gpu_util_pct,memory_used_mib
1786238451.659131902,52,560
1786238452.199927507,67,560
1786238452.736851738,51,560
1786238453.287608379,50,560
1786238453.829271723,70,560
1786238454.374461886,69,560
1786238454.913729925,48,560
1786238455.451834357,48,560
1786238455.988129995,71,560
1786238456.527626320,48,560
1786238457.079303981,47,560
1786238457.626248553,73,560
1786238458.179791436,76,560
1786238458.717129244,43,560
1786238459.274726476,43,560
1786238459.818016289,77,560
1786238460.364809035,77,560
1786238460.902728770,41,560
1786238461.439973841,39,560
1786238461.977935201,79,560
1786238462.517449096,39,560
1786238463.062409249,35,560
1786238463.607858906,79,560
1786238464.144219034,82,560
1786238464.704215898,37,560
1786238465.243170878,36,560
1786238465.783763547,83,560
1786238466.321180724,35,560
1786238466.859013451,34,560
1786238467.400784318,84,560
