node_type,phase,batch_size,token_length,group_size,latency_ms,peak_memory_gb
edge_fast,prefill,1,128,28,10.61340351589024,2.925077438354492
edge_fast,decode,1,128,28,7.932175474707037,2.9250259399414062
edge_fast,prefill,1,512,28,18.64307199139148,3.0444679260253906
edge_fast,decode,1,512,28,7.879751996370032,3.043076515197754
edge_fast,prefill,1,2048,28,59.79154849774204,3.5248374938964844
edge_fast,decode,1,2048,28,8.036448009079322,3.561000347137451
edge_fast,prefill,4,128,28,20.218230492901057,3.0444679260253906
edge_fast,decode,4,128,28,8.347398514160886,3.044468879699707
edge_fast,prefill,4,512,28,76.92158650024794,3.5248374938964844
edge_fast,decode,4,512,28,8.554784522857517,3.56173038482666
edge_fast,prefill,4,2048,28,270.38579247891903,5.444850921630859
edge_fast,decode,4,2048,28,8.858585002599284,5.425539493560791
edge_fast,prefill,8,128,28,37.41432848619297,3.204265594482422
edge_fast,decode,8,128,28,8.729197987122461,3.2038450241088867
edge_fast,prefill,8,512,28,132.07777051138692,4.165493011474609
edge_fast,decode,8,512,28,8.357762533705682,4.156306266784668
edge_fast,prefill,8,2048,28,548.7117735319771,8.00551986694336
edge_fast,decode,8,2048,28,9.815038967644796,7.966894626617432
