phase,model,parameters,fit_R2,fit_MAPE,fit_P95,cv_R2,cv_MAPE,cv_P95,cv_MAX
prefill,linear,0.587145,0.6516096905040587,7.217245149333899,17.68189743458658,0.6074270353506583,7.486976882668579,17.198368544748497,24.096293260599197
prefill,quadratic,"0.245168,0.549583",0.6944317545876665,6.305967886072633,16.423224534606774,0.46015291637257083,8.072457388708445,19.81363921826162,34.18906514346814
decode,linear,0.527755,0.5200792462727765,12.502409031320376,23.009475745695834,0.3063160567474157,14.635417224967638,27.575909303484682,28.20795578070921
decode,quadratic,"-0.277643,1.294336",0.6788927430092506,7.839507549257923,19.382814404050528,-0.29723369658054777,16.5896394548555,32.04213676085087,59.68657576524398
