node_type,phase,batch_size,token_length,group_size,latency_ms,peak_memory_gb
edge_fast,prefill,1,128,28,9.704360971227288,2.925077438354492
edge_fast,decode,1,128,28,7.804263004800305,2.9250259399414062
edge_fast,prefill,1,512,28,17.395510483765975,3.0444679260253906
edge_fast,decode,1,512,28,7.858842494897544,3.043076515197754
edge_fast,prefill,1,2048,28,58.184588997391984,3.5248374938964844
edge_fast,decode,1,2048,28,8.022293506655842,3.561000347137451
edge_fast,prefill,4,128,28,17.00685449759476,3.0444679260253906
edge_fast,decode,4,128,28,8.005507988855243,3.044468879699707
edge_fast,prefill,4,512,28,55.5886410002131,3.5248374938964844
edge_fast,decode,4,512,28,8.181745506590232,3.56173038482666
edge_fast,prefill,4,2048,28,220.19135049777105,5.444850921630859
edge_fast,decode,4,2048,28,8.783786033745855,5.425539493560791
edge_fast,prefill,8,128,28,27.921073517063633,3.204265594482422
edge_fast,decode,8,128,28,8.37525152019225,3.2038450241088867
edge_fast,prefill,8,512,28,115.2027269708924,4.165493011474609
edge_fast,decode,8,512,28,8.378755010198802,4.156306266784668
edge_fast,prefill,8,2048,28,460.89318351005204,8.00551986694336
edge_fast,decode,8,2048,28,9.506496513495222,7.966894626617432
