node_type,phase,batch_size,token_length,group_size,latency_ms,peak_memory_gb
edge_fast,prefill,1,128,28,14.220427488908172,2.925077438354492
edge_fast,decode,1,128,28,10.1263030373957,2.9250259399414062
edge_fast,prefill,1,512,28,27.603575988905504,3.0444679260253906
edge_fast,decode,1,512,28,11.282699997536838,3.043076515197754
edge_fast,prefill,1,2048,28,79.36113001778722,3.5248374938964844
edge_fast,decode,1,2048,28,11.515693506225944,3.561000347137451
edge_fast,prefill,4,128,28,27.246515004662797,3.0444679260253906
edge_fast,decode,4,128,28,12.542558484710753,3.044468879699707
edge_fast,prefill,4,512,28,67.4742560076993,3.5248374938964844
edge_fast,decode,4,512,28,12.74916302645579,3.56173038482666
edge_fast,prefill,4,2048,28,317.0097320107743,5.444850921630859
edge_fast,decode,4,2048,28,13.614113006042317,5.425539493560791
edge_fast,prefill,8,128,28,46.044284012168646,3.204265594482422
edge_fast,decode,8,128,28,9.683736512670293,3.2038450241088867
edge_fast,prefill,8,512,28,162.29062000638805,4.165493011474609
edge_fast,decode,8,512,28,12.276325491257012,4.156306266784668
edge_fast,prefill,8,2048,28,654.7858294798061,8.00551986694336
edge_fast,decode,8,2048,28,15.318802994443104,7.966894626617432
