timestamp,gpu_util_pct,memory_used_mib
1786238302.947652020,2,560
1786238303.490505365,38,560
1786238304.027157615,39,560
1786238304.563842103,0,560
1786238305.099331234,0,560
1786238305.636907893,40,560
1786238306.173444865,0,560
1786238306.709967279,0,560
1786238307.247263914,39,560
1786238307.782359879,0,560
1786238308.321490231,0,560
1786238308.860928611,39,560
1786238309.397703520,39,560
1786238309.933550712,0,560
1786238310.470136535,39,560
1786238311.005592811,39,560
1786238311.541090446,0,560
1786238312.077245945,39,560
1786238312.614132905,39,560
1786238313.149352650,0,560
1786238313.686165832,0,560
1786238314.222186063,39,560
1786238314.756825880,0,560
1786238315.297197898,0,560
1786238315.833007250,39,560
1786238316.367303804,0,560
1786238316.904701430,0,560
1786238317.440475158,39,560
1786238317.978262482,0,560
1786238318.514221167,0,560
