mode,keep_avg_ms,oracle_avg_ms,avg_gain_pct,avg_gain_ms,avg_ci_low_ms,avg_ci_high_ms,p95_gain_pct,slo_gain_pp,goodput_gain_pct,handover_keep,handover_oracle,replan_events,replanned_blocks,migration_mb,migration_ms
stationary,15740.858234968435,15740.858234968435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
walking,15747.320382073953,14881.49125723508,5.498263220861965,865.8291248388718,175.99713601925657,1555.661113658487,7.4359468678416025,0.08333333333333526,0.2783845296011167,0.73,0.71,0.61,7.15,48.91025390625,925.1073357318118
driving,15754.965489284976,13370.251794899665,15.136267331129138,2384.7136943853084,1172.777126839516,3596.6502619311004,18.57618166878178,1.749999999999996,3.832823302550259,3.67,3.13,2.13,18.05,105.32876953125,1988.3663509106193
high_speed,15706.25550474346,11652.157283093193,25.811997139775844,4054.0982216502657,2343.355206679383,5764.841236621149,28.54249831154464,4.2500000000000036,10.61663020430721,12.55,10.1,4.78,34.64,166.76701171875,3142.715480535434
