mobility_mode,decisions,accepted_decisions,coverage_pct,accepted_episodes,mean_mobility_reduction_ms,max_selected_mobility_cost_ms
stationary,15801,0,0.0,0,,0.0
walking,15801,1237,7.828618441870768,44,0.0024714754825767462,0.8748069318504164
driving,15801,1195,7.562812480222771,44,0.021741182042332264,4.5773583186842695
high_speed,15829,1194,7.543117063617411,43,0.08642699936420978,7.8833812427973236
