episode,arrival_rate_rps,reward,served_requests,dropped_requests,completion_ratio,batches,mean_batch_size,makespan_ms,avg_e2e_ms,p95_e2e_ms,slo_satisfaction,throughput_rps,goodput_rps,mapping_steps,replay_size,loss,epsilon
1,0.2,-510.04090545034217,12,0,1.0,5,2.4,121606.37777423715,46583.509957742586,84776.27456481375,0.0,0.09867903492922107,0.0,52,52,,0.9983533333333333
2,0.1,-1029.9537910856113,12,0,1.0,10,1.2,227235.0470007104,31934.99303254807,86614.34989033447,0.0,0.052808755332369506,0.0,99,151,15.929908812046051,0.9952183333333333
3,0.2,-435.2471531449352,12,0,1.0,6,2.0,102612.40995358446,31858.81168446975,70954.32415728342,0.0,0.11694491928830111,0.0,69,220,10.163479328155518,0.9930333333333333
4,0.4,-452.5290785236796,12,0,1.0,4,3.0,111502.8948555357,44290.1080814808,87259.6162449407,0.0,0.10762052425228352,0.0,38,258,2.1370659172534943,0.99183
5,0.4,-379.3688237622767,12,0,1.0,4,3.0,82906.72058184381,51386.19850111103,76621.29827640689,0.0,0.1447409801736621,0.0,37,295,11.923159956932068,0.9906583333333333
6,0.1,-448.9649985974713,12,0,1.0,8,1.5,123133.87328451851,14076.063657654158,29385.395456613478,0.08333333333333337,0.09745490562351007,0.008121242135292505,72,367,15.313624382019043,0.9883783333333334
7,0.2,-638.097391856199,12,0,1.0,3,4.0,128736.3994687059,70134.3834764498,117988.9923786348,0.0,0.09321373014566124,0.0,31,398,15.167041301727295,0.9873966666666667
8,0.6,-690.0100384336624,12,0,1.0,5,2.4,218483.44264572638,93184.33836927223,204564.10140409818,0.0,0.05492407046815968,0.0,57,455,17.48853063583374,0.9855916666666666
9,0.1,-834.8199791831775,12,0,1.0,5,2.4,201432.7453057308,63312.36305180315,132964.6191876167,0.0,0.05957323364573436,0.0,47,502,0.35451115667819977,0.9841033333333333
10,0.1,-945.2185353018989,12,0,1.0,7,1.7142857142857142,237308.74573054316,42933.572203657386,71690.58247330025,0.08333333333333337,0.05056703646997331,0.00421391970583111,70,572,5.31533770263195,0.9818866666666667
11,0.4,-405.66562206986384,12,0,1.0,5,2.4,104991.91648197093,41691.787861363155,90262.1733447642,0.0,0.11429451335008847,0.0,46,618,15.112012267112732,0.98043
12,0.1,-541.898251478111,12,0,1.0,6,2.0,118100.45941999344,24995.40588110643,40368.61020146984,0.0,0.10160841083035192,0.0,60,678,7.583131790161133,0.97853
13,0.6,-283.37557985096726,12,0,1.0,5,2.4,86136.7189101976,41175.82112991924,67759.45454387556,0.08333333333333337,0.13931340956358784,0.011609450796965654,41,719,13.826121091842651,0.9772316666666667
