node_type,phase,batch_size,tokens,group_size,latency_ms
edge_fast,prefill,1,128,28,8.15688705444336
edge_fast,decode,1,128,28,6.746675968170166
edge_fast,prefill,1,512,28,16.743431091308594
edge_fast,decode,1,512,28,6.768044948577881
edge_fast,prefill,1,1024,28,28.205341339111328
edge_fast,decode,1,1024,28,6.6936821937561035
edge_fast,prefill,2,128,28,10.094294548034668
edge_fast,decode,2,128,28,6.942043781280518
edge_fast,prefill,2,512,28,27.791051864624023
edge_fast,decode,2,512,28,6.996856212615967
edge_fast,prefill,2,1024,28,55.3838996887207
edge_fast,decode,2,1024,28,7.072025299072266
edge_fast,prefill,4,128,28,15.634202003479004
edge_fast,decode,4,128,28,7.47216796875
edge_fast,prefill,4,512,28,54.4434700012207
edge_fast,decode,4,512,28,7.539793014526367
edge_fast,prefill,4,1024,28,108.18018341064453
edge_fast,decode,4,1024,28,7.6637349128723145
edge_fast,prefill,8,128,28,26.829010009765625
edge_fast,decode,8,128,28,7.316323757171631
edge_fast,prefill,8,512,28,106.52110290527344
edge_fast,decode,8,512,28,7.48971700668335
edge_fast,prefill,8,1024,28,210.24928283691406
edge_fast,decode,8,1024,28,7.829178810119629
