mobility_mode,keep_avg_ms,oracle_avg_ms,avg_gain_pct,avg_gain_ms,avg_ci_low_ms,avg_ci_high_ms,keep_p95_ms,oracle_p95_ms,p95_gain_pct,p95_gain_ms,p95_ci_low_ms,p95_ci_high_ms,slo_gain_pp,slo_ci_low_pp,slo_ci_high_pp,goodput_gain_pct,handover_keep,handover_oracle,migration_mb,migration_ms,replan_events,replanned_blocks
stationary,14582.781744735845,14582.781744735845,0.0,0.0,0.0,0.0,26828.315799637734,26828.315799637734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
walking,14572.292565355081,14227.741237876337,2.3644277380067025,344.55132747874194,-3.397474115390196,692.5001290728741,26801.954859748017,25385.731650383677,5.284029529843237,1416.223209364342,53.07574013189537,2779.370678596789,0.0,0.0,0.0,0.22598854433222293,0.5,0.55,54.85166015625,918.5143776453326,0.5,7.65
driving,14654.492315267169,13277.545191751336,9.396075236815394,1376.9471235158346,-32.77878637735262,2786.6730334090216,26950.332983658678,23338.565942065838,13.401567408398385,3611.767041592845,285.1601501423006,6938.373933043389,1.2499999999999993,-0.08799076911823797,2.587990769118237,3.2367484272305624,3.2,3.05,95.07421875,1538.1301327374526,2.2,19.5
high_speed,14703.773992118371,12184.097176068457,17.13625914952536,2519.6768160499146,289.0745917743816,4750.279040325448,27012.099180190544,21818.97421742524,19.22518101286148,5193.124962765297,936.724069575961,9449.525855954633,1.6666666666666667,-0.24399899609429954,3.577332329427633,5.057473761445297,12.0,9.95,144.89033203125,2461.3183341251115,4.75,32.7
